provider,hospital,hospcity,hospstate,hsanum,hsacity,hsastate,hrrnum,hrrcity,hrrstate
110212,Smith Northview Hospital,Valdosta,GA,11119,Valdosta,GA,140,Tallahassee,FL
110215,Piedmont Fayette Hospital,Fayetteville,GA,11007,Atlanta,GA,144,Atlanta,GA
110219,South Fulton Medical Center,East Point,GA,11049,East Point,GA,144,Atlanta,GA
110225,Piedmont Mountainside Hospital,Jasper,GA,11071,Jasper,GA,144,Atlanta,GA
110226,DeKalb Med Ctr at Hillandale,Lithonia,GA,11007,Atlanta,GA,144,Atlanta,GA
110229,"Piedmont Newnan Hospital, Inc",Newnan,GA,11090,Newnan,GA,144,Atlanta,GA
111300,SW Georgia Regional Med Ctr,Cuthbert,GA,11038,Cuthbert,GA,146,Columbus,GA
111301,Taylor-Telfair Regional Hospital,Mc Rae,GA,11081,McRae,GA,147,Macon,GA
111302,Bleckley Memorial Hospital,Cochran,GA,11030,Cochran,GA,147,Macon,GA
111304,Morgan Memorial Hospital,Madison,GA,11006,Athens,GA,144,Atlanta,GA
111305,Miller County Hospital,Colquitt,GA,11031,Colquitt,GA,140,Tallahassee,FL
111306,Effingham Hospital,Springfield,GA,11102,Savannah,GA,149,Savannah,GA
111308,Clinch Memorial Hospital,Homerville,GA,11069,Homerville,GA,123,Jacksonville,FL
111309,Calhoun Memorial Hospital,Arlington,GA,11005,Arlington,GA,142,Albany,GA
111310,Peach Regional Medical Center,Fort Valley,GA,11058,Fort Valley,GA,147,Macon,GA
111311,Jenkins County Hospital,Millen,GA,11084,Millen,GA,145,Augusta,GA
111312,Screven County Hospital,Sylvania,GA,11112,Sylvania,GA,149,Savannah,GA
111313,Putnam General Hospital,Eatonton,GA,11051,Eatonton,GA,144,Atlanta,GA
111314,Early Memorial Hospital,Blakely,GA,11014,Blakely,GA,2,Dothan,AL
111315,Charlton Memorial Hospital,Folkston,GA,11055,Folkston,GA,123,Jacksonville,FL
111316,Warm Springs Medical Center,Warm Springs,GA,11073,La Grange,GA,144,Atlanta,GA
111318,Monroe County Hospital,Forsyth,GA,11056,Forsyth,GA,147,Macon,GA
111319,Sylvan Grove Hospital,Jackson,GA,11070,Jackson,GA,144,Atlanta,GA
111320,Higgins General Hospital,Bremen,GA,11017,Bremen,GA,148,Rome,GA
111321,Wheeler County Hospital,Glenwood,GA,11060,Glenwood,GA,147,Macon,GA
111322,Stewart-Webster Hospital,Richland,GA,11095,Richland,GA,146,Columbus,GA
111323,Tattnall Community Hospital,Reidsville,GA,11094,Reidsville,GA,149,Savannah,GA
111324,Chatuge Reg Hosp & Nursing Home,Hiawassee,GA,11067,Hiawassee,GA,144,Atlanta,GA
111325,Wills Memorial Hospital,Washington,GA,11125,Washington,GA,145,Augusta,GA
111326,Louis Smith Memorial Hospital,Lakeland,GA,11074,Lakeland,GA,140,Tallahassee,FL
111327,Bacon County Hosp & Health Sys,Alma,GA,11003,Alma,GA,123,Jacksonville,FL
111328,Phoebe Worth Medical Center,Sylvester,GA,11002,Albany,GA,142,Albany,GA
111329,Minnie G. Boswell Memorial Hosp,Greensboro,GA,11061,Greensboro,GA,144,Atlanta,GA
111330,Polk Medical Center,Cedartown,GA,11098,Rome,GA,148,Rome,GA
111331,Mitchell County Hospital,Camilla,GA,11002,Albany,GA,142,Albany,GA
111332,Brooks County Hospital,Quitman,GA,11093,Quitman,GA,140,Tallahassee,FL
111333,Jeff Davis Hospital,Hazlehurst,GA,11066,Hazlehurst,GA,149,Savannah,GA
111334,Candler County Hospital,Metter,GA,11082,Metter,GA,149,Savannah,GA
111335,Liberty Regional Medical Center,Hinesville,GA,11068,Hinesville,GA,149,Savannah,GA
111336,Rabun County Hospital,Clayton,GA,11029,Clayton,GA,144,Atlanta,GA
120001,Queen's Medical Center,Honolulu,HI,12003,Honolulu,HI,150,Honolulu,HI
120002,Maui Memorial Medical Center,Wailuku,HI,12013,Wailuku,HI,150,Honolulu,HI
120004,Wahiawa General Hospital,Wahiawa,HI,12012,Wahiawa,HI,150,Honolulu,HI
120005,Hilo Medical Center,Hilo,HI,12001,Hilo,HI,150,Honolulu,HI
120006,Castle Medical Center,Kailua,HI,12005,Kailua,HI,150,Honolulu,HI
120007,Kuakini Medical Center,Honolulu,HI,12003,Honolulu,HI,150,Honolulu,HI
120010,Hawaii Medical Center East,Honolulu,HI,12003,Honolulu,HI,150,Honolulu,HI
120014,Wilcox Memorial Hospital,Lihue,HI,12010,Lihue,HI,150,Honolulu,HI
120019,Kona Community Hospital,Kealakekua,HI,12007,Kealakekua,HI,150,Honolulu,HI
120022,Straub Clinic & Hospital,Honolulu,HI,12003,Honolulu,HI,150,Honolulu,HI
120026,Kapiolani Med Ctr at Pali Momi,Aiea,HI,12003,Honolulu,HI,150,Honolulu,HI
120027,Hawaii Medical Center-West,Ewa Beach,HI,12003,Honolulu,HI,150,Honolulu,HI
120028,North Hawaii Community Hospital,Kamuela,HI,12001,Hilo,HI,150,Honolulu,HI
121300,Kauai Veterans Memorial Hospital,Waimea,HI,12014,Waimea,HI,150,Honolulu,HI
160001,Marshalltown Med & Surg Ctr,Marshalltown,IA,16067,Marshalltown,IA,192,Des Moines,IA
160005,St. Anthony Regional Hospital,Carroll,IA,16012,Carroll,IA,192,Des Moines,IA
160008,Keokuk Area Hospital,Keokuk,IA,16057,Keokuk,IA,194,Iowa City,IA
160013,Unity HealthCare,Muscatine,IA,16073,Muscatine,IA,194,Iowa City,IA
160016,Trinity Regional Medical Center,Fort Dodge,IA,16039,Fort Dodge,IA,192,Des Moines,IA
160024,Iowa Lutheran Hospital,Des Moines,IA,16031,Des Moines,IA,192,Des Moines,IA
160028,Alegent Health Mercy Hospital,Council Bluffs,IA,16024,Council Bluffs,IA,278,Omaha,NE
160029,Mercy Iowa City,Iowa City,IA,16054,Iowa City,IA,194,Iowa City,IA
160030,Mary Greeley Medical Center,Ames,IA,16003,Ames,IA,192,Des Moines,IA
160032,Skiff Medical Center,Newton,IA,16076,Newton,IA,192,Des Moines,IA
160033,Genesis Medical Ctr-Davenport,Davenport,IA,16027,Davenport,IA,191,Davenport,IA
160040,Sartori Memorial Hospital,Cedar Falls,IA,16013,Cedar Falls,IA,197,Waterloo,IA
160045,St. Luke's Hospital,Cedar Rapids,IA,16014,Cedar Rapids,IA,190,Cedar Rapids,IA
160047,Jennie Edmundson Hospital,Council Bluffs,IA,16024,Council Bluffs,IA,278,Omaha,NE
160057,Great River Medical Center,West Burlington,IA,16011,Burlington,IA,191,Davenport,IA
160058,University of IA Hosps & Clinics,Iowa City,IA,16054,Iowa City,IA,194,Iowa City,IA
160064,Mercy Medical Ctr-North Iowa,Mason City,IA,16068,Mason City,IA,195,Mason City,IA
160067,Covenant Medical Center,Waterloo,IA,16106,Waterloo,IA,197,Waterloo,IA
160069,Mercy Medical Center-Dubuque,Dubuque,IA,16032,Dubuque,IA,193,Dubuque,IA
160079,Mercy Med Ctr-Cedar Rapids,Cedar Rapids,IA,16014,Cedar Rapids,IA,190,Cedar Rapids,IA
160080,Mercy Medical Center-Clinton,Clinton,IA,16021,Clinton,IA,191,Davenport,IA
160082,Iowa Methodist Medical Center,Des Moines,IA,16031,Des Moines,IA,192,Des Moines,IA
160083,Mercy Medical Center-Des Moines,Des Moines,IA,16031,Des Moines,IA,192,Des Moines,IA
160089,Ottumwa Regional Health Center,Ottumwa,IA,16083,Ottumwa,IA,194,Iowa City,IA
160101,Broadlawns Medical Center,Des Moines,IA,16031,Des Moines,IA,192,Des Moines,IA
160104,Trinity at Terrace Park,Bettendorf,IA,16027,Davenport,IA,191,Davenport,IA
160110,Allen Memorial Hospital,Waterloo,IA,16106,Waterloo,IA,197,Waterloo,IA
160112,Spencer Hospital,Spencer,IA,16099,Spencer,IA,371,Sioux Falls,SD
160117,Finley Hospital,Dubuque,IA,16032,Dubuque,IA,193,Dubuque,IA
160122,Fort Madison Community Hospital,Fort Madison,IA,16040,Fort Madison,IA,194,Iowa City,IA
160124,Lakes Regional Healthcare,Spirit Lake,IA,16100,Spirit Lake,IA,371,Sioux Falls,SD
160146,St. Luke's Regional Med Ctr,Sioux City,IA,16098,Sioux City,IA,196,Sioux City,IA
160147,Grinnell Regional Medical Center,Grinnell,IA,16042,Grinnell,IA,192,Des Moines,IA
160153,Mercy Medical Center-Sioux City,Sioux City,IA,16098,Sioux City,IA,196,Sioux City,IA
161300,Baum Harmon Mercy Hospital,Primghar,IA,16088,Primghar,IA,196,Sioux City,IA
161301,Belmond Medical Center,Belmond,IA,16068,Mason City,IA,195,Mason City,IA
161302,Wright Medical Center,Clarion,IA,16020,Clarion,IA,195,Mason City,IA
161304,Alegent Health Mercy Hospital,Corning,IA,16022,Corning,IA,192,Des Moines,IA
161305,Pocahontas Community Hospital,Pocahontas,IA,16086,Pocahontas,IA,192,Des Moines,IA
161306,Jones Regional Medical Center,Anamosa,IA,16014,Cedar Rapids,IA,190,Cedar Rapids,IA
161307,Hancock County Memorial Hospital,Britt,IA,16010,Britt,IA,195,Mason City,IA
161308,Franklin General Hospital,Hampton,IA,16047,Hampton,IA,195,Mason City,IA
161309,Alegent Health Comm Mem Hosp,Missouri Valley,IA,16069,Missouri Valley,IA,278,Omaha,NE
161310,Adair County Memorial Hospital,Greenfield,IA,16041,Greenfield,IA,192,Des Moines,IA
161311,Hawarden Community Hospital,Hawarden,IA,16050,Hawarden,IA,371,Sioux Falls,SD
161312,Guttenberg Municipal Hospital,Guttenberg,IA,16045,Guttenberg,IA,193,Dubuque,IA
161313,"Genesis Medical Center, DeWitt",Dewitt,IA,16027,Davenport,IA,191,Davenport,IA
161314,Guthrie County Hospital,Guthrie Center,IA,16044,Guthrie Center,IA,192,Des Moines,IA
161316,Palmer Lutheran Health Center,West Union,IA,16110,West Union,IA,448,La Crosse,WI
161318,Veterans Memorial Hospital,Waukon,IA,16107,Waukon,IA,448,La Crosse,WI
161320,Community Memorial Hospital,Sumner,IA,16103,Sumner,IA,197,Waterloo,IA
161321,Merrill Pioneer Community Hosp,Rock Rapids,IA,43039,Sioux Falls,SD,371,Sioux Falls,SD
161322,Dallas County Hospital,Perry,IA,16085,Perry,IA,192,Des Moines,IA
161323,Mitchell County Reg Health Ctr,Osage,IA,16080,Osage,IA,195,Mason City,IA
161324,Grape Community Hospital,Hamburg,IA,16046,Hamburg,IA,278,Omaha,NE
161325,Greene County Medical Center,Jefferson,IA,16056,Jefferson,IA,192,Des Moines,IA
161326,Madison County Memorial Hospital,Winterset,IA,16031,Des Moines,IA,192,Des Moines,IA
161327,Davis County Hospital,Bloomfield,IA,16008,Bloomfield,IA,192,Des Moines,IA
161328,Regional Health Services,Cresco,IA,16025,Cresco,IA,253,Rochester,MN
161329,Jackson County Reg Health Ctr,Maquoketa,IA,16065,Maquoketa,IA,191,Davenport,IA
161330,Audubon County Memorial Hospital,Audubon,IA,16006,Audubon,IA,192,Des Moines,IA
161331,Mercy Medical Center-New Hampton,New Hampton,IA,16075,New Hampton,IA,253,Rochester,MN
161332,Manning Regional Healthcare,Manning,IA,16064,Manning,IA,278,Omaha,NE
161334,Humboldt County Memorial Hosp,Humboldt,IA,16051,Humboldt,IA,192,Des Moines,IA
161335,Buchanan County Health Center,Independence,IA,16053,Independence,IA,197,Waterloo,IA
161336,Hegg Memorial Health Center,Rock Valley,IA,16091,Rock Valley,IA,371,Sioux Falls,SD
161337,Van Buren County Hospital,Keosauqua,IA,16058,Keosauqua,IA,194,Iowa City,IA
161338,Mercy Hosp of Franciscan Sisters,Oelwein,IA,16077,Oelwein,IA,197,Waterloo,IA
161339,Waverly Health Center,Waverly,IA,16108,Waverly,IA,197,Waterloo,IA
161340,Decatur County Hospital,Leon,IA,16062,Leon,IA,192,Des Moines,IA
161341,Lucas County Health Center,Chariton,IA,16031,Des Moines,IA,192,Des Moines,IA
161342,Monroe County Hospital,Albia,IA,16001,Albia,IA,192,Des Moines,IA
161343,Regional Medical Center,Manchester,IA,16063,Manchester,IA,190,Cedar Rapids,IA
161344,Washington County Hospital,Washington,IA,16105,Washington,IA,194,Iowa City,IA
161345,Osceola Community Hospital,Sibley,IA,16095,Sibley,IA,371,Sioux Falls,SD
161346,Sioux Center Community Hospital,Sioux Center,IA,16097,Sioux Center,IA,196,Sioux City,IA
161347,Floyd County Medical Center,Charles City,IA,16017,Charles City,IA,253,Rochester,MN
161348,Clarke County Hospital,Osceola,IA,16081,Osceola,IA,192,Des Moines,IA
161349,Virginia Gay Hospital,Vinton,IA,16014,Cedar Rapids,IA,190,Cedar Rapids,IA
161350,Stewart Memorial Community Hosp,Lake City,IA,16060,Lake City,IA,192,Des Moines,IA
161351,Avera Holy Family Hospital,Estherville,IA,16036,Estherville,IA,371,Sioux Falls,SD
161352,Clarinda Regional Health Center,Clarinda,IA,16019,Clarinda,IA,278,Omaha,NE
161353,Kossuth Regional Health Center,Algona,IA,16002,Algona,IA,195,Mason City,IA
161354,Horn Memorial Hospital,Ida Grove,IA,16052,Ida Grove,IA,196,Sioux City,IA
161355,Knoxville Hospital & Clinics,Knoxville,IA,16059,Knoxville,IA,192,Des Moines,IA
161356,Henry County Health Center,Mount Pleasant,IA,16072,Mount Pleasant,IA,194,Iowa City,IA
161357,Palo Alto County Health System,Emmetsburg,IA,16035,Emmetsburg,IA,195,Mason City,IA
161358,Wayne County Hospital,Corydon,IA,16023,Corydon,IA,192,Des Moines,IA
161359,Burgess Health Center,Onawa,IA,16078,Onawa,IA,278,Omaha,NE
161360,Orange City Area Health System,Orange City,IA,16079,Orange City,IA,196,Sioux City,IA
161361,Hamilton Hospital,Webster City,IA,16109,Webster City,IA,192,Des Moines,IA
161362,Cherokee Regional Medical Center,Cherokee,IA,16018,Cherokee,IA,196,Sioux City,IA
161363,Montgomery County Memorial Hosp,Red Oak,IA,16089,Red Oak,IA,278,Omaha,NE
161364,Jefferson County Hospital,Fairfield,IA,16037,Fairfield,IA,194,Iowa City,IA
161365,Greater Regional Medical Center,Creston,IA,16026,Creston,IA,192,Des Moines,IA
161366,Shenandoah Medical Center,Shenandoah,IA,16094,Shenandoah,IA,278,Omaha,NE
161367,Pella Regional Health Center,Pella,IA,16084,Pella,IA,192,Des Moines,IA
161368,Floyd Valley Hospital,Le Mars,IA,16061,Le Mars,IA,196,Sioux City,IA
161369,Crawford County Memorial Hosp,Denison,IA,16030,Denison,IA,278,Omaha,NE
161370,Loring Hospital,Sac City,IA,16092,Sac City,IA,196,Sioux City,IA
161371,Winneshiek Medical Center,Decorah,IA,16029,Decorah,IA,448,La Crosse,WI
161372,Boone County Hospital,Boone,IA,16009,Boone,IA,192,Des Moines,IA
161373,Ringgold County Hospital,Mount Ayr,IA,16031,Des Moines,IA,192,Des Moines,IA
161374,Myrtue Medical Center,Harlan,IA,16048,Harlan,IA,278,Omaha,NE
161375,Buena Vista Regional Med Ctr,Storm Lake,IA,16101,Storm Lake,IA,196,Sioux City,IA
161376,Cass County Memorial Hospital,Atlantic,IA,16005,Atlantic,IA,278,Omaha,NE
161377,Mercy Medical Center-Centerville,Centerville,IA,16015,Centerville,IA,192,Des Moines,IA
161379,Mahaska Health Partnership,Oskaloosa,IA,16082,Oskaloosa,IA,192,Des Moines,IA
161380,Ellsworth Municipal Hospital,Iowa Falls,IA,16055,Iowa Falls,IA,192,Des Moines,IA
161381,Sanford Sheldon Medical Center,Sheldon,IA,16093,Sheldon,IA,196,Sioux City,IA
130002,St. Luke's Magic Valley Med Ctr,Twin Falls,ID,13038,Twin Falls,ID,151,Boise,ID
130003,St. Joseph Regional Med Ctr,Lewiston,ID,13020,Lewiston,ID,440,Spokane,WA
130006,St. Luke's Regional Med Ctr,Boise,ID,13004,Boise,ID,151,Boise,ID
130007,St. Alphonsus Regional Med Ctr,Boise,ID,13004,Boise,ID,151,Boise,ID
130013,Mercy Medical Center,Nampa,ID,13026,Nampa,ID,151,Boise,ID
130014,West Valley Medical Center,Caldwell,ID,13007,Caldwell,ID,151,Boise,ID
130018,Eastern Idaho Regional Med Ctr,Idaho Falls,ID,13017,Idaho Falls,ID,152,Idaho Falls,ID
130024,Bonner General Hospital,Sandpoint,ID,13033,Sandpoint,ID,440,Spokane,WA
130025,Madison Memorial Hospital,Rexburg,ID,13030,Rexburg,ID,152,Idaho Falls,ID
130028,Portneuf Medical Center,Pocatello,ID,13028,Pocatello,ID,423,Salt Lake City,UT
130049,Kootenai Medical Center,Coeur D'alene,ID,13009,Coeur D'Alene,ID,440,Spokane,WA
131301,Boundary Community Hospital,Bonners Ferry,ID,13005,Bonners Ferry,ID,440,Spokane,WA
131302,Gooding County Memorial Hospital,Gooding,ID,13038,Twin Falls,ID,151,Boise,ID
131305,Steele Memorial Medical Center,Salmon,ID,13032,Salmon,ID,276,Missoula,MT
131307,Weiser Memorial Hospital,Weiser,ID,13039,Weiser,ID,151,Boise,ID
131309,Caribou Mem Hosp & Living Ctr,Soda Springs,ID,13035,Soda Springs,ID,423,Salt Lake City,UT
131310,St. Benedicts Family Med Ctr,Jerome,ID,13038,Twin Falls,ID,151,Boise,ID
131311,Elmore Medical Center,Mountain Home,ID,13025,Mountain Home,ID,151,Boise,ID
131312,McCall Memorial Hospital,Mc Call,ID,13022,McCall,ID,151,Boise,ID
131314,Shoshone Medical Center,Kellogg,ID,13019,Kellogg,ID,440,Spokane,WA
131315,Syringa General Hospital,Grangeville,ID,13015,Grangeville,ID,440,Spokane,WA
131316,Bear Lake Memorial Hospital,Montpelier,ID,13023,Montpelier,ID,423,Salt Lake City,UT
131317,Benewah Community Hospital,Saint Maries,ID,13036,St. Maries,ID,440,Spokane,WA
131318,Walter Knox Memorial Hospital,Emmett,ID,13004,Boise,ID,151,Boise,ID
131319,Minidoka Memorial Hospital,Rupert,ID,13031,Rupert,ID,423,Salt Lake City,UT
131320,Clearwater Valley Hospital,Orofino,ID,13027,Orofino,ID,440,Spokane,WA
131321,St. Mary's Hospital,Cottonwood,ID,13010,Cottonwood,ID,440,Spokane,WA
131322,Franklin County Medical Center,Preston,ID,13029,Preston,ID,423,Salt Lake City,UT
131323,St. Luke's Wood River Med Ctr,Ketchum,ID,13037,Sun Valley,ID,151,Boise,ID
131325,Bingham Memorial Hospital,Blackfoot,ID,13003,Blackfoot,ID,152,Idaho Falls,ID
131326,Cassia Regional Medical Center,Burley,ID,13006,Burley,ID,423,Salt Lake City,UT
131327,Gritman Medical Center,Moscow,ID,13024,Moscow,ID,440,Spokane,WA
140001,Graham Hospital,Canton,IL,14014,Canton,IL,170,Peoria,IL
140002,Alton Memorial Hospital,Alton,IL,14002,Alton,IL,273,St. Louis,MO
140007,Provena St. Joseph Med Ctr,Joliet,IL,14068,Joliet,IL,164,Joliet,IL
140008,Gottlieb Memorial Hospital,Melrose Park,IL,14084,Melrose Park,IL,166,Melrose Park,IL
140010,Evanston Northwestern Healthcare,Evanston,IL,14040,Evanston,IL,161,Evanston,IL
140011,Herrin Hospital,Herrin,IL,14058,Herrin,IL,273,St. Louis,MO
140012,Katherine Shaw Bethea Hospital,Dixon,IL,14031,Dixon,IL,171,Rockford,IL
140013,Proctor Hospital,Peoria,IL,14106,Peoria,IL,170,Peoria,IL
140015,Blessing Hospital,Quincy,IL,14112,Quincy,IL,172,Springfield,IL
140018,Mount Sinai Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140019,Shelby Memorial Hospital,Shelbyville,IL,14123,Shelbyville,IL,172,Springfield,IL
140026,St. Mary's Hospital,Streator,IL,14132,Streator,IL,170,Peoria,IL
140029,Rush-Copley Medical Center,Aurora,IL,14005,Aurora,IL,154,Aurora,IL
140030,Sherman Hospital,Elgin,IL,14037,Elgin,IL,158,Elgin,IL
140032,St. Anthony's Memorial Hospital,Effingham,IL,14035,Effingham,IL,172,Springfield,IL
140034,St. Mary's Hospital,Centralia,IL,14020,Centralia,IL,273,St. Louis,MO
140040,Galesburg Cottage Hospital,Galesburg,IL,14047,Galesburg,IL,170,Peoria,IL
140043,CGH Medical Center,Sterling,IL,14131,Sterling,IL,171,Rockford,IL
140046,Good Samaritan Reg Health Ctr,Mount Vernon,IL,14093,Mount Vernon,IL,273,St. Louis,MO
140048,Advocate Trinity Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140049,West Suburban Medical Center,Oak Park,IL,14098,Oak Park,IL,166,Melrose Park,IL
140051,Rush North Shore Medical Center,Skokie,IL,14125,Skokie,IL,161,Evanston,IL
140052,St. Anthony's Health Center,Alton,IL,14002,Alton,IL,273,St. Louis,MO
140053,St. John's Hospital,Springfield,IL,14128,Springfield,IL,172,Springfield,IL
140054,MacNeal Hospital,Berwyn,IL,14010,Berwyn,IL,166,Melrose Park,IL
140058,Passavant Area Hospital,Jacksonville,IL,14066,Jacksonville,IL,172,Springfield,IL
140059,Jersey Community Hospital,Jerseyville,IL,14067,Jerseyville,IL,273,St. Louis,MO
140062,Palos Community Hospital,Palos Heights,IL,14101,Palos Heights,IL,155,Blue Island,IL
140063,Rush Oak Park Hospital,Oak Park,IL,14098,Oak Park,IL,166,Melrose Park,IL
140064,OSF St. Mary Medical Center,Galesburg,IL,14047,Galesburg,IL,170,Peoria,IL
140065,Adventist La Grange Mem Hosp,La Grange,IL,14071,La Grange,IL,166,Melrose Park,IL
140066,Kenneth Hall Regional Hospital,East Saint Louis,IL,14007,Belleville,IL,273,St. Louis,MO
140067,OSF St. Francis Medical Center,Peoria,IL,14106,Peoria,IL,170,Peoria,IL
140068,Roseland Community Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140075,Michael Reese Hosp & Med Ctr,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140077,Touchette Regional Hospital,Centreville,IL,14007,Belleville,IL,273,St. Louis,MO
140080,St. Francis Hospital,Evanston,IL,14040,Evanston,IL,161,Evanston,IL
140082,Louis A. Weiss Memorial Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140083,Loretto Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140084,Vista Medical Center East,Waukegan,IL,14139,Waukegan,IL,451,Milwaukee,WI
140088,University of Chicago Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140089,McDonough District Hospital,Macomb,IL,14077,Macomb,IL,172,Springfield,IL
140091,Carle Foundation Hospital,Urbana,IL,14136,Urbana,IL,173,Urbana,IL
140093,Provena United Samaritans Center,Danville,IL,14027,Danville,IL,173,Urbana,IL
140094,St Mary & Elizabeth-St Elizabeth,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140095,St. Anthony Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140100,Midwestern Regional Med Ctr,Zion,IL,14139,Waukegan,IL,451,Milwaukee,WI
140101,Morris Hosp & Healthcare Centers,Morris,IL,14090,Morris,IL,164,Joliet,IL
140103,St Bernard Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140110,Ottawa Regional Hospital,Ottawa,IL,14100,Ottawa,IL,170,Peoria,IL
140113,Provena Covenant Medical Center,Urbana,IL,14136,Urbana,IL,173,Urbana,IL
140114,Swedish Covenant Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140115,Thorek Memorial Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140116,Centegra Northern IL Med Ctr,Mchenry,IL,14082,McHenry,IL,158,Elgin,IL
140117,Resurrection Medical Center,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140118,St. Francis Hosp & Health Center,Blue Island,IL,14012,Blue Island,IL,155,Blue Island,IL
140119,Rush University Medical Center,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140120,Pekin Hospital,Pekin,IL,14105,Pekin,IL,170,Peoria,IL
140122,Adventist Hinsdale Hospital,Hinsdale,IL,14062,Hinsdale,IL,163,Hinsdale,IL
140124,John H. Stroger Jr. Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140125,Gateway Regional Medical Center,Granite City,IL,14051,Granite City,IL,273,St. Louis,MO
140127,BroMenn Healthcare System,Normal,IL,14011,Bloomington,IL,175,Bloomington,IL
140130,Lake Forest Hospital,Lake Forest,IL,14072,Lake Forest,IL,161,Evanston,IL
140133,Holy Cross Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140135,Decatur Memorial Hospital,Decatur,IL,14029,Decatur,IL,172,Springfield,IL
140137,Greenville Regional Hospital,Greenville,IL,14052,Greenville,IL,273,St. Louis,MO
140143,St. Margaret's Hospital,Spring Valley,IL,14127,Spring Valley,IL,170,Peoria,IL
140145,St. Joseph's Hospital,Breese,IL,14013,Breese,IL,273,St. Louis,MO
140147,Richland Memorial Hospital,Olney,IL,14099,Olney,IL,179,Evansville,IN
140148,Memorial Medical Center,Springfield,IL,14128,Springfield,IL,172,Springfield,IL
140150,Univ of IL Med Ctr at Chicago,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140151,Sacred Heart Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140155,Provena St. Mary's Hospital,Kankakee,IL,14069,Kankakee,IL,164,Joliet,IL
140158,Mercy Hospital & Med Ctr,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140160,FHN Memorial Hospital,Freeport,IL,14045,Freeport,IL,171,Rockford,IL
140161,OSF St. James Medical Center,Pontiac,IL,14110,Pontiac,IL,175,Bloomington,IL
140162,OSF St. Joseph Medical Center,Bloomington,IL,14011,Bloomington,IL,175,Bloomington,IL
140164,Memorial Hospital of Carbondale,Carbondale,IL,14015,Carbondale,IL,273,St. Louis,MO
140166,St. Mary's Hospital,Decatur,IL,14029,Decatur,IL,172,Springfield,IL
140167,Iroquois Memorial Hospital,Watseka,IL,14138,Watseka,IL,173,Urbana,IL
140172,St. James Hosps & Health Centers,Olympia Fields,IL,14024,Chicago Heights,IL,155,Blue Island,IL
140174,Provena Mercy Medical Center,Aurora,IL,14005,Aurora,IL,154,Aurora,IL
140176,Centegra Memorial Medical Center,Woodstock,IL,14143,Woodstock,IL,171,Rockford,IL
140177,Jackson Park Hosp & Med Ctr,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140179,Little Company of Mary Hospital,Evergreen Park,IL,14097,Oak Lawn,IL,155,Blue Island,IL
140180,St Mary & Elizabeth-St Mary,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140181,South Shore Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140182,Advocate IL Masonic Med Ctr,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140184,Heartland Regional Med Ctr,Marion,IL,14078,Marion,IL,208,Paducah,KY
140185,Memorial Hospital,Belleville,IL,14007,Belleville,IL,273,St. Louis,MO
140186,Riverside Medical Center,Kankakee,IL,14069,Kankakee,IL,164,Joliet,IL
140187,St. Elizabeth's Hospital,Belleville,IL,14007,Belleville,IL,273,St. Louis,MO
140189,Sarah Bush Lincoln Health Center,Mattoon,IL,14080,Mattoon,IL,173,Urbana,IL
140191,Ingalls Memorial Hospital,Harvey,IL,14055,Harvey,IL,155,Blue Island,IL
140197,Methodist Hospital of Chicago,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140200,Elmhurst Memorial Hospital,Elmhurst,IL,14039,Elmhurst,IL,166,Melrose Park,IL
140202,Condell Medical Center,Libertyville,IL,14074,Libertyville,IL,451,Milwaukee,WI
140206,Norwegian American Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140207,Lincoln Park Hospital,Chicago,IL,14023,Chicago,IL,156,Chicago,IL
140208,Advocate Christ Medical Center,Oak Lawn,IL,14097,Oak Lawn,IL,155,Blue Island,IL
140209,Methodist Med Ctr of Illinois,Peoria,IL,14106,Peoria,IL,170,Peoria,IL
140210,Harrisburg Medical Center,Harrisburg,IL,14053,Harrisburg,IL,179,Evansville,IN
