GEOID,HRR name,State,Multiple chronic conditions - Fee-for-service Medicare beneficiaries*,Dementia - Fee-for-service Medicare beneficiaries*,Multiple chronic conditions - Average number of contact days with the health care system per beneficiary,Dementia - Average number of contact days with the health care system per beneficiary,Multiple chronic conditions - Average number of inpatient days per beneficiary,Dementia - Average number of inpatient days per beneficiary,Multiple chronic conditions - Average number of unique clinicians seen per beneficiary,Dementia - Average number of unique clinicians seen per beneficiary,Multiple chronic conditions - Percent of beneficiaries whose predominant provider was a primary care physician,Dementia - Percent of beneficiaries whose predominant provider was a primary care physician,Multiple chronic conditions - Percent of beneficiaries filling prescriptions for high-risk medications,Dementia - Percent of beneficiaries filling prescriptions for high-risk medications
235,Flint,MI,14354,6082,35.0849779004803,32.6672471824958,15.498162401937,20.8901821278839,4.86907612484085,4.19534920994356,72.0892000760301,75.2602823073578,26.2691280274594,24.0299696092126
236,Grand Rapids,MI,17206,7745,28.5840575937591,24.4279767722231,14.9260711560698,16.814190894869,4.72419207800135,3.71007066535994,71.4617665281,75.4740666757563,20.8037885209477,17.3275512292558
238,Kalamazoo,MI,15070,6178,28.7513755800189,25.8658460690628,15.3880473343809,20.2440933833412,4.85857344331915,4.00236432650554,63.9898936331562,64.7504294613223,18.9999398351107,17.8763157416621
239,Lansing,MI,14290,6487,30.5905889011996,27.8016414940854,16.5139261511716,20.9630219989433,4.84257284180482,3.9296214047601,69.0605734563246,75.1595663911535,21.0468428911943,19.8397108498172
240,Marquette,MI,5105,2284,21.4530801426842,15.9650824091006,14.393102760093,14.7970587452294,3.7733064739418,2.84228017029424,76.7765402349737,86.9505896062889,16.69895554202,15.0362913566157
242,Muskegon,MI,5400,2601,27.2823108769869,23.4440673850666,12.8639953148518,14.1783390606489,4.2249294269564,3.57923328420355,74.4388987954441,79.2759039008138,20.3960538347463,17.992612628138
243,Petoskey,MI,4796,1865,25.5123345093913,19.8427310117825,13.4698654825228,17.5973186636112,4.42715516712665,3.28791756217779,71.9977062459393,77.6077800147473,17.8880518621546,14.2297096933089
244,Pontiac,MI,9359,4108,37.3729482004131,35.9308096190238,18.2233561112545,25.0997836180872,5.28203673925285,4.76237791656131,65.2417662469198,73.7312372590201,23.3156693768906,26.5826079168214
245,Royal Oak,MI,16971,7962,39.513645658756,38.2564447535562,18.7940528239237,25.7446933187523,5.60062589772776,5.03261866531982,64.0523877575737,70.1259008185203,23.2547630449634,22.5762136250636
246,Saginaw,MI,20312,8693,29.3889356195359,27.0836768447177,17.6212047959945,24.1365545850604,4.1881234125744,3.47169621693144,71.4209745746218,77.7139291005522,20.8638362699772,18.2270367562569
248,St. Joseph,MI,3841,1541,30.9322827492915,28.0739205385635,13.6937302227635,17.9123587776363,4.80551220283827,3.95944593907964,64.56916675134,67.7432833833234,22.4546886820617,20.4620729282063
249,Traverse City,MI,6689,2752,26.1357752644513,21.7710818890573,14.3250828452363,17.2019912184585,4.01084461583401,3.19234054465091,76.7399406049896,81.7986025841195,18.338967714118,15.0444467345381
250,Duluth,MN,5801,2882,25.1907573442253,20.9527513301822,15.4098857646377,16.6161593206474,4.37066155387979,3.43494408645026,66.7559761515059,68.8804042091809,16.6706299119442,17.5341784818866
251,Minneapolis,MN,31053,15696,26.6409088561612,20.6841022893407,15.9468291835176,17.5254176675835,4.70541740609773,3.67488247354996,63.092621275701,64.8643035969582,17.1652389664453,15.7466294188997
253,Rochester,MN,6777,3266,26.2855693605639,19.3807999615737,18.1164762227935,18.9714567884686,4.91334593501827,3.56201410236009,62.3701480213146,67.5311785781494,14.9398860566029,12.0801195670092
254,St. Cloud,MN,2325,967,26.072085786742,18.8515418146648,15.8081351867151,17.0880669815485,4.47152838827063,3.3505883137545,67.5882798778985,75.8409800293122,17.0687949160591,12.9733356990825
256,St. Paul,MN,9449,4975,26.9198914681952,21.1007225768902,16.5323486525171,18.8397797990134,4.70932511617783,3.79889604108961,65.9689745114344,65.4303511209549,19.339939026018,16.6341627687523
257,Gulfport,MS,4574,1934,32.0250688700609,29.0232777886439,17.5293812694899,23.9536868822578,4.59278079698537,3.71922931097431,47.1255533659637,52.0934809802053,30.6051984693956,30.0620739745458
258,Hattiesburg,MS,7213,3392,31.0564233829421,27.5446162513411,16.8048381069896,20.634594906315,4.96704539946124,3.97402798346486,56.2929787062165,60.4829617383477,33.7984786131517,33.9747930165605
259,Jackson,MS,23499,12209,31.3102605233763,27.8854184559478,20.7895590008085,26.1554304554152,4.22877188462245,3.3874358298415,59.6258869880874,65.3433941151293,31.7149105436037,31.4692899525899
260,Meridian,MS,5716,3185,30.8189177951927,27.7433491307711,18.1425349499196,22.6232751394763,4.3707777234743,3.71383025308433,53.9696948103152,58.0879889672016,35.3588828126418,36.2440617490327
261,Oxford,MS,3727,1803,29.9863515889755,26.1228939877209,19.0055550727441,25.7893109754423,4.18774364012058,3.25184205870291,64.1741384351627,65.8785954352258,29.7276476882232,32.528849344183
262,Tupelo,MS,9928,4682,28.949219861882,24.4463426649428,18.5722744705485,23.9024323520055,4.56045438177916,3.48995186804746,61.4665946250808,68.8197387799113,31.126547730549,32.7355633288011
263,Cape Girardeau,MO,7707,3296,26.9868788500683,23.4481770970959,22.31848573366,32.8307918557231,4.12246044534734,3.20144394374991,68.9684787906475,75.8328873062204,30.8059553951756,28.9699391953513
264,Columbia,MO,18159,8169,27.8860068708706,24.4252998038198,18.3963782899087,25.0711392922393,4.34781090507624,3.47050243874438,64.2309943357417,74.559465272111,25.224299358133,24.1514190893691
267,Joplin,MO,10494,4832,28.3341219521087,25.8489843116135,18.3308467466596,25.7449691826516,4.05685214839399,3.16167002839977,73.2153121402081,83.8189347399859,26.8749508470636,27.1869150355125
268,Kansas City,MO,43087,20354,30.9332027853219,27.5578516260322,19.3375580609266,24.5860248089167,4.68395879960659,3.73894212768042,67.0693939307381,72.4736895998463,24.2793865610191,24.7046982363422
270,Springfield,MO,18994,8516,26.8408106398268,23.0690201563999,17.9569363119631,25.5158770915264,4.33775339593477,3.30912189963183,69.3507390133987,76.6382886220326,30.4340558877342,30.5081511575608
273,St. Louis,MO,79186,33874,29.5786328945886,27.2771690216628,17.545361300941,24.4506692925982,4.42704894908042,3.64495773902174,64.6525520375445,70.9526439470201,24.0107564700973,23.9890035733727
274,Billings,MT,9887,5191,24.5126005106707,18.1712137146141,14.0196867387881,14.3025533394519,4.32290211929794,3.3098237432304,62.8503877255927,70.3312746338948,21.8559922641375,19.2583210956882
275,Great Falls,MT,3083,1434,25.9694595304125,18.2342545450109,15.8413220067294,15.6255776808921,4.29838648923456,3.31990340667359,59.0959172815358,68.7747190656691,21.114308817401,20.3363786898264
276,Missoula,MT,6926,3449,25.2285058660734,18.8005143226693,16.1477579262044,18.5000051033389,4.20758321066217,3.25006269846512,59.482418759833,71.198612444797,24.1098526872288,23.8576325040388
277,Lincoln,NE,13465,6441,28.3658977917515,21.8580273126636,19.3202655048401,24.2572226935794,4.54470525819666,3.43583022584159,75.4715933273076,81.1850471202437,21.6297787511041,23.1785523014847
278,Omaha,NE,25109,12820,29.0563309641562,21.8538035120765,19.9327837690097,21.7014723984369,4.5901463953127,3.50191825682094,67.5900882737967,73.8183911487308,22.600083503568,22.0007383720809
279,Las Vegas,NV,27346,9217,37.8563301086231,35.1095640977244,16.3133030581678,23.6705585183698,4.9176948016299,4.2143323834331,56.7036480979608,64.8426966824128,25.8019155225488,25.9894581656581
280,Reno,NV,12059,4609,29.6715409454475,24.6859017489591,14.6845259241851,17.8902126118379,4.95918484912143,3.7811319609015,59.1706195483081,65.5111783770236,23.0056680292485,21.761154258895
281,Lebanon,NH,9271,5039,22.8304696126425,18.0661427518553,15.5787621740923,16.6790206203494,4.39477963204753,3.55932189715414,65.7959475861039,68.0586509346687,20.2436808130976,19.2683731892884
282,Manchester,NH,19843,9998,30.5054774962003,26.6557680835666,20.1750664179879,26.1617266322357,5.31439299095011,4.40169960567,59.4637511598164,59.3937538009802,22.1633071802006,21.7359693547646
283,Camden,NJ,83239,35781,39.4671169971301,37.109812399844,16.4191612292959,22.0545012673692,5.4612448517767,4.52638366767152,59.0121762940315,68.8899279940971,22.8935322985515,21.90396560814
284,Hackensack,NJ,28925,13893,42.059377049322,39.5979698222923,19.67434623406,25.3373978195069,5.39338831758421,4.60386452133722,53.4721409321453,64.13864478835,21.8836306143705,21.1920870158086
285,Morristown,NJ,21399,9809,39.1124994360266,35.6160024464349,18.2673326229914,22.7194189681335,5.32608228821576,4.37545058278974,53.9385465861476,68.3836834775434,20.2488525940039,19.2553150062557
288,New Brunswick,NJ,22611,10588,41.516741298877,39.4176698813971,17.0909846800354,21.9171109657907,5.64336633090211,4.79437107373754,52.4530689373251,67.6832844706892,20.7886280446458,19.3167612935946
289,Newark,NJ,27969,12397,38.6383068031859,36.4121599940038,19.1159696687518,25.2219757868868,4.78134915233799,4.09159176044428,56.3129558450799,66.3742279322835,22.6810276281984,21.0478049965988
291,Paterson,NJ,9147,4708,40.3657477091626,38.2288179825371,18.9183552618104,24.1359968557238,5.20663631729114,4.57866413845588,59.9423545111376,69.671186728162,23.3646860522234,21.7608649642364
292,Ridgewood,NJ,9586,5337,42.5532798270928,39.9303814556873,19.146968090786,23.7861359140146,5.83795553141992,4.97736008482992,51.303058838424,62.8805626743316,21.1225565086961,18.8223150293621
293,Albuquerque,NM,21403,9730,27.5704868653025,22.5200744753758,13.4117543959411,15.4231452558663,4.70420757062408,3.66049335088336,62.6688098232046,68.5431859051316,23.0692554316876,22.2468102504858
295,Albany,NY,38854,18703,34.017022013104,29.711390524059,17.5541782721128,22.1809939183217,5.36539154074423,4.2950925948388,62.089396399282,72.1053111738948,20.1829257194433,19.4072871626458
296,Binghamton,NY,8510,3775,29.3139259056259,25.0307368241465,15.5419133187291,20.3658979643444,4.88771094414471,3.76780426470916,60.444657532623,67.1363521660771,18.4517417217145,19.4841577988843
297,Bronx,NY,15388,8066,41.144229347126,41.0086180637545,20.033585410431,24.5640004228179,5.4788660484967,5.00926725232106,61.9952998388526,70.455628312857,21.7198678285859,17.0019092223022
299,Buffalo,NY,18694,9123,29.773297381815,26.343111104461,17.2252016296321,23.0439929274462,4.73803857229918,4.00532128558978,65.8658621872123,68.1118810870598,17.8726258655998,17.2025397592576
300,Elmira,NY,8851,3957,33.0495954719664,29.7376826651313,17.6336841955861,23.2941871195271,5.07225639043299,4.12119456865334,63.1656683563178,68.6209669285772,20.5152848782607,20.2371196170721
301,East Long Island,NY,96249,44844,46.2219148000394,44.9157929912195,18.4240334013628,25.7633485134203,5.76631338179039,4.88471612565614,59.4422205899913,70.3363152290469,19.6558087822792,17.5624310859646
303,Manhattan,NY,82600,40347,46.2237653381573,43.8926313652461,16.5808281788013,22.4808910520597,5.67962025509915,5.03546884859574,61.1537865419551,69.0608783135049,22.2244976107024,19.2484826538731
304,Rochester,NY,13842,7878,29.8996853011582,26.4213422318041,16.055072901383,18.1747002894216,4.81601203013922,4.16501462181787,66.6832879617247,68.0898586885764,22.5438202299062,19.8408116035513
307,Syracuse,NY,23358,11294,32.8945433834917,29.2647777659135,16.1944665330201,20.2008416900281,5.11390284394978,4.18274011228429,63.2722802695151,68.7983747364652,19.171780111419,19.144210389618
308,White Plains,NY,25223,12588,41.3363355328509,39.9337867528206,18.0337119011171,23.9917668104543,5.59491364771862,4.879400507927,55.525218736477,66.1716817859959,19.9147786174721,19.775692757792
309,Asheville,NC,17502,8536,27.9998632490078,24.2653650867303,16.1128458530256,19.7268650610964,4.97697017086909,4.05908602711475,70.8286334720777,70.8125569254013,29.1649810292361,29.0175587965831
311,Charlotte,NC,49165,24307,30.5203047432125,25.7011247779836,14.9577813776187,17.9346620840043,5.29411321559961,4.36748476455404,64.2849721307252,68.4781771886258,29.6513504870269,28.872181706816
312,Durham,NC,30776,15040,29.3679293984364,24.5223121596227,16.3384512069651,19.2115465615097,5.2573224527514,4.2707575568628,65.4106798384782,72.4981236231064,28.4168463592209,27.7593068438184
313,Greensboro,NC,10475,5531,29.735314480999,25.6847291071793,16.0010630966807,19.6743246945911,5.12688276751656,4.1817648689813,64.3628905802925,70.8020541627123,28.0778056063364,25.0805714941705
314,Greenville,NC,23657,9573,29.9977432466833,24.6347785763537,15.2052012870543,19.8669665938667,4.92744287107774,3.92751108660575,67.938733560062,73.8378576393651,29.7837639698009,29.7283285181577
315,Hickory,NC,7539,3437,29.2916599074128,25.08530905325,13.8434759096052,15.9164530167919,4.80455635044497,4.11154912086727,71.3070636096497,73.9688881615622,29.3603066801018,27.8777234942109
318,Raleigh,NC,41130,16927,31.6451968392854,27.7692769343208,16.615200267249,22.1602208418629,5.1442763722127,4.41928335822249,65.9590485311628,71.5012886816451,28.949607320881,29.4671707432686
319,Wilmington,NC,12879,5177,32.8868235980082,28.429154297906,15.8207309440676,20.8905960113215,5.5469038947389,4.40051603882267,69.093429688301,74.6212270685691,30.9825174863965,30.8667641762414
320,Winston-Salem,NC,21791,10840,29.9922402344096,26.7367873948768,16.671686826339,20.7236289776208,4.99280875474355,4.16327725865838,65.6132089353676,68.4521294560622,30.6930862927786,30.9469324370977
321,Bismarck,ND,5239,2786,26.5586847023139,20.4156776365949,24.7930014471087,30.9570858767641,4.70841808261758,3.51560885744768,58.2676910120268,66.2702106913906,18.6899743260124,18.2235888569442
322,Fargo/Moorhead MN,ND,8968,4379,27.0174842487148,20.7836205765033,19.5530779452495,22.3043628586434,4.42952536971445,3.44464681114866,68.1809819868897,74.2349994490898,19.6216896358858,16.4565042171366
323,Grand Forks,ND,3013,1356,25.5121197305894,17.6843044859367,22.7321243713973,30.6867375881656,4.50293768761905,3.10479495779553,63.6890681808577,77.0389406613566,20.1294124661477,16.3064686585931
324,Minot,ND,2845,1429,23.4025152688108,17.5646483462994,16.7636064505331,18.5570105892651,4.05521961159849,3.02910358342534,56.8106242838839,69.5389778796863,14.2347723235488,15.5050002684563
325,Akron,OH,11939,6024,32.2996551770338,31.0919607192892,19.5218465434161,24.4374212782965,4.68957739112009,3.88504304895639,67.3084645861299,70.3635395968121,24.856357512471,25.4783113948754
326,Canton,OH,10965,5084,32.7413197094693,30.3980830872635,18.3990704864741,22.51691441346,4.53080119767813,3.59036890432933,72.687490530249,82.4648240958571,27.4387350985003,26.8617205188856
327,Cincinnati,OH,27383,12537,32.0295881712861,30.2409539620729,17.4424288440007,22.1562155038805,4.68488157868315,3.74194971370013,66.8666809075394,75.6586402283226,30.3566660229778,31.566239942671
328,Cleveland,OH,42400,21102,33.8770254858225,31.8814291454731,20.6969448575335,25.4526823129189,5.14111666167667,4.22892835668585,62.9035127629675,69.1658656883709,20.7570296235604,19.5626651941671
329,Columbus,OH,51034,21442,29.5743668714866,26.7588445119363,18.4281898089516,22.8974279726044,4.55762536380985,3.6653486211699,71.029199756909,76.5487399099971,26.9484807728941,27.4358569609046
330,Dayton,OH,21662,9052,31.739439673332,28.6366289165209,18.6143255157057,23.3416485112301,4.61913040801228,3.69497965844168,67.5963196743085,75.819216132244,27.72709706195,28.0013524709823
331,Elyria,OH,6229,2355,32.2678719260109,29.8226327131146,19.8874089355506,26.9414551744701,5.42467314699824,4.62076370745923,57.7613616050409,57.7087859511219,24.4481637723786,22.8361832008567
332,Kettering,OH,7657,3650,34.0193428587394,31.8100123269123,16.1634635829032,19.5874994719063,4.99767042810426,4.03238354273386,63.3825199120311,68.4513568417847,31.3392521247508,30.6329116102817
334,Toledo,OH,20695,8229,30.7383405332913,27.2986355680384,20.0148907891277,26.1180336889403,4.6882780608012,3.80536920201342,68.1107095725,73.1832073680189,23.7467183098351,25.5826579152366
335,Youngstown,OH,13613,5775,35.2244581044647,33.1421369725929,18.9864641413262,25.5070680867944,4.69127406516636,3.7134113477099,75.8923226194318,78.5405663909519,25.1138495207289,22.0262166618932
336,Lawton,OK,6258,2128,26.3603933490067,23.7127923449794,13.1876348113327,18.821659453245,3.65167415540904,2.99527869691511,70.6996331630899,76.7654736424051,33.7708638431085,35.3137242985271
339,Oklahoma City,OK,41392,20010,29.4883606668574,26.254151079147,15.5917987897135,19.2593127033627,4.12625538434787,3.34183421332326,64.4333056319308,73.071195924534,32.5691737504686,33.6313876363805
340,Tulsa,OK,27277,11868,30.829858954044,28.2249505034947,16.794056679029,21.9927477221372,4.1688659745527,3.20998795902267,72.9873905662491,81.3468994256983,30.7415200201128,32.0130953422747
341,Bend,OR,3484,1407,27.8639685583794,18.6862715891211,7.0143262939253,6.0526353459566,5.68085615053557,4.13569655447432,54.9915688904327,63.9371635896861,26.0359746898124,23.4215609589689
342,Eugene,OR,11042,4794,26.6266490778013,19.2425778274429,10.9270799263346,10.8434532350938,4.31974199813298,3.28768938145246,68.5305357722268,70.1962909121178,24.4247579843566,21.7089957819869
343,Medford,OR,9430,4268,26.7548817766688,20.1209105851769,10.9521371214861,11.5346016024578,4.30174793840653,3.24291114789057,63.7123408158422,68.8386743073741,24.8874035255692,22.5312335058481
344,Portland,OR,24576,12047,25.9066394480486,19.3811292319353,12.7635831455096,12.7963051093709,4.27641614460565,3.19802404652405,63.5145774252103,69.074862287839,23.9493563570975,21.7547735288501
345,Salem,OR,2561,1197,28.1246701314042,19.2584897337796,10.541371173124,9.69470255076446,4.24963663410529,3.00984164356079,64.7347276925821,74.1038446367616,25.6595442607808,18.6587922772896
346,Allentown,PA,31245,14592,35.5834123667117,33.1506890169531,20.4894717298167,28.4569916323289,5.09978078527778,4.41692000651611,68.0234880103688,75.616349136561,19.4354692654166,19.6188759492893
347,Altoona,PA,6371,2558,30.3234466545306,26.1800748706116,18.6572136437605,26.9251843036058,4.53703634282962,3.52973590353141,75.5678204534322,84.2266986855521,24.0167044283692,25.8306007085573
350,Danville,PA,11965,5281,29.0278306495772,27.3568214138152,17.4233347449298,25.22376241664,4.34147017870158,3.57233050152173,75.3290146674581,79.3988168630685,20.1955075123006,22.1637135736502
351,Erie,PA,16225,7721,30.7512020215218,27.4299247582749,21.5036463800818,29.8914065251891,4.19211900472137,3.31690091250376,75.9183939620142,82.4105719085646,20.5848915725206,20.4546110766915
352,Harrisburg,PA,21382,9984,33.1155885115178,29.9334815033489,18.5731194182748,25.9761887725977,4.8560238077067,3.88367043538473,74.3955082032062,82.1672661976859,22.793360743741,24.6370950612822
354,Johnstown,PA,3615,1712,29.4319180062861,27.0108151675053,21.6263330175001,30.7373012891538,3.97522260717974,3.14374590653818,77.1906992670187,84.635108245021,22.4603200603922,22.3524574826601
355,Lancaster,PA,14338,7729,33.4142618352877,30.5935842509325,19.5334173271127,26.1013525046505,5.01945853775077,4.01633347872974,72.7135717893985,80.4665019590626,23.1744461645446,21.2937713876276
356,Philadelphia,PA,73904,37510,38.5230964783859,35.7834268848232,18.0002102208001,22.334102318034,5.46571813505618,4.52702429995906,62.3363780898062,72.0190890937584,22.3646163368414,19.9348312614141
357,Pittsburgh,PA,41771,20630,32.4012228424341,29.4019419247858,20.4653946056609,25.7110690877075,4.31836736123805,3.53242111051373,69.1155271983768,78.0597230468838,20.639144529358,20.2655136832651
358,Reading,PA,13032,5644,34.2179610196108,31.6056890092982,18.9000533069885,26.2138917082274,4.80647125833561,3.82379117774148,69.7762588121166,78.6238978598669,19.828151571359,22.2529955092424
359,Sayre,PA,5215,2265,30.8001457966966,27.682122406688,19.3076855481526,27.8423413433696,4.8283171318125,3.84147290379721,66.6796056951435,70.7649204010194,20.370627744012,21.7283224319383
360,Scranton,PA,9194,3341,33.4362977363654,29.1558207944756,21.4067080116921,31.3371946141369,4.21547186768039,3.22343112690768,73.2116475847346,79.7723295654215,21.3390761448692,22.4331320091967
362,Wilkes-Barre,PA,7796,3020,32.2168477688408,29.5507717130726,20.7497664908545,30.2544848443601,4.39538199339782,3.43591569355189,71.4124088902246,75.2668817464012,21.2197669164853,21.5081503273017
363,York,PA,9733,4984,31.7676933144214,28.7486029121473,15.995114142154,21.1379279999161,4.76707164180265,3.88499361954388,78.4410214366893,84.461007795571,21.5473214239571,21.3040528559451
364,Providence,RI,20614,10188,35.4293519847582,33.0684445495535,18.1996495687109,23.2323661920916,5.13674558352344,4.29023224835227,63.6334031666784,69.5361856897097,18.4653548687609,17.9950242918116
365,Charleston,SC,24470,10101,32.0643499330525,25.8892107947488,13.873546491697,17.3999001299265,5.16916532094799,3.99099154597981,64.4381786311229,73.1260866428796,27.8776979818331,27.1263078427795
366,Columbia,SC,26459,13050,30.2449397781248,24.5423744242195,15.8617892407075,19.9868558570025,4.66382454226345,3.66097378206497,65.6328051494997,74.7846092202377,28.9541710369476,28.4294599155647
367,Florence,SC,10320,4394,27.7422904384539,22.6111971281734,15.2135049999347,19.8916165369471,3.99177111148174,3.11971580134873,75.3376429305463,82.4860505065392,30.1225712588714,28.9341810516342
368,Greenville,SC,19974,9505,31.2264089016444,26.2111891673699,17.1791821166497,22.8614681171624,5.219812882426,4.11613031411929,64.2428840794054,68.3088891182947,30.0628371756739,30.9731991617717
369,Spartanburg,SC,8388,4147,30.3482862648577,26.6130754125155,18.3091442568752,24.4023309518373,4.71130340117702,3.84045288385689,66.4971389781122,70.7377152694819,28.3757542377345,28.1179454945461
370,Rapid City,SD,3951,1915,27.4922575312031,20.8510231192684,18.5259037585143,21.5760628828922,4.19721544882893,3.09017208126249,67.9650445231483,80.9773650418804,17.9956889905384,16.5321622859102
371,Sioux Falls,SD,16703,7846,25.9517043023335,19.0200326872791,17.6894610559255,19.6900518086182,4.17872273132084,3.04233332794975,69.8220683755273,79.7621942465852,16.7157515978137,15.9373102022664
373,Chattanooga,TN,17139,8188,30.1845517030516,27.2818960199706,16.2700840852062,22.8417261925704,4.87892204994911,3.97159860161481,57.5354679746607,60.5577512105338,31.1642681899718,29.5355395715243
374,Jackson,TN,11600,4731,29.7157359417488,25.5668889757585,19.096683571974,27.4914346130273,4.52510098353423,3.5352835982792,59.596249704761,65.6115757501015,34.4703442620885,32.9517604860488
375,Johnson City,TN,5682,2528,33.10073004719,31.6822289735629,20.7341727432563,29.2751989725823,5.08224297027452,4.51823818807638,62.6520127841946,59.9965492831464,33.7082114707575,36.7408535250638
376,Kingsport,TN,11485,4691,28.8429129852785,26.6785930321585,16.1980212115279,22.0509205441214,4.26614373375466,3.71629921790296,66.5176562021902,66.8881532795724,32.3032890118357,35.8502828146383
377,Knoxville,TN,30757,16147,30.1378953668985,27.2573641512855,16.9165444678509,22.5181237277118,4.62139886072381,3.97442955886404,65.9705429449623,67.8344467676142,33.428468956769,32.6520425855508
379,Memphis,TN,38759,18748,31.3820999495722,28.0583885899884,18.3825901299014,24.2114089956214,4.4411622083222,3.66028318845791,54.5186966623513,57.5019846633396,31.6419700689087,30.1148565658137
380,Nashville,TN,57182,26793,30.8353979089407,28.4224154376232,19.5273245924523,27.1635817530083,4.55800994207362,3.77998776751101,62.6527913921428,64.7967790928226,33.7949898788992,33.7479523768694
382,Abilene,TX,7917,4238,28.9002252313618,23.3642879188233,19.434687236697,21.6813387123237,3.88121980606522,3.06080915925108,67.9548640885315,73.4008878254166,33.6840388948453,32.4141603230861
383,Amarillo,TX,9240,3948,31.9143629735717,26.9292465732307,15.9450259598825,18.7041965316218,4.83256066157482,3.88477599449093,47.669449266453,54.8513624083861,26.4581014288634,28.0609699794035
385,Austin,TX,22767,12300,36.1215837427989,32.2911137532254,17.1981768230422,21.5748320019749,5.43339089490327,4.65938152362457,47.9651181498789,51.0486034258229,28.8457050172236,28.4933477477153
386,Beaumont,TX,12464,4777,31.5591398817181,28.8544053874723,14.0186341644357,20.4350273812456,4.38699614530714,3.44495088095756,61.8565257600133,66.6013750851167,31.5310034198787,31.2912452703475
388,Bryan,TX,4214,2106,30.7941969225779,27.524653036627,17.4907283253644,21.6563596899161,4.4318113438895,3.42466752643819,67.3937418323187,75.3594077833545,29.6915069875243,26.4138785236624
390,Corpus Christi,TX,11120,5680,33.975014510179,32.304535159513,18.1974206333902,24.5553656466488,4.05974735812673,3.42931624904101,67.7409947381961,67.7505238543662,32.5179591337224,31.250754731383
391,Dallas,TX,77557,38306,34.8997675932251,32.6379678486036,18.8505092337304,24.3426370076461,4.85232233870687,4.12317188016991,59.2988656006084,64.456170472355,30.8882329926662,30.5757883815563
393,El Paso,TX,17183,7600,29.925807029055,25.2933820254393,13.9595013928285,19.005066998425,4.49411368016954,3.54201734764031,59.2161083039963,65.302534995968,28.2165574073194,27.7825369689086
394,Fort Worth,TX,33694,16413,36.0213314130857,33.8042088230151,19.0506121453156,24.6152363987634,4.70424937259233,3.9621337195491,62.3928641759403,64.1994320139065,33.1924374972584,33.0463136431249
396,Harlingen,TX,12198,5179,34.1883299455558,30.101816093054,13.6727184692225,19.3297828249636,4.61324998230978,3.73767028504938,72.1418398246852,75.9052563536675,25.5371937817171,25.4143097481424
397,Houston,TX,88647,44115,35.6983050222869,33.9689060916034,18.4593153594489,23.4585208934027,4.71523110429235,3.91758250715337,56.432220042362,62.186399282955,31.1488657413174,30.7652366959376
399,Longview,TX,5213,2591,30.667406132794,27.5093285291842,17.0230122288295,20.4340565226316,4.31508687630829,3.54275516519442,61.0809998540996,62.1055325439039,31.6779155505612,34.874375343844
400,Lubbock,TX,14577,6245,29.1999421226266,26.4988812436387,18.3192785658192,22.9897788439906,4.2732715523311,3.42015734932344,51.7221775456227,53.3819214206391,30.6619214146016,29.1706759812683
402,McAllen,TX,13717,6554,35.6144987774115,32.1812188102401,15.4071917541013,20.2903975921633,5.15146948773083,4.30712483075466,78.9374406276769,84.946892540209,32.58452519583,32.7047900020545
406,Odessa,TX,6251,2942,29.1963069607198,23.4161411500899,18.398416415085,22.3960270442546,3.92992021996342,3.0735068708668,60.9033235809169,69.4820646374097,25.5220665646447,26.0829240304179
411,San Angelo,TX,4343,1963,29.700213463511,26.5724623764438,14.1053794450894,18.1206323983184,4.78077015185941,3.62910423736972,56.6562125817446,69.5719980082315,29.9647163813855,32.2205321367116
412,San Antonio,TX,46346,22182,34.5517263131704,32.4766351736173,16.5764278836967,21.8856979642708,4.83364102182225,4.03991437921626,58.9917618466875,66.5552044341492,29.7405261723005,30.3907960675212
413,Temple,TX,6731,2800,28.7920136733356,25.4803580994743,17.1170187406693,21.1187691364606,5.03313771079753,3.98289054824998,66.4891922575597,68.6818553072963,27.2312160892472,29.8521320287145
416,Tyler,TX,15773,8112,31.1971130029626,28.5798776157841,18.6872388649002,23.9146037040692,4.53276240795287,3.74022008109629,66.8478825596204,68.7746255501276,31.9626580849,31.5618485172714
417,Victoria,TX,4523,2081,33.8550755132745,32.4805851492795,19.4026099640743,26.2846075644022,3.99738271461779,3.08304894196486,74.7071270063914,81.2575790081435,27.0656184790862,29.2247163803988
418,Waco,TX,6718,3740,26.4178188612151,22.2329887259377,18.8302046580823,21.1154849230267,4.16964437817928,3.25403971119575,66.6826866231259,70.7068668770013,32.5053676805817,37.0728739916583
420,Wichita Falls,TX,6283,3005,28.422735763631,24.0796545516372,16.5904006060977,20.7815553040699,4.24944646309819,3.45836458047817,62.7310849644424,69.5102618277226,33.1104882135138,32.5807810004029
421,Ogden,UT,4194,1904,28.9248921093736,20.1347281708819,13.2491660737175,13.642578918274,4.72631152450175,3.48725983888554,68.0820855904598,76.5780828712742,27.3165825413743,23.1812940400574
422,Provo,UT,3869,1749,29.3833364678732,22.0401039798227,14.5281378227681,15.0249044417646,4.67077119991889,3.64557311769127,69.3741141184948,78.1312290122756,27.782625668404,23.5694936191084
423,Salt Lake City,UT,18246,8889,26.9760557514217,19.7334290872995,14.7572654495953,15.1741825341298,4.40609533040744,3.23306505470769,66.2385690838513,73.9941711367364,24.1152195069285,19.964118014165
424,Burlington,VT,14553,6263,26.1516025073805,21.1267022942108,16.3997781954395,19.2781880581986,4.36763248994322,3.32339515896158,69.2733263868488,75.4473819121814,22.343022769541,21.4680956915577
