Medicare Severity Diagnostic-Related Group code,Medicare Severity Diagnostic-Related Group label,# of records with this Medicare Severity Diagnositic-Related Group code in 2007,# of people with this Medicare Severity Diagnotic-Related Group code in 2007,# of records with this Medicare Severity Diagnositic-Related Group code in 2008,# of people with this Medicare Severity Diagnotic-Related Group code in 2008,# of records with this Medicare Severity Diagnositic-Related Group code in 2009,# of people with this Medicare Severity Diagnotic-Related Group code in 2009,# of records with this Medicare Severity Diagnositic-Related Group code in 2010,# of people with this Medicare Severity Diagnotic-Related Group code in 2010,# of records with this Medicare Severity Diagnositic-Related Group code in 2011,# of people with this Medicare Severity Diagnotic-Related Group code in 2011,# of records with this Medicare Severity Diagnositic-Related Group code in 2012,# of people with this Medicare Severity Diagnotic-Related Group code in 2012,# of records with this Medicare Severity Diagnositic-Related Group code in 2013,# of people with this Medicare Severity Diagnotic-Related Group code in 2013,# of records with this Medicare Severity Diagnositic-Related Group code in 2014,# of people with this Medicare Severity Diagnotic-Related Group code in 2014
229,Other Cardiothoracic Procedures with CC,852,852,3025,3023,2394,2392,2338,2337,2329,2326,1980,1980,2069,2065,1887,1884
230,Other Cardiothoracic Procedures without CC/MCC,326,326,1014,1014,757,755,648,648,637,637,529,529,481,480,488,488
231,Coronary Bypass with PTCA with MCC,403,403,1482,1482,1475,1475,1399,1399,1133,1133,1238,1238,1116,1115,996,996
232,Coronary Bypass with PTCA without MCC,294,294,1192,1192,1032,1031,1023,1023,1002,1002,964,963,904,904,817,817
233,Coronary Bypass with Cardiac Catheterization with MCC,4470,4470,17344,17339,16953,16938,15667,15660,13268,13262,12455,12451,11527,11521,11153,11152
234,Coronary Bypass with Cardiac Catheterization without MCC,7321,7318,26199,26193,23682,23669,22255,22251,21340,21336,19706,19703,17978,17973,16667,16662
235,Coronary Bypass without Cardiac Catheterization with MCC,2472,2471,10622,10622,10731,10726,10014,10012,8612,8612,7960,7959,8016,8015,8036,8033
236,"Coronary Bypass without Cardiac Catheterization without
MCC",6358,6358,24556,24550,22631,22617,21916,21914,21044,21042,19162,19158,18720,18715,18610,18607
237,"Major Cardiovascular Procedures with MCC or Thoracic Aortic
Aneurysm Repair",6236,6192,23642,23352,23521,23213,23485,23140,21559,21286,19095,18900,17650,17456,18129,17934
238,Major Cardiovascular Procedures without MCC,9725,9655,38098,37444,36393,35658,35963,35293,37187,36518,34668,34048,33695,33068,32656,32080
239,"Amputation for Circulatory System Disorders Except Upper
Limb and Toe with MCC",3156,3099,12900,12135,11904,11178,11513,10797,10044,9447,9567,9011,8783,8301,8601,8120
240,"Amputation for Circulatory System Disorders Except Upper
Limb and Toe with CC",2303,2268,9168,8802,9047,8644,8809,8415,9492,9085,8959,8590,8193,7889,7949,7603
241,"Amputation for Circulatory System Disorders Except Upper
Limb and Toe without CC/MCC",422,421,1664,1635,1479,1449,1519,1489,1389,1378,1306,1283,1153,1132,987,978
242,Permanent Cardiac Pacemaker Implant with MCC,4923,4919,21236,21199,23114,23081,22177,22136,17832,17803,17190,17160,16864,16834,16453,16425
243,Permanent Cardiac Pacemaker Implant with CC,9216,9209,36280,36198,33827,33761,32538,32473,33775,33709,31047,30981,28364,28308,26419,26368
244,Permanent Cardiac Pacemaker Implant without CC/MCC,12504,12495,48111,48050,42280,42232,37437,37396,32555,32521,27627,27603,23668,23651,20155,20142
245,AICD Lead and Generator Procedures,1506,1502,5543,5509,3840,3839,3476,3472,2658,2653,2132,2129,1943,1943,1670,1670
246,"Percutaneous Cardiovascular Procedure with Drug-Eluting
Stent with MCC or 4+ Vessels/Stents",6954,6870,31219,30375,34406,33458,34433,33415,30359,29504,30598,29754,30682,29837,31202,30439
247,"Percutaneous Cardiovascular Procedure with Drug-Eluting
Stent without MCC",35891,34808,143633,135060,132217,125030,123313,117116,114873,109529,108975,104471,95749,92434,82004,79888
248,"Percutaneous Cardiovascular Procedure with Non
Drug-Eluting Stent with MCC or 4+ Vessels/Stents",5142,5110,18329,18092,15809,15617,15364,15192,13791,13639,12169,12061,10351,10273,8765,8681
249,"Percutaneous Cardiovascular Procedure with Non
Drug-Eluting Stent without MCC",18527,18248,59606,58104,40784,40016,37123,36432,35152,34581,28339,27901,20504,20282,15370,15237
250,"Percutaneous Cardiovascular Procedure without Coronary
Artery Stent or Acute Myocardial Infarction with MCC",1886,1882,8319,8215,9008,8896,9231,9108,8574,8424,9280,9141,9254,9143,9534,9393
251,"Percutaneous Cardiovascular Procedure without Coronary
Artery Stent or Acute Myocardial Infarction without MCC",9400,9311,36450,35331,32970,31981,31810,30870,31853,30988,30848,29992,27692,26993,21194,20756
252,Other Vascular Procedures with MCC,11177,10764,44979,40846,44172,40117,43215,39031,38786,35077,36293,32959,32327,29496,31544,28882
253,Other Vascular Procedures with CC,10253,10039,40092,37447,38284,35856,38291,35792,40802,38072,38721,36001,35433,33052,33808,31611
254,Other Vascular Procedures without CC/MCC,11158,10764,41386,37864,36707,33945,34701,32243,31607,29433,28792,26913,22516,21315,15623,15023
255,"Upper Limb and Toe Amputation for Circulatory System
Disorders with MCC",613,598,2737,2623,2960,2818,2864,2756,2464,2362,2318,2235,2271,2197,2219,2124
256,"Upper Limb and Toe Amputation for Circulatory System
Disorders with CC",679,672,2894,2835,2749,2674,2727,2664,3157,3088,2868,2821,2759,2700,2609,2558
257,"Upper Limb and Toe Amputation for Circulatory System
Disorders without CC/MCC",122,122,440,435,395,390,385,383,377,375,314,313,257,256,254,254
258,Cardiac Pacemaker Device Replacement with MCC,204,204,880,879,1010,1008,828,828,681,681,650,649,588,588,539,539
259,Cardiac Pacemaker Device Replacement without MCC,1606,1606,5639,5638,4417,4417,3552,3552,3213,3212,2647,2646,2082,2081,1928,1928
260,"Cardiac Pacemaker Revision Except Device Replacement
with MCC",448,447,1836,1815,2002,1974,2158,2129,1921,1896,1817,1781,1754,1733,1916,1896
261,"Cardiac Pacemaker Revision Except Device Replacement
with CC",927,915,3704,3624,3539,3461,3432,3358,3494,3426,3294,3230,2948,2901,3092,3050
262,"Cardiac Pacemaker Revision Except Device Replacement
without CC/MCC",713,707,2607,2565,2339,2306,2104,2083,1946,1925,1632,1614,1408,1399,1430,1423
263,Vein Ligation and Stripping,134,134,567,562,482,475,469,465,423,419,398,396,332,329,285,284
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,6429,6283,24326,22879,22633,21226,22747,21381,21325,20087,19277,18250,17515,16643,15350,14662
265,AICD LEAD PROCEDURES,0,0,435,432,1606,1596,1442,1430,1215,1206,1092,1089,929,928,678,676
266,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1766,1766
267,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1902,1901
271,,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
277,,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
280,"Acute Myocardial Infarction, Discharged Alive with MCC",19449,18702,81426,75798,80562,74896,77008,71626,69237,64413,67742,63115,64216,60076,62501,58438
281,"Acute Myocardial Infarction, Discharged Alive with CC",13402,12992,49009,46700,41247,39453,42342,40545,48544,46286,48131,45932,43400,41700,42400,40702
282,"Acute Myocardia Infarction, Discharged Alive without
CC/MCC",11734,11197,41396,39197,36222,34428,34597,32871,32002,30561,30912,29520,27244,26154,25373,24487
283,"Acute Myocardial Infarction, Expired with MCC",4041,4040,15476,15474,14037,14034,13268,13266,11819,11819,11159,11159,10302,10301,9727,9727
284,"Acute Myocardial Infarction, Expired with CC",900,900,3195,3195,2463,2463,2413,2413,2920,2920,2604,2604,2208,2208,1977,1976
285,"Acute Myocardial Infarction, Expired without CC/MCC",585,585,1911,1910,1584,1583,1423,1423,1263,1263,1091,1091,926,926,762,761
286,"Circulatory Disorders Except Acute Myocardial Infarction, with
Cardiac Catheterization with MCC",6983,6953,29196,28840,32076,31628,31803,31347,26760,26421,27111,26754,26488,26068,27322,26944
287,"Circulatory Disorders Except Acute Myocardial Infarction, with
Cardiac Catheterization without MCC",34196,34027,132743,130446,121261,119200,119386,117471,115145,113195,107782,105987,89447,88095,78150,77099
288,Acute and Subacute Endocarditis with MCC,1003,927,3954,3545,3782,3379,3383,3040,3196,2863,2892,2602,2486,2252,2246,2055
289,Acute and Subacute Endocarditis with CC,392,369,1444,1350,1322,1210,1400,1301,1454,1341,1324,1217,1213,1133,1120,1040
290,Acute and Subacute Endocarditis without CC/MCC,162,148,583,532,506,459,477,440,406,384,409,368,316,301,273,253
291,Heart Failure and Shock with MCC,56424,51323,230957,191316,249552,204241,242154,198477,202427,169249,200306,167993,199595,168503,208942,175377
292,Heart Failure and Shock with CC,59090,53802,224659,186425,211106,175878,213787,177347,245106,199314,230483,188709,212584,176277,208412,173011
293,Heart Failure and Shock without CC/MCC,52950,47851,183220,152597,162624,136393,147697,124687,132050,113042,115560,100227,100455,88194,93642,82630
294,Deep Vein Thrombophlebitis with CC/MCC,589,561,1853,1776,1745,1685,1460,1415,1266,1219,974,942,775,743,575,554
295,Deep Vein Thrombophlebitis without CC/MCC,382,372,1301,1256,1155,1121,897,860,610,582,389,380,255,243,212,204
296,"Cardiac Arrest, Unexplained with MCC",652,647,2348,2326,2321,2306,2582,2561,2572,2544,2751,2731,2914,2885,3182,3147
297,"Cardiac Arrest, Unexplained with CC",246,242,847,833,756,748,770,764,919,900,701,694,741,724,667,654
298,"Cardiac Arrest, Unexplained without CC/MCC",228,219,785,760,709,684,670,655,665,647,548,529,547,532,537,525
299,Peripheral Vascular Disorders with MCC,7611,7267,30657,28664,30597,28792,29779,28091,25002,23538,24313,23010,22548,21246,21710,20534
300,Peripheral Vascular Disorders with CC,14199,13367,52475,48192,50317,46486,50167,46442,54063,50011,51039,47269,44212,41123,41449,38457
301,Peripheral Vascular Disorders without CC/MCC,12301,11570,43519,40313,40131,37343,39030,36440,36113,33823,32168,30231,26141,24549,22211,20874
302,Atherosclerosis with MCC,3087,2965,11795,11030,12381,11534,11250,10552,8378,7794,7855,7351,6966,6536,6598,6198
303,Atherosclerosis without MCC,22066,21007,76691,70035,66886,61178,60493,55444,53734,49475,46318,42811,35538,33044,29662,27672
304,Hypertension with MCC,1814,1689,6439,5928,6634,6185,6655,6230,5549,5140,5426,5047,5298,4993,5502,5210
305,Hypertension without MCC,17923,16725,60287,54537,58018,52615,56586,51756,55513,50905,50664,46763,41517,38625,37582,34918
306,Cardiac Congenital and Valvular Disorders with MCC,912,876,3786,3586,4406,4181,4138,3904,3945,3725,4216,3965,4245,3976,4516,4257
307,Cardiac Congenital and Valvular Disorders without MCC,3125,2945,10742,9800,10391,9499,10003,9139,10426,9518,10298,9503,9598,8798,8932,8258
308,Cardiac Arrhythmia and Conduction Disorders with MCC,14739,14172,65599,61590,76238,71512,79114,73997,71326,66373,72207,67307,71194,66500,71462,66741
309,Cardiac Arrhythmia and Conduction Disorders with CC,25666,24580,100287,93703,100486,93793,103662,96559,116729,108243,116800,108277,105251,97974,98932,92097
310,"Cardiac Arrhythmia and Conduction Disorders without
CC/MCC",41443,39402,155104,141764,146372,134103,141693,130078,136032,125281,129258,119108,109414,101512,95188,88615
311,ANGINA PECTORIS,6396,6229,22653,21727,19639,18843,17582,16940,15155,14584,13301,12838,10287,9952,9067,8788
312,Syncope and Collapse,48790,45940,183352,168436,180884,166372,179923,165385,168620,155527,147825,136626,113733,105572,99170,92017
313,CHEST PAIN,51047,49188,190686,176653,176049,162757,171211,158255,149118,138056,127909,119173,87802,82725,74325,70220
314,Other Circulatory System Diagnoses with MCC,18211,16954,71989,61340,71428,60572,69359,59053,62830,53333,59054,50530,53270,46290,50598,44183
315,Other Circulatory System Diagnoses with CC,9368,9009,34389,32654,30836,29231,30069,28633,32871,31239,31671,30120,28278,26926,26470,25141
316,Other Circulatory System Diagnoses without CC/MCC,7312,6977,25022,23529,20431,19232,19054,17931,17149,16157,15412,14621,13186,12522,11970,11367
326,"Stomach, Esophageal and Duodenal Procedures with MCC",2894,2881,11620,11513,11842,11723,11636,11526,11136,11051,10601,10495,9953,9860,9551,9444
327,"Stomach, Esophageal and Duodenal Procedures with CC",2566,2560,9897,9837,9739,9670,9963,9876,10344,10279,10230,10146,9855,9785,9568,9511
328,"Stomach, Esophageal and Duodenal Procedures without
CC/MCC",2024,2018,8045,7985,8754,8707,9527,9475,10363,10295,9925,9856,9533,9489,9399,9342
329,Major Small and Large Bowel Procedures with MCC,12782,12737,50286,49497,49225,48334,47711,46940,43512,42881,41549,40895,38118,37536,35456,34938
330,Major Small and Large Bowel Procedures with CC,15481,15428,58653,57825,55675,54827,55166,54318,57190,56203,54807,53804,52024,51150,49700,48843
331,Major Small and Large Bowel Procedures without CC/MCC,6678,6672,25601,25444,24352,24209,24644,24448,24718,24574,24546,24383,23803,23646,23441,23294
332,Rectal Resection with MCC,504,504,1968,1967,1858,1857,1708,1708,1495,1491,1351,1351,1159,1157,1082,1080
333,Rectal Resection with CC,1476,1476,5413,5403,4940,4926,4693,4681,4670,4657,4366,4359,3940,3932,3801,3786
334,Rectal Resection without CC/MCC,841,841,3291,3274,2987,2972,3095,3072,2991,2960,3030,3002,2810,2785,2671,2645
335,Peritoneal Adhesiolysis with MCC,2007,2007,8115,8079,8309,8268,8149,8098,7241,7222,6926,6887,6511,6474,6122,6094
336,Peritoneal Adhesiolysis with CC,3224,3222,12144,12071,12220,12145,12043,11962,13157,13075,12844,12752,12401,12332,11801,11724
337,Peritoneal Adhesiolysis without CC/MCC,1978,1976,7807,7778,7685,7642,7705,7659,7808,7774,7241,7197,7066,7028,6411,6390
338,"Appendectomy with Complicated Principal Diagnosis with
MCC",409,409,1586,1585,1575,1574,1592,1591,1274,1274,1236,1235,963,962,963,962
339,Appendectomy with Complicated Principal Diagnosis with CC,785,783,3001,2998,2765,2762,2924,2920,3169,3165,3008,3004,2796,2792,2824,2821
340,"Appendectomy with Complicated Principal Diagnosis without
CC/MCC",846,845,3291,3284,3116,3112,3190,3187,3085,3077,2958,2954,2781,2778,2647,2644
341,"Appendectomy without Complicated Principal Diagnosis with
MCC",220,220,1007,1007,1097,1096,1065,1064,904,904,927,927,781,781,730,730
342,"Appendectomy without Complicated Principal Diagnosis with
CC",627,627,2735,2735,2725,2725,2744,2743,2816,2816,2878,2878,2528,2527,2298,2298
343,"Appendectomy without Complicated Principal Diagnosis
without CC/MCC",1608,1608,6696,6696,6546,6543,6448,6446,6251,6250,5693,5691,4933,4932,3953,3951
344,Minor Small and Large Bowel Procedures with MCC,270,270,1033,1032,1145,1143,994,993,943,938,944,940,877,877,926,923
345,Minor Small and Large Bowel Procedures with CC,760,759,2916,2912,2847,2845,3068,3061,3338,3324,3307,3291,3234,3218,3275,3263
346,Minor Small and Large Bowel Procedures without CC/MCC,688,688,2770,2768,2572,2568,2617,2613,2647,2647,2588,2584,2528,2525,2632,2629
347,Anal and Stomal Procedures with MCC,447,444,1698,1679,1838,1810,1875,1855,1663,1633,1570,1538,1502,1477,1390,1359
348,Anal and Stomal Procedures with CC,1021,1012,4080,4001,3922,3846,4063,3986,4420,4327,4204,4094,3835,3763,3634,3542
349,Anal and Stomal Procedures without CC/MCC,1114,1105,4386,4330,4013,3960,3858,3796,3586,3524,3153,3115,2649,2598,2253,2226
350,Inguinal and Femoral Hernia Procedures with MCC,501,501,1920,1912,2099,2098,1985,1979,1723,1718,1666,1661,1472,1469,1453,1450
351,Inguinal and Femoral Hernia Procedures with CC,1103,1102,4273,4260,4157,4142,4218,4200,4243,4228,4141,4121,3738,3715,3593,3580
352,Inguinal and Femoral Hernia Procedures without CC/MCC,1829,1827,6971,6955,6329,6310,5937,5915,5664,5645,5037,5018,4357,4336,3708,3698
353,Hernia Procedures Except Inguinal and Femoral with MCC,901,900,3660,3646,3908,3894,3959,3951,3531,3514,3463,3443,3136,3125,2962,2946
354,Hernia Procedures Except Inguinal and Femoral with CC,2127,2125,8771,8721,8963,8916,9324,9268,9912,9862,9514,9472,8776,8728,7991,7954
355,"Hernia Procedures Except Inguinal and Femoral without
CC/MCC",3441,3435,13411,13315,12932,12836,12676,12584,11685,11615,10540,10484,9217,9174,8060,8018
356,Other Digestive System O.R. Procedures with MCC,2154,2146,9090,9011,8913,8825,8820,8728,8014,7932,7545,7465,7246,7174,6930,6856
357,Other Digestive System O.R. Procedures with CC,1812,1806,6967,6923,6565,6526,6865,6825,7526,7476,7110,7066,6831,6774,6401,6369
358,Other Digestive System O.R. Procedures without CC/MCC,514,514,2095,2087,2031,2023,1919,1914,1944,1936,1871,1864,1661,1658,1528,1525
368,Major Esophageal Disorders with MCC,977,964,4003,3907,4197,4080,4267,4131,3519,3444,3683,3590,3031,2938,3011,2925
369,Major Esophageal Disorders with CC,1419,1399,5383,5260,4779,4679,4938,4818,5536,5429,5435,5306,4378,4297,4208,4141
370,Major Esophageal Disorders without CC/MCC,645,633,2267,2216,1819,1780,1754,1709,1735,1709,1519,1491,1182,1149,998,980
371,"Major Gastrointestinal Disorders and Peritoneal Infections
with MCC",7422,6940,33303,29739,33250,29819,31766,28475,27259,24522,26401,23726,23690,21393,21861,19828
372,"Major Gastrointestinal Disorders and Peritoneal Infections
with CC",7245,6711,30143,26654,28564,25439,30940,27424,40301,35522,40493,35627,35648,31634,33666,29817
373,"Major Gastrointestinal Disorders and Peritoneal Infections
without CC/MCC",3940,3645,15574,14034,14393,12999,14513,13135,15396,13911,14648,13191,13206,12035,11850,10823
374,Digestive Malignancy with MCC,3071,2924,11933,11103,11178,10446,11165,10393,9694,9016,9815,9166,9135,8571,9427,8800
375,Digestive Malignancy with CC,5697,5272,20698,18393,18950,16885,18961,16888,20091,17969,19465,17410,17761,16110,16878,15303
376,Digestive Malignancy without CC/MCC,2582,2391,8057,7194,6938,6259,6378,5835,6059,5525,5116,4683,4392,4035,3745,3461
377,GI Hemorrhage with MCC,16262,15436,68322,62994,71554,65903,70007,64213,58178,52822,57800,52279,55356,50239,56543,51092
378,GI Hemorrhage with CC,32950,31282,127185,116953,124429,114262,128714,117875,149921,136407,148198,134767,139472,127224,138270,125752
379,GI Hemorrhage without CC/MCC,20232,19247,71082,66401,60678,56758,56060,52652,52260,49228,46577,44088,40109,38038,35739,34064
380,Complicated Peptic Ulcer with MCC,933,905,3688,3569,3984,3829,3901,3782,3297,3190,3140,3031,2858,2776,2894,2801
381,Complicated Peptic Ulcer with CC,1534,1501,5924,5674,5438,5253,5568,5371,6104,5886,6074,5844,5274,5078,4985,4819
382,Complicated Peptic Ulcer without CC/MCC,945,922,3368,3265,3042,2941,2879,2783,2727,2632,2392,2315,1955,1885,1749,1705
383,Uncomplicated Peptic Ulcer with MCC,453,449,1744,1716,1758,1732,1720,1696,1244,1221,1201,1188,1086,1062,1087,1071
384,Uncomplicated Peptic Ulcer without MCC,2053,2005,7908,7695,7469,7228,7756,7524,7800,7552,6751,6591,5579,5442,5465,5356
385,Inflammatory Bowel Disease with MCC,773,732,3209,2942,3450,3194,3209,2918,2316,2109,2428,2229,2247,2069,2100,1934
386,Inflammatory Bowel Disease with CC,2133,1995,8203,6973,8207,6882,8573,7224,9602,8017,9339,7968,8614,7428,8742,7455
387,Inflammatory Bowel Disease without CC/MCC,1255,1151,4930,4110,4767,4006,5064,4241,5147,4356,4669,4014,4101,3595,3967,3476
388,GI Obstruction with MCC,6441,6205,26646,24926,28413,26480,27552,25650,20679,19239,20435,19057,18972,17676,18655,17264
389,GI Obstruction with CC,13298,12592,50960,46130,50746,45784,52757,47507,58277,52367,58448,52257,54677,49005,54428,48728
390,GI Obstruction without CC/MCC,13516,12881,48226,43675,45840,41418,46681,42033,45676,41184,44186,39933,41378,37577,39985,36290
391,"Esophagitis, Gastroenteritis and Miscellaneous Digestive
Disorders with MCC",14067,13539,59295,55403,68639,64137,72990,67926,55820,51607,54455,50395,48786,45499,47062,44027
392,"Esophagitis, Gastroenteritis and Miscellaneous Digestive
Disorders without MCC",71903,67822,277110,250153,263572,238029,279210,251273,285734,257261,262421,237114,217675,199267,205021,187232
393,Other Digestive System Diagnoses with MCC,7529,7258,29817,28186,30271,28592,30102,28413,26225,24606,26106,24506,24758,23320,24101,22691
394,Other Digestive System Diagnoses with CC,13095,12609,49554,46573,46600,43857,48172,45269,52437,49209,51650,48550,47091,44458,45251,42673
395,Other Digestive System Diagnoses without CC/MCC,7278,6988,25978,24754,25278,24088,24928,23679,24466,23207,22545,21551,19387,18670,17638,16977
401,,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,"Pancreas, Liver and Shunt Procedures with MCC",1089,1086,4348,4312,4518,4465,4525,4489,4362,4313,4348,4308,4008,3980,3932,3904
406,"Pancreas, Liver and Shunt Procedures with CC",1361,1360,5222,5181,5061,5027,5074,5035,5333,5299,5184,5135,4952,4925,4963,4924
407,"Pancreas, Liver and Shunt Procedures without CC/MCC",499,497,2058,2031,2080,2064,2085,2072,2047,2028,2059,2047,1843,1831,1962,1954
408,"Biliary Tract Procedures Except Only Cholecystectomy with or
without C.D.E. with MCC",393,392,1600,1597,1644,1640,1547,1540,1151,1148,1006,1003,824,823,831,830
409,"Biliary Tract Procedures Except Only Cholecystectomy with or
without C.D.E. with CC",357,357,1364,1359,1272,1266,1274,1270,1089,1084,992,987,875,873,773,771
410,"Biliary Tract Procedures Except Only Cholecystectomy with or
without C.D.E. without CC/MCC",137,137,479,476,467,464,457,456,388,388,319,319,281,280,281,281
411,Cholecystectomy with C.D.E. with MCC,245,245,900,900,791,791,740,740,519,519,461,461,404,404,321,321
412,Cholecystectomy with C.D.E. with CC,242,242,827,827,731,731,687,687,621,621,524,524,451,451,349,349
413,Cholecystectomy with C.D.E. without CC/MCC,163,163,617,617,457,457,499,499,348,348,333,333,263,263,211,211
414,"Cholecystectomy Except by Laparoscope without C.D.E. with
MCC",1362,1361,5290,5288,5115,5110,4793,4792,4007,4006,3580,3578,3176,3176,2732,2732
415,"Cholecystectomy Except by Laparoscope without C.D.E. with
CC",1451,1451,5611,5608,5124,5123,5042,5040,4983,4983,4608,4606,3974,3974,3576,3573
416,"Cholecystectomy Except by Laparoscope without C.D.E.
without CC/MCC",1256,1255,4414,4414,4068,4067,3867,3867,3311,3310,3039,3039,2541,2540,2142,2141
417,Laparoscopic Cholecystectomy without C.D.E. with MCC,4714,4714,19442,19440,20261,20257,20274,20269,17621,17620,17140,17136,15633,15628,14572,14572
418,Laparoscopic Cholecystectomy without C.D.E. with CC,6458,6457,25255,25249,24537,24533,25408,25401,27094,27093,26362,26354,24046,24035,23111,23105
419,"Laparoscopic Cholecystectomy without C.D.E. without
CC/MCC",8206,8206,30313,30311,28081,28072,27332,27330,25828,25824,24183,24180,21174,21169,18745,18741
420,Hepatobiliary Diagnostic Procedures with MCC,207,207,781,779,752,751,724,719,542,538,603,603,531,531,536,535
421,Hepatobiliary Diagnostic Procedures with CC,258,257,1002,1000,855,852,781,779,859,856,749,745,687,685,650,648
422,Hepatobiliary Diagnostic Procedures without CC/MCC,71,71,264,264,246,245,206,206,187,187,193,193,201,201,146,146
423,Other Hepatobiliary or Pancreas O.R. Procedures with MCC,404,401,1575,1563,1692,1668,1537,1526,1521,1503,1374,1357,1190,1176,1087,1080
424,Other Hepatobiliary or Pancreas O.R. Procedures with CC,191,191,732,729,664,660,609,604,711,706,741,737,636,634,536,536
425,"Other Hepatobiliary or Pancreas O.R. Procedures without
CC/MCC",23,23,92,92,89,88,94,93,89,89,93,90,87,87,75,75
430,,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
432,Cirrhosis and Alcoholic Hepatitis with MCC,3947,3542,14993,12355,13723,11426,12728,10676,12487,10635,12431,10512,6802,5981,7147,6265
433,Cirrhosis and Alcoholic Hepatitis with CC,2461,2212,9004,7441,7735,6557,7411,6320,8386,7117,8262,7098,4391,3881,4551,4015
434,Cirrhosis and Alcoholic Hepatitis without CC/MCC,418,380,1349,1199,1109,984,989,893,948,856,808,733,539,495,582,520
435,Malignancy of Hepatobiliary System or Pancreas with MCC,3592,3399,14561,13415,14267,13085,14096,12912,13077,12093,12759,11805,11727,10932,12322,11459
436,Malignancy of Hepatobiliary System or Pancreas with CC,3483,3259,13081,11912,11953,10892,11887,10882,13218,12077,11972,11073,10550,9788,10125,9423
437,"Malignancy of Hepatobiliary System or Pancreas without
CC/MCC",1142,1071,4005,3669,3401,3139,3263,3011,3001,2796,2720,2550,2387,2255,2043,1906
438,Disorders of Pancreas Except Malignancy with MCC,4471,4111,18905,16632,20721,18163,20642,18019,16532,14337,16171,13915,12716,11199,12306,10844
439,Disorders of Pancreas Except Malignancy with CC,6632,6201,26001,22758,24763,21436,26981,23312,30342,26251,29522,25527,22893,20461,22381,19959
440,Disorders of Pancreas Except Malignancy without CC/MCC,6191,5747,23839,20602,23352,20325,23818,20716,23129,20186,22249,19560,16963,15358,16222,14503
441,"Disorders of Liver Except Malignancy, Cirrhosis, Alcoholic
Hepatitis with MCC",3803,3391,16390,13165,19738,15527,21282,16575,19534,15574,20814,16620,15631,12687,15842,12874
442,"Disorders of Liver Except Malignancy, Cirrhosis, Alcoholic
Hepatitis with CC",3975,3501,16061,12545,16133,12532,17971,13784,21661,16316,22188,16548,16404,12669,16155,12704
443,"Disorders of Liver Except Malignancy, Cirrhosis, Alcoholic
Hepatitis without CC/MCC",1797,1646,6459,5557,5964,5118,6072,5179,5979,5120,5867,5028,4503,3990,4087,3609
444,Disorders of the Biliary Tract with MCC,3867,3722,15703,14867,16194,15347,15887,14987,13940,13211,13755,12971,12740,12028,12786,12114
445,Disorders of the Biliary Tract with CC,4992,4743,18867,17702,18764,17643,19127,17993,20996,19623,20539,19155,18388,17271,18518,17331
446,Disorders of the Biliary Tract without CC/MCC,4886,4655,17151,16258,16093,15187,15539,14652,14236,13480,13084,12455,11088,10603,10679,10190
453,Combined Anterior/Posterior Spinal Fusion with MCC,220,220,1168,1164,1246,1244,1393,1388,1437,1435,1414,1412,1341,1338,1330,1328
454,Combined Anterior/Posterior Spinal Fusion with CC,561,561,2421,2412,2935,2927,3329,3320,3674,3665,3880,3871,4032,4021,4441,4429
455,Combined Anterior/Posterior Spinal Fusion without CC/MCC,442,442,2129,2123,2624,2618,3096,3090,3244,3236,3593,3588,3952,3945,4358,4348
456,"Spinal Fusion Except Cervical with Spinal
Curvature/Malignancy/Infection or 9+ Fusions with MCC",305,304,1117,1110,1265,1251,1298,1287,1277,1263,1355,1349,1279,1266,1265,1261
457,"Spinal Fusion Except Cervical with Spinal
Curvature/Malignancy/Infection or 9+ Fusions with CC",708,703,2779,2739,3084,3038,3344,3281,3517,3453,3672,3594,3557,3506,3793,3734
458,"Spinal Fusion Except Cervical with Spinal
Curvature/Malignancy/Infection or 9+ Fusions without
CC/MCC",367,367,1464,1452,1517,1508,1546,1536,1709,1690,1733,1714,1638,1619,1643,1627
459,Spinal Fusion Except Cervical with MCC,1061,1061,4214,4198,4780,4759,4811,4786,4263,4241,4376,4353,3995,3975,4059,4043
460,Spinal Fusion Except Cervical without MCC,13316,13250,55627,54724,61434,60285,65365,64114,68175,66839,70856,69316,70617,69100,73271,71775
461,"Bilateral or Multiple Major Joint Procedures of Lower
Extremity with MCC",244,244,1002,1002,910,909,817,817,454,454,452,451,402,402,337,337
462,"Bilateral or Multiple Major Joint Procedures of Lower
Extremity without MCC",3237,3237,11837,11828,11146,11140,10675,10671,10215,10203,9767,9756,9763,9748,9388,9371
463,"Wound Debridement and Skin Graft Except Hand, for
Musculo-Connective Tissue Disorders with MCC",1550,1528,5622,5416,5580,5386,6498,6268,5900,5690,5903,5695,5747,5518,5505,5329
464,"Wound Debridement and Skin Graft Except Hand, for
Musculo-Connective Tissue Disorders with CC",1460,1433,5350,5202,5577,5411,7963,7726,8661,8409,8869,8568,8156,7929,7951,7697
