HCPC (Health Care Common Procedure Code System) Code ,HCPC (Health Care Common Procedure Code System) Label,# of records with this HCPC code in 2004,# of people with this HCPC code in 2004,# of records with this HCPC code in 2005,# of people with this HCPC code in 2005,# of records with this HCPC code in 2006,# of people with this HCPC code in 2006,# of records with this HCPC code in 2007,# of people with this HCPC code in 2007,# of records with this HCPC code in 2008,# of people with this HCPC code in 2008,# of records with this HCPC code in 2009,# of people with this HCPC code in 2009,# of records with this HCPC code in 2010,# of people with this HCPC code in 2010,# of records with this HCPC code in 2011,# of people with this HCPC code in 2011,# of records with this HCPC code in 2012,# of people with this HCPC code in 2012,# of records with this HCPC code in 2013,# of people with this HCPC code in 2013,# of records with this HCPC code in 2014,# of people with this HCPC code in 2014
32002,THORACNTS W/INSJ TUBE +-WATER SEAL SPX,4595,3440,5240,3950,5575,4420,6735,5025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32005,CHEM PLEURODESIS,75,70,75,60,50,50,80,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32019,INSJ NDWELLG TUN PLEURAL CATH W/CUFF,0,0,335,325,420,400,780,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32020,TUBE THORACOSTOMY +-WATER SEAL SPX,2805,2630,2850,2640,2845,2685,3270,2980,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32035,THORACOSTOMY W/RIB RESECTION EMPYEMA,105,105,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32036,THORACOSTOMY OPEN FLAP DRAINAGE EMPYEMA,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,.,.,0,0,.,.
32095,THORACOTOMY LIMITED BIOPSY LUNG/PLEURA,30,25,25,15,0,0,15,15,.,.,20,20,0,0,20,20,0,0,0,0,0,0
32097,THORACTOMY W/DX BX LUNG NODULE/MASS UNILATERAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,.,.,.,.
32098,THORACOTOMY W/BIOPSY OF PLEURA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.
32100,THORACOTOMY MAJOR W/EXPLORATION & BIOPSY,0,0,.,.,.,.,0,0,.,.,.,.,.,.,0,0,.,.,.,.,20,20
32110,THORCOM MAJOR CTRL TRAUMTC HEMRRG&/RPR LNG TEAR,.,.,0,0,.,.,15,15,0,0,.,.,.,.,.,.,.,.,.,.,30,15
32120,THORACOTOMY MAJOR POSTOPERATIVE COMPLICATIONS,0,0,.,.,.,.,0,0,.,.,.,.,.,.,.,.,0,0,0,0,.,.
32140,THORCOM MAJOR W/CST RMVL +-PLEURAL PX,.,.,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
32141,THORCOM MAJOR EXC-PLCTJ BULLAE +-ANY PLEURAL PX,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32150,THORCOM MAJOR W/RMVL INTRAPLEURAL FB/FIBRIN DEP,0,0,0,0,0,0,0,0,.,.,0,0,.,.,.,.,0,0,0,0,0,0
32160,THORACOTOMY MAJOR W/CARDIAC MASSAGE,35,35,50,50,55,50,25,25,65,55,25,25,65,55,75,75,55,50,55,55,30,30
32200,PNEUMONOSTOMY W/OPEN DRAINAGE ABSCESS/CYST,.,.,.,.,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0
32201,PNEUMONOSTOMY PERCUTANEOUS DRAINAGE ABSCESS/CYST,45,45,25,25,40,40,135,130,95,95,50,50,50,50,35,35,30,30,40,40,0,0
32215,PLEURAL SCARIFICATION REPEAT PNEUMOTHORAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0
32220,DECORTICATION PULMONARY TOTAL SEPARATE PROCEDURE,0,0,.,.,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0
32225,DECORTICATION PULMONARY PARTIAL SEPARATE PROC,0,0,.,.,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
32310,PLEURECTOMY PARIETAL SEPARATE PROCEDURE,.,.,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.
32320,DECORTICATION & PARIETAL PLEURECTOMY,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.
32400,BIOPSY PLEURA PERCUTANEOUS NEEDLE,925,890,870,830,920,910,770,735,730,715,775,760,720,695,795,765,815,795,705,680,695,670
32402,BIOPSY PLEURA OPEN,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,0,0,0,0,0,0
32405,BIOPSY LUNG/MEDIASTINUM PERCUTANEOUS NEEDLE,34095,32005,34865,32855,34675,32680,36035,34165,37395,35310,37640,35615,38920,36820,40150,38060,42025,39795,43315,41060,40245,38125
32420,PNEUMOCENTESIS PUNCTURE LUNG ASPIRATION,150,150,85,80,80,75,75,75,95,90,50,50,35,30,45,45,20,20,0,0,0,0
32421,THORACENTESIS PUNCTURE PLEURAL CAVITY ASPIRATION,0,0,0,0,0,0,0,0,39745,26860,40515,27665,39715,27395,40515,26925,39690,26630,0,0,0,0
32422,THORACENTESIS WITH INSERTION TUBE WATER SEAL,0,0,0,0,0,0,0,0,7920,5565,8475,6370,10545,7105,11345,7990,13695,9365,0,0,0,0
32440,REMOVAL LUNG TOTAL PNEUMONECTOMY,0,0,.,.,0,0,0,0,.,.,0,0,0,0,0,0,.,.,0,0,0,0
32442,REMOVAL LUNG PNEUMONECTOMY RESXN SGMNT TRACHEA,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
32480,RMVL LUNG OTHER THAN PNEUMONECTOMY 1 LOBE LOBECT,0,0,0,0,.,.,.,.,.,.,15,15,0,0,0,0,.,.,0,0,.,.
32484,RMVL LUNG OTHER THAN PNEUMONECT 1 SEGMENTECTOMY,0,0,0,0,.,.,0,0,.,.,0,0,0,0,0,0,0,0,.,.,0,0
32491,RMVL LUNG OTH/THN PNUMEC RESXN-PLCTJ EMPHY LUNG,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
32500,RMVL LNG OTH/THN TOT PNUMEC WEDGE RESCJ 1/MLT,0,0,0,0,.,.,.,.,0,0,.,.,.,.,.,.,0,0,0,0,0,0
32501,RESCJ&BRONCHOPLASTY PFRMD TM LOBEC/SGMECTOMY,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0
32507,THORACOTOMY W/DX WEDGE RESEXN &ANTOM LUNG RESEXN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0
32525,RESECTION LUNG; W/MAJ RECON CHEST WALL W/PROSTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32550,INSERTION INDWELLING TUNNELED PLEURAL CATHETER,0,0,0,0,0,0,0,0,1005,955,1410,1345,1525,1445,1875,1800,2575,2390,2575,2430,2730,2595
32551,TUBE THORACOSTOMY INCLUDES WATER SEAL,0,0,0,0,0,0,0,0,3140,2925,3120,2925,3570,3235,3535,3190,3740,3420,3040,2735,2740,2455
32552,RMVL NDWELLG TUNNELED PLEURAL CATHETER W/CUFF,0,0,0,0,0,0,0,0,0,0,0,0,885,865,1220,1195,1555,1525,1805,1740,1765,1725
32553,PLMT NTRSTL DEV RADJ THX GID PRQ INTRATHRC 1/MLT,0,0,0,0,0,0,0,0,0,0,0,0,730,705,1245,1215,1115,1045,915,900,1050,985
32554,THORACENTESIS NEEDLE/CATH PLEURA W/O IMAGING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,4530,4750,3585
32555,THORACENTESIS NEEDLE/CATH PLEURA W/IMAGING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49850,31420,48420,29895
32556,PERQ DRAINAGE PLEURA INSERT CATH W/O IMAGING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,425,370,360
32557,PERQ DRAINAGE PLEURA INSERT CATH W/IMAGING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2095,1830,2190,1985
32560,CHEMICAL PLEURODESIS FOR PERSISTENT PNEUMOTHORAX,0,0,0,0,0,0,0,0,40,40,60,50,95,85,50,45,65,65,80,60,50,50
32561,INSTLJ VIA CH TUBE/CATH AGENT FBRNLYSIS 1ST DAY,0,0,0,0,0,0,0,0,0,0,0,0,25,20,100,75,105,90,130,90,80,70
32562,INSTLJ CH TUBE/CATH AGENT FBRNLYSIS SBSQ DAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,80,25,120,25,20,.
32601,THORSC DX LUNGS/PERICAR/MED/PLEURAL SPACE W/O BX,30,25,25,20,30,25,20,20,15,15,40,40,40,35,35,35,75,70,80,80,45,45
32602,THORACOSCOPY DX LUNGS&PLEURAL SPACE W/BX SPX,140,135,145,145,100,95,120,120,145,145,90,90,95,95,130,130,0,0,0,0,0,0
32603,THORACOSCOPY DX PERICARDIAL SAC W/O BIOPSY SPX,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,0,0,0,0,0,0
32604,THORACOSCOPY DX PERICARDIAL SAC W/BIOPSY SPX,.,.,.,.,0,0,0,0,0,0,0,0,.,.,0,0,0,0,.,.,0,0
32605,THORACOSCOPY DX MEDIASTINAL SPACE W/O BIOPSY SPX,.,.,.,.,0,0,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0
32606,THORACOSCOPY DX MEDIASTINAL SPACE W/BIOPSY SPX,25,25,30,30,15,15,20,20,20,20,30,30,20,20,30,30,20,20,35,35,25,25
32607,THORACOSCOPY W/DX BX OF LUNG INFILTRATE UNILATRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,40,40,20,15
32608,THORACOSCOPY W/DX BX OF LUNG NODULES UNILATRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,50,75,75,95,95
32609,THORACOSCOPY WITH BIOPSYIES OF PLEURA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,115,180,180,240,240
32650,THORACOSCOPY W/PLEURODESIS,.,.,.,.,.,.,0,0,.,.,0,0,.,.,0,0,.,.,.,.,.,.
32651,THORACOSCOPY W/PARTIAL PULMONARY DECORTICATION,.,.,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,.,.
32652,THRSC TOT PULM DCRTCTJ INTRAPLEURAL PNEUMONOLSS,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,.,.
32653,THORACOSCOPY RMVL INTRAPLEURAL FB/FIBRIN DEPOSIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,.,.
32654,THORACOSCOPY CONTROL TRAUMATIC HEMORRHAGE,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
32656,THORACOSCOPY W/PARIETAL PLEURECTOMY,.,.,0,0,0,0,0,0,0,0,0,0,.,.,0,0,.,.,0,0,0,0
32657,THRSC W/WEDGE RESCJ LNG 1/MLT,15,15,0,0,0,0,.,.,.,.,15,15,25,25,20,20,0,0,0,0,0,0
32660,THORACOSCOPY W/TOTAL PERICARDIECTOMY,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32662,THORACOSCOPY W/EXC MEDIASTINAL CYST TUMOR/MASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,.,.
32663,THORACOSCOPY W/LOBECTOMY TOTAL/SEGMENTAL,0,0,0,0,0,0,0,0,.,.,0,0,.,.,0,0,0,0,.,.,.,.
32664,THORACOSCOPY W/THORACIC SYMPATHECTOMY,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,15,15,.,.
32665,THORACOSCOPY W/ESOPHAGOMYOTOMY HELLER TYPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32666,THORACOSCOPY W/THERA WEDGE RESEXN INITIAL UNILAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,30,30,35,35
32667,THORACOSCOPY W/THERA WEDGE RESEXN ADDL IPSILATRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,15,15,15,15
32668,THORACOSCOPY W/DX WEDGE RESEXN ANATO LUNG RESEXN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,.,.
32669,THORACOSCOPY W/SEGMENTECTOMY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,.,.
32674,THORCOSCPY W/MEDIASTINL &REGIONL LYMPHADENECTOMY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.
32701,THORAX STEREOTACTIC RADIATION TARGET W/TX COURSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0
32851,LUNG TRANSPLANT 1 W/O CARDIOPULMONARY BYPASS,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,0,0,0,0,.,.
32853,LUNG TRANSPLANT 2 W/O CARDIOPULMONARY BYPASS,0,0,0,0,0,0,0,0,0,0,.,.,0,0,.,.,.,.,0,0,0,0
32854,LUNG TRANSPLANT 2 W/CARDIOPULMONARY BYPASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,.,.
3288F,FALLS RISK ASSESSMENT DOCUMENTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,.,.,.,.,60,55
32905,THORACOPLASTY SCHEDE TYPE/EXTRAPLEURAL,0,0,0,0,0,0,0,0,0,0,.,.,0,0,.,.,0,0,.,.,0,0
32960,PNEUMOTHORAX THER INTRAPLEURAL INJECTION AIR,.,.,0,0,0,0,.,.,.,.,.,.,0,0,.,.,.,.,15,15,0,0
32997,TOTAL LUNG LAVAGE UNILATERAL,0,0,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32998,ABLATION PULMONARY TUMOR PERQ RADIOFREQUENCY UNI,0,0,0,0,0,0,360,335,440,390,500,410,385,345,415,385,495,435,400,360,310,295
32999,UNLISTED PROCEDURE LUNGS & PLEURA,525,480,720,675,1405,1210,1105,1070,1135,1070,1325,1265,670,660,615,540,560,505,545,510,365,360
33010,PERICARDIOCENTESIS INITIAL,775,765,795,760,625,585,530,495,580,565,495,480,450,440,535,500,435,430,560,545,445,435
33011,PERICARDIOCENTESIS SUBSEQUENT,.,.,0,0,.,.,15,15,0,0,.,.,25,25,.,.,.,.,.,.,25,25
33015,TUBE PERICARDIOSTOMY,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,.,.,0,0,.,.
33020,PERICARDIOTOMY REMOVAL CLOT/FOREIGN BODY PRIMARY,0,0,.,.,0,0,.,.,.,.,0,0,.,.,0,0,0,0,0,0,.,.
33025,CREATION PERICARDIAL WINDOW/PRTL RESECJ DRAINAGE,.,.,.,.,.,.,.,.,20,20,.,.,15,15,.,.,15,15,25,25,.,.
33130,RESECTION EXTERNAL CARDIAC TUMOR,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33140,TRANSMYOCARDIAL LASER REVASCULAR THORACOTOMY SPX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33200,INSJ PRM PM W/EPICAR ELTRD THORCOM,20,20,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33201,INSJ PRM PM W/EPICAR ELTRD XIPHOID APPR,20,15,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33202,INSERTION EPICARDIAL ELECTRODE OPEN,0,0,0,0,0,0,20,20,25,25,.,.,.,.,20,20,15,15,.,.,.,.
33203,INSERTION EPICARDIAL ELECTRODE ENDOSCOPIC,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,0,0,0,0,0,0
33206,INS NEW/RPLCMT PRM PACEMAKR W/TRANS ELTRD ATRIAL,635,615,405,400,350,350,605,600,690,685,805,795,840,840,870,865,815,810,730,730,715,715
33207,INS NEW/RPLC PRM PACEMAKER W/TRANSV ELTRD VENTR,4180,4115,4400,4345,3605,3580,4640,4605,5960,5920,7840,7795,8325,8275,8490,8465,8610,8580,8915,8880,8685,8670
33208,INS NEW/RPLCMT PRM PM W/TRANSV ELTRD ATRIAL&VENT,14440,14295,14435,14275,14145,14040,16720,16565,22180,21990,29420,29300,33900,33770,35980,35790,38200,37985,39165,38960,39890,39735
33210,INSJ/RPLCMT TEMP TRANSVNS 1CHMBR ELTRD/PM CATH,1885,1865,2105,2060,2075,2025,2575,2560,2435,2380,3110,3080,3090,3050,3250,3200,2835,2800,2570,2515,2275,2230
33211,INSJ/RPLCMT TEMP TRANSVNS 2CHMBR PACG ELTRDS SPX,175,175,65,65,65,65,70,70,105,100,55,55,30,30,55,55,50,50,60,60,25,25
33212,INSJ/RPLCMT PM PLS GEN ONLY 1CHMBR ATR/VENTR,6770,6665,7310,7255,8365,8270,9215,9150,10435,10390,10290,10225,9415,9395,9370,9355,565,560,315,315,215,215
33213,INS PACEMAKER PULSE GEN ONLY W/EXIST DUAL LEADS,22150,21905,28475,28185,32845,32535,38130,37880,42565,42315,43910,43745,42415,42200,43165,43035,2210,2200,1090,1085,830,830
33214,UPG PACEMAKER SYS CONVERT 1CHMBR SYS 2CHMBR SYS,375,370,320,315,285,280,260,260,225,225,240,235,235,235,250,250,300,300,220,215,205,205
33215,RPSG PREV IMPLTED PM/CVDFB R ATR/R VENTR ELTRD,1055,1020,1380,1335,1500,1495,1450,1425,1700,1635,1965,1895,2000,1905,2200,2130,2035,1965,2015,1965,1870,1800
33216,INSJ 1 TRANSVNS ELTRD PERM PACEMAKER OR CVDFB,1025,1010,945,940,920,915,1120,1120,1455,1450,1710,1705,2495,2485,2590,2585,3165,3140,2850,2810,2730,2700
33217,INSJ ELTRD 2CHMBR 2 ELTRDS PRM PM/2CHMBR CVDFB,1070,1050,970,945,805,800,950,950,1260,1245,1145,1135,620,615,540,535,530,520,515,510,400,400
33218,RPR 1 ELTRD 1CHMBR PRM PM/1CHMBR CVDFB,155,155,220,220,130,130,240,240,185,185,290,290,270,265,280,280,540,535,565,560,425,420
33220,RPR 2 ELTRDS 2 CHMBR PRM PM/2CHMBR CVDFB,195,195,185,185,245,245,235,235,230,230,325,325,260,260,225,225,95,95,80,80,40,40
33221,INS PACEMAKER PULSE GEN ONLY W/EXIST MULT LEADS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,250,345,345,395,395
33222,REVISION/RELOCATION SKIN POCKET PACEMAKER,1205,1180,1445,1425,1430,1405,1435,1425,1830,1815,1740,1725,1765,1745,2040,2015,2515,2460,2430,2405,925,925
33223,REVJ SKN POCKET FOR CARDIOVERTER-DEFIBRILLATOR,715,705,1415,1385,1165,1135,1415,1350,1625,1610,2045,1995,2180,2170,2065,2035,1900,1870,1990,1965,550,550
33224,INSJ ELTRD CAR VEN SYS ATTCH PM/CVDFB PLS GEN,570,555,555,540,480,475,545,530,670,660,845,835,905,905,925,905,965,955,1000,980,1020,1010
33225,INSJ ELTRD CAR VEN SYS TM INSJ CVDFB/PM PLS GEN,4665,4545,5200,5125,4765,4720,5715,5650,7440,7375,8620,8565,11025,10975,11550,11425,11855,11775,15380,15305,17785,17695
33226,RPSG PREV IMPLTED CAR VEN SYS L VENTR ELTRD,365,365,415,405,390,390,370,365,415,410,350,350,305,305,315,310,310,310,475,465,395,380
33227,REMVL PERM PM PLSE GEN W/REPL PLSE GEN SNGL LEAD,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,8275,8265,8590,8580,8195,8185
33228,REMVL PERM PM PLS GEN W/REPL PLSE GEN 2 LEAD SYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36630,36555,36510,36380,35370,35280
33229,REMVL PERM PM PLS GEN W/REPL PLSE GEN MULT LEAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,2005,2460,2460,3090,3080
33230,INS PACNG CVDFB PLS GEN ONLY W/EXIST DUAL LEADS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,280,195,195,115,115
33231,INS PACNG CVDFB PLS GEN ONLY W/EXIST MULTI LEADS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,235,45,45,85,85
33233,REMOVAL PERMANENT PACEMAKER PULSE GENERATOR ONLY,27635,27200,35610,35100,40685,40030,47115,46745,53435,53110,55060,54900,53855,53650,54790,54535,5085,5045,5185,5160,5425,5415
33234,RMVL TRANSVNS PM ELTRD 1 LEAD SYS ATR/VENTR,820,805,775,770,640,640,880,880,1075,1060,1105,1090,1235,1230,1200,1195,1140,1130,995,980,995,995
33235,RMVL TRANSVNS PM ELTRD DUAL LEAD SYS,1290,1290,1300,1265,1120,1095,1335,1320,1650,1640,1625,1595,1700,1680,1525,1515,1610,1575,1665,1645,1855,1835
33236,RMVL PRM EPICAR PM&ELTRDS THORCOM 1 LEAD SYS,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0
33237,RMVL PRM EPICAR PM&ELTRDS THORCOM DUAL LEAD SYS,.,.,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33238,RMVL PRM TRANSVENOUS ELECTRODE THORACOTOMY,0,0,.,.,0,0,0,0,.,.,.,.,0,0,0,0,.,.,0,0,.,.
33240,INSJ 1/2 CHMBR PACING CARDIOVERTERDEFIB PLS GEN,175,170,365,365,140,125,230,225,20345,20185,27735,27570,31810,31660,31055,30970,820,815,265,265,175,175
33241,SUBQ RMVL 1/2CHMBR PACG CVDFB PLS GEN,9555,9430,20485,20240,11130,11035,15740,15605,21325,21205,29735,29625,34410,34265,34140,34005,3985,3980,4395,4370,3635,3600
33243,RMVL 1/2CHMBR PACG CARDIOVTERDEFIB ELTRD THORCOM,.,.,.,.,.,.,0,0,.,.,.,.,.,.,0,0,20,20,.,.,.,.
33244,RMVL 1/2CHMBR PACG CVDFB ELTRD TRANSVNS XTRJ,725,715,930,905,775,760,1015,990,1600,1585,1875,1845,1995,1980,1985,1960,2065,2045,2015,1980,1625,1600
33245,INSJ EPICAR 1/2CHMBR PACG CVDFB ELTRDS THORCOM,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33246,INSJ EPICAR 1/2CHMBR CVDFB ELTRDS INSJ PLS GEN,20,15,30,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33249,INS/REP PAC PERM CVDFB TRNSVEN LEADS 1/2 CHAMBER,220,200,405,400,305,305,300,280,15880,15710,19260,19130,22250,22060,22580,22380,23960,23785,27075,26855,25255,25070
33250,ABLATION ARRHYTHMOGENIC FOCI/PATHWAY W/O BYPASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0
33251,ABLATION ARRHYTHMOGENIC FOCI/PATHWAY W/BYPASS,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33253,INCISIONS&RECONSTRUCTION OF ATRIA,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33254,ABLATION & RECONSTRUCTION ATRIA LIMITED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0
33255,ABLATION & RCNSTJ ATRIA X10SV W/O BYPASS,0,0,0,0,0,0,0,0,0,0,.,.,.,.,0,0,0,0,0,0,0,0
33258,ATRIA ABLTJ & RCNSTJ W/OTHER PX EXTENSIV W/O BYP,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0
33259,ATRIA ABLTJ & RCNSTJ W/OTHER PX EXTEN W/BYPASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0
33262,REM PAC CVDFB PLSE GEN &REPL PLSE GEN SNGL LEAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3990,3985,4035,4025,3700,3690
33263,REM PAC CVDFB PLSE GEN &REPL PLSE GEN DUAL LEAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11105,11085,13070,13060,9655,9630
33264,REM PAC CVDFB PLS GEN &REPL PLSE GEN MULTI LEAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14870,14845,15695,15615,14260,14225
33282,IMPLANTATION PT-ACTIVATED CARDIAC EVENT RECORDER,2405,2375,2370,2365,2490,2460,2555,2550,2955,2935,3640,3620,4060,4025,5305,5280,5595,5585,7290,7230,15490,15420
33284,RMVL IMPLANTABLE PT-ACTIVATED CAR EVENT RECORDER,1710,1695,1895,1860,1885,1845,2040,2005,2150,2135,2240,2230,2280,2275,2735,2715,3345,3325,4050,4020,4315,4295
33300,REPAIR CARDIAC WOUND W/O BYPASS,.,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,0,0,.,.,0,0
33315,CARDIOT EXPL RMVL FB ATR/VENTR THRMB CARD BYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0
33320,SUTR RPR AORTA/GRT VSL W/O SHUNT/CARD BYP,0,0,0,0,15,15,.,.,0,0,0,0,.,.,0,0,.,.,0,0,0,0
33321,SUTR RPR AORTA/GREAT VESSEL W/SHUNT BYPASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0
33322,SUTURE REPAIR AORTA/GREAT VESSEL W/BYPASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
33330,INSJ GRAFT AORTA/GREAT VESSEL W/O SHUNT/BYPASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33332,INSJ GRAFT AORTA/GREAT VESSEL W/SHUN,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
33335,INSJ GRAFT AORTA/GREAT VESSEL W/BYPASS,0,0,.,.,0,0,0,0,0,0,.,.,0,0,0,0,0,0,.,.,0,0
33405,RPLCMT A-VALVE PROSTC XCP HOMOGRF/STENT< VALVE,0,0,.,.,.,.,0,0,.,.,.,.,.,.,.,.,20,20,15,15,0,0
33406,RPLCMT AORTIC VALVE ALLOGRAFT VALVE FREEHAND,0,0,.,.,0,0,.,.,0,0,0,0,0,0,.,.,0,0,0,0,.,.
33415,RESECTION/INCISION SUBVALVULAR TISSUE,0,0,20,20,.,.,.,.,15,15,20,20,0,0,.,.,.,.,.,.,0,0
33416,VENTRICULOMYOTOMY-MYECTOMY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0
33420,VALVOTOMY MITRAL VALVE CLOSED HEART,0,0,0,0,0,0,0,0,.,.,0,0,.,.,0,0,0,0,0,0,0,0
33425,VALVULOPLASTY MITRAL VALVE W/CARDIAC BYPASS,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33426,VLVP MITRAL VALVE W/CARD BYP W/PROSTC RING,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
33430,REPLACEMENT MITRAL VALVE W/CARDIOPULMONARY BYP,.,.,.,.,0,0,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.
33464,VALVULOPLASTY TRICUSPID VALVE W/RING INSERTION,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0
33500,RPR CORONARY AV/ARTERIOCAR CHMBR FSTL W/BYPASS,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
