Diagnostic-Related Group code,Diagnostic-Related Group label,# of records with this Diagnositic-Related Group code in 2004,# of people with this Diagnotic-Related Group code in 2004,# of records with this Diagnositic-Related Group code in 2005,# of people with this Diagnotic-Related Group code in 2005,# of records with this Diagnositic-Related Group code in 2006,# of people with this Diagnotic-Related Group code in 2006,# of records with this Diagnositic-Related Group code in 2007,# of people with this Diagnotic-Related Group code in 2007
293,"Other Endocrine, Nutritional and Metabolic O.R.
Procedures without CC",344,342,328,328,306,306,230,229
294,"Diabetes, Age Greater than 35",128658,109159,130759,110412,130495,109933,94010,80750
295,"Diabetes, Age 0-35",4587,2610,4874,2692,5094,2857,3744,2188
296,"Nutritional and Miscellaneous Metabolic
Disorders, Age Greater than 17 with CC",273659,247332,266069,241288,243885,221397,192930,177067
297,"Nutritional and Miscellaneous Metabolic
Disorders, Age Greater than 17 without CC",58166,54837,56918,53568,52930,49783,39151,37060
298,"Nutritional and Miscellaneous Metabolic
Disorders, Age 0-17",145,125,168,141,178,152,145,130
299,Inborn Errors of Metabolism,3026,2416,3650,2924,4000,3225,2953,2383
300,Endocrine Disorders with CC,23926,21979,24918,22894,24985,22963,18928,17586
301,Endocrine Disorders without CC,6025,5687,6303,5906,6021,5668,4257,3998
302,Kidney Transplant,9880,9865,10277,10266,10881,10863,7930,7925
303,"Kidney, Ureter and Major Bladder Procedures for
Neoplasm",24213,23756,24815,24345,23546,23137,14863,14658
304,"Kidney, Ureter and Major Bladder Procedures for
Non-neoplasms with CC",13937,12911,14084,13083,14002,13031,10378,9679
305,"Kidney, Ureter and Major Bladder Procedures for
Non-neoplasms without CC",3083,2986,3035,2932,2891,2807,2158,2105
306,Prostatectomy with CC,6110,6051,5536,5494,5179,5138,3777,3750
307,Prostatectomy without CC,2054,2048,1839,1828,1581,1580,937,935
308,Minor Bladder Procedures with CC,6965,6860,6494,6400,5917,5827,3574,3524
309,Minor Bladder Procedures without CC,3521,3487,3237,3207,2956,2935,1914,1904
310,Transurethral Procedures with CC,25671,24357,24854,23571,24149,22839,17568,16867
311,Transurethral Procedures without CC,6416,6198,5719,5521,4871,4709,3530,3437
312,"Urethral Procedures, Age Greater than 17 with
CC",1440,1415,1329,1308,1351,1326,956,942
313,"Urethral Procedures, Age Greater than 17 without
CC",524,515,486,476,458,449,332,328
314,"Urethral Procedures, Age 0-17",.,.,.,.,.,.,0,0
315,"Other Kidney and Urinary Tract Operating Room
Procedures",36000,34850,34498,33456,34828,33749,23987,23421
316,Renal Failure,217649,182418,244359,205253,277747,232366,224242,192071
317,Admission for Renal Dialysis,2981,2710,3073,2761,2820,2553,2062,1905
318,Kidney and Urinary Tract Neoplasms with CC,8817,7705,8754,7667,8737,7633,6117,5385
319,Kidney and Urinary Tract Neoplasms without CC,1992,1821,1961,1780,1853,1678,1245,1124
320,"Kidney and Urinary Tract Infections, Age Greater
than 17 with CC",251151,218525,264410,230087,270528,234654,199046,176152
321,"Kidney and Urinary Tract Infections, Age Greater
than 17 without CC",50448,46322,53477,48843,53385,48490,37885,34819
322,"Kidney and Urinary Tract Infections, Age 0-17",119,89,123,95,140,116,92,83
323,Urinary Stones with CC and/or ESW Lithotripsy,21560,20348,21294,20048,20237,19119,14871,14126
324,Urinary Stones without CC,5913,5694,5303,5095,4523,4359,3100,2970
325,"Kidney and Urinary Tract Signs and Symptoms,
Age Greater than 17 with CC",11791,11141,12139,11465,11843,11131,8707,8250
326,"Kidney and Urinary Tract Signs and Symptoms,
Age Greater than 17 without CC",4287,4046,4237,3995,4089,3795,2718,2577
327,"Kidney and Urinary Tract Signs and Symptoms,
Age 0-17",.,.,19,18,.,.,14,13
328,"Urethral Stricture, Age Greater than 17 with CC",662,646,605,595,611,595,414,409
329,"Urethral Stricture, Age Greater than 17 without
CC",114,111,77,73,79,78,57,52
330,"Urethral Stricture, Age 0-17",0,0,0,0,.,.,0,0
331,"Other Kidney and Urinary Tract Diagnoses, Age
Greater than 17 with CC",61226,54785,62857,56020,62488,55418,46719,41806
332,"Other Kidney and Urinary Tract Diagnoses, Age
Greater than 17 without CC",7841,7331,7553,7054,6567,6063,4555,4252
333,"Other Kidney and Urinary Tract Diagnoses, Age
0-17",361,258,388,266,502,324,355,235
334,Major Male Pelvic Procedures with CC,9756,9755,9431,9430,9302,9297,7432,7432
335,Major Male Pelvic Procedures without CC,12243,12240,12346,12342,13451,13447,11617,11614
336,Transurethral Prostatectomy with CC,30168,29849,26927,26632,24254,23963,16293,16134
337,Transurethral Prostatectomy without CC,23787,23675,20766,20656,18499,18396,12249,12200
338,"TESTES PROCEDURES, FOR MALIGNANCY",634,633,700,698,552,552,319,319
339,"Testes Procedures for Nonmalignancy, Age
Greater than 17",1278,1269,1198,1188,1131,1123,771,767
340,"Testes Procedures for Nonmalignancy, Age 0-17",.,.,.,.,.,.,.,.
341,Penis Procedures,3214,3144,2958,2907,2722,2667,1944,1911
342,"Circumcision, Age Greater than 17",530,530,458,458,441,441,272,272
344,"Other Male Reproductive System O.R.
Procedures for Malignancy",2568,2372,2180,2014,2018,1846,1317,1193
345,"Other Male Reproductive System O.R.
Procedures Except for Malignancy",1456,1444,1338,1327,1285,1270,960,951
346,Malignancy of Male Reproductive System with CC,6513,5681,6326,5557,5681,4970,3981,3496
347,"Malignancy of Male Reproductive System without
CC",1578,1420,1433,1305,1402,1263,890,790
348,Benign Prostatic Hypertrophy with CC,4763,4606,4990,4819,5008,4806,3574,3436
349,Benign Prostatic Hypertrophy without CC,946,904,1029,974,1066,1010,676,626
350,Inflammation of the Male Reproductive System,7938,7441,8168,7665,8174,7704,6157,5749
351,"Sterilization, Male",.,.,.,.,.,.,0,0
352,Other Male Reproductive System Diagnoses,1381,1303,1543,1447,1563,1430,1055,991
353,"Pelvic Evisceration, Radical Hysterectomy and
Radical Vulvectomy",2887,2871,3155,3130,2694,2681,1939,1933
354,"Uterine and Adnexa Procedures for
Nonovarian/Adnexal Malignancy with CC",7645,7627,7566,7555,7293,7285,5237,5228
355,"Uterine and Adnexa Procedures for
Nonovarian/Adnexal Malignancy without CC",4955,4941,4981,4975,4715,4712,3397,3391
356,"Female Reproductive System Reconstructive
Procedures",23425,23282,22132,22004,21223,21109,15087,15026
357,"Uterine and Adnexa Procedures for Ovarian or
Adnexal Malignancy",5580,5540,5549,5519,5320,5294,3735,3712
358,"Uterine and Adnexa Procedures for
Nonmalignancy with CC",20819,20779,20690,20642,19590,19548,13706,13684
359,"Uterine and Adnexa Procedures for
Nonmalignancy without CC",29094,29060,28401,28356,26656,26608,19184,19165
360,"Vagina, Cervix and Vulva Procedures",14637,14511,14169,14073,14062,13952,9823,9761
361,Laparoscopy and Incisional Tubal Interruption,275,274,298,298,251,251,182,182
362,Endoscopic Tubal Interruption,.,.,.,.,.,.,.,.
363,"D and C, Conization and Radio-Implant for
Malignancy",2121,1821,1948,1680,1601,1404,1205,1079
364,"D and C, Conization Except for Malignancy",1446,1433,1322,1318,1326,1313,1073,1069
365,"Other Female Reproductive System O.R.
Procedures",1628,1618,1606,1592,1536,1528,1058,1051
366,"Malignancy of Female Reproductive System with
CC",6696,5753,6574,5667,6554,5614,4413,3867
367,"Malignancy of Female Reproductive System
without CC",1616,1465,1703,1540,1562,1388,1011,921
368,Infections of Female Reproductive System,4300,4096,4590,4376,4486,4282,3542,3393
369,"Menstrual and Other Female Reproductive
System Disorders",4749,4489,4912,4660,4738,4478,3283,3145
370,Cesarean Section with CC,1907,1905,2302,2301,2483,2481,1916,1916
371,Cesarean Section without CC,2409,2408,2711,2711,3049,3047,2322,2322
372,Vaginal Delivery with Complicating Diagnoses,1225,1221,1444,1441,1572,1566,1168,1166
373,Vaginal Delivery without Complicating Diagnoses,4950,4938,5432,5420,5673,5655,4508,4502
374,Vaginal Delivery with Sterilization and/or D and C,150,150,151,150,141,141,105,105
375,"Vaginal Delivery with Operating Room Procedure
Except Sterilization and/or D & C",.,.,13,13,.,.,.,.
376,"Postpartum and Postabortion Diagnoses without
O.R. Procedure",489,449,573,542,636,579,467,429
377,"Postpartum and Postabortion Diagnoses with
O.R. Procedure",84,82,109,104,95,94,74,71
378,Ectopic Pregnancy,200,197,198,197,192,189,151,149
379,Threatened Abortion,536,446,493,437,524,454,337,307
380,Abortion without D and C,110,109,126,121,112,112,102,100
381,"Abortion with D and C, Aspiration Curettage or
Hysterotomy",212,211,158,156,206,206,159,159
382,False Labor,49,47,48,46,54,52,32,32
383,"Other Antepartum Diagnoses with Medical
Complications",2785,1902,3295,2268,3521,2355,2607,1836
384,"Other Antepartum Diagnoses without Medical
Complications",167,156,188,180,188,173,163,157
385,"Neonates, Died or Transferred to another Acute
Care Facility",242,205,306,254,383,311,219,192
386,"Extreme Immaturity or Respiratory Distress
Syndrome of Neonate",43,42,52,51,54,52,33,32
387,Prematurity with Major Problems,0,0,.,.,.,.,0,0
388,Prematurity without Major Problems,0,0,0,0,.,.,0,0
389,Full Term Neonate with Major Problems,140,138,178,177,202,194,139,137
390,Neonate with Other Significant Problems,34,34,49,47,45,45,31,30
391,Normal Newborn,.,.,.,.,.,.,0,0
392,"Splenectomy, Age Greater than 17",2160,2157,2099,2095,1904,1902,1367,1366
393,"Splenectomy, Age 0-17",.,.,0,0,0,0,0,0
394,"Other Operating Room Procedures of the Blood
and Blood-Forming Organs",2837,2802,2708,2692,2734,2704,2118,2099
395,"Red Blood Cell Disorders, Age Greater than 17",131095,103369,132456,104506,132584,104866,96900,77467
396,"Red Blood Cell Disorders, Age 0-17",22,22,32,25,33,31,20,18
397,Coagulation Disorders,18942,17011,17628,15734,16436,14592,11693,10408
398,"Reticuloendothelial and Immunity Disorders with
CC",19886,18239,20907,19238,19255,17587,5644,5362
399,"Reticuloendothelial and Immunity Disorders
without CC",2311,2162,2192,2064,2109,1978,1052,1009
401,"Lymphoma and Nonacute Leukemia with Other
O.R. Procedure with CC",6406,6328,6495,6406,6240,6140,4414,4361
402,"Lymphoma and Nonacute Leukemia with Other
O.R. Procedure without CC",1411,1402,1311,1301,1173,1169,803,800
403,Lymphoma and Nonacute Leukemia with CC,36306,29152,36226,28884,33170,26782,19552,16321
404,Lymphoma and Nonacute Leukemia without CC,5979,5195,5760,4993,5139,4507,3212,2862
405,"Acute Leukemia without Major O.R. Procedure,
Age 0-17",.,.,0,0,0,0,.,.
406,"Myeloproliferative Disorders or Poorly
Differentiated Neoplasms with Major O.R.
Procedures with CC",2373,2354,2340,2325,2256,2232,1612,1605
407,"Myeloproliferative Disorders or Poorly
Differentiated Neoplasms with Major O.R.
Procedures without CC",621,619,641,637,584,581,438,437
408,"Myeloproliferative Disorders or Poorly
Differentiated Neoplasms with Other O.R.
Procedures",2189,2162,2016,1995,1986,1960,1291,1276
409,Radiotherapy,2339,2012,2183,1850,1928,1626,1423,1134
410,"Chemotherapy without Acute Leukemia as
Secondary Diagnosis",29996,14056,30252,13683,29737,13407,21805,10091
411,History of Malignancy without Endoscopy,343,311,353,322,459,415,310,276
412,History of Malignancy with Endoscopy,14,14,.,.,.,.,.,.
413,"Other Myeloproliferative Disorders or Poorly
Differentiated Neoplasm Diagnoses with CC",6564,6168,6857,6459,5908,5522,3974,3774
414,"Other Myeloproliferative Disorders or Poorly
Differentiated Neoplasm Diagnoses without CC",1362,1275,1310,1207,1155,1076,759,710
415,"O.R. Procedure for Infectious and Parasitic
Diseases",52716,50137,57378,54674,44994,43074,.,.
416,"Septicemia, Age Greater than 17",276103,240552,323164,279763,258731,225567,.,.
417,"Septicemia, Age 0-17",47,40,56,53,62,57,40,39
418,Postoperative and Posttraumatic Infections,36045,32450,36782,33262,36627,33098,26812,24458
419,"Fever of Unknown Origin, Age Greater than 17
with CC",17541,16757,19506,18614,19130,18272,13962,13398
420,"Fever of Unknown Origin, Age Greater than 17
without CC",3526,3428,3723,3617,3427,3328,2419,2354
421,"Viral Illness, Age Greater than 17",11116,10821,14301,13888,12302,11929,7979,7776
422,"Viral Illness and Fever of Unknown Origin, Age
0-17",98,83,101,88,114,102,80,74
423,"Other Infectious and Parasitic Diseases
Diagnoses",15236,13744,16311,14690,16413,14694,11951,10837
424,"O.R. Procedure with Principal Diagnosis of Mental
Illness",2135,2108,1969,1942,1787,1769,1196,1183
425,"Acute Adjustment Reactions and Psychosocial
Dysfunction",22249,21028,20222,19183,17128,16273,11675,11082
426,Depressive Neuroses,26792,23843,25685,23043,25759,23074,18742,17063
427,Neuroses Except Depressive,7722,6826,7803,6920,7641,6814,5534,5036
428,Disorders of Personality and Impulse Control,4057,3295,4008,3310,3706,3057,2584,2239
429,Organic Disturbances and Mental Retardation,85320,71287,80296,67624,74938,63153,51366,43739
430,Psychoses,454346,268238,456830,271690,451885,269060,332134,212699
431,Childhood Mental Disorders,2309,1955,2505,2201,2797,2431,2240,2001
432,Other Mental Disorder Diagnoses,1384,1225,1379,1249,1677,1503,1260,1133
433,"Alcohol/Drug Abuse or Dependence, Left Against
Medical Advice",6665,5428,6511,5340,6096,5022,4511,3803
434,NLV - ALC/DRG ABSE/DEP DTOX OR OTHR CC,0,0,0,0,.,.,0,0
435,NLV - ALC/DRG ABSE/DEP DTOX OTH W/O CC,0,0,0,0,0,0,.,.
439,Skin Grafts for Injuries,1808,1750,1751,1704,1944,1887,1452,1420
440,Wound Debridements for Injuries,5947,5797,5538,5397,5189,5067,3551,3470
441,Hand Procedures for Injuries,804,803,686,683,722,722,552,547
442,Other O.R. Procedures for Injuries with CC,18182,17809,18649,18276,19113,18661,14432,14132
443,Other O.R. Procedures for Injuries without CC,3467,3447,3519,3481,3255,3228,2534,2520
444,"Traumatic Injury, Age Greater than 17 with CC",11632,10675,11677,10679,11691,10665,7980,7349
445,"Traumatic Injury, Age Greater than 17 without CC",6707,6124,6845,6179,6369,5777,3931,3622
446,"Traumatic Injury, Age 0-17",0,0,0,0,.,.,0,0
447,"Allergic Reactions, Age Greater than 17",6535,6243,6535,6244,6706,6417,5229,4981
448,"Allergic Reactions, Age 0-17",.,.,0,0,.,.,0,0
449,"Poisoning and Toxic Effects of Drugs, Age
Greater than 17 with CC",41615,38735,42877,39923,44579,41375,34983,32714
450,"Poisoning and Toxic Effects of Drugs, Age
Greater than 17 without CC",8416,8192,8019,7785,8065,7815,6241,6076
451,"Poisoning and Toxic Effects of Drugs, Age 0-17",.,.,.,.,.,.,.,.
452,Complications of Treatment with CC,31141,29299,32595,30666,33881,31922,25407,23979
453,Complications of Treatment without CC,6823,6623,6882,6683,5956,5776,4278,4145
454,"Other Injury, Poisoning and Toxic Effect
Diagnoses with CC",4531,4350,5564,5378,5209,5068,4033,3913
455,"Other Injury, Poisoning and Toxic Effect
Diagnoses without CC",1212,1181,1272,1238,1139,1090,873,837
461,"O.R. Procedure with Diagnosis of Other Contact
with Health Services",8886,8767,7761,7650,7811,7700,6842,6765
462,Rehabilitation,607595,534711,596894,523533,615086,533177,513411,446128
463,Signs and Symptoms with CC,68161,62882,70319,64677,75091,68907,66725,61640
464,Signs and Symptoms without CC,30828,28272,32592,29770,32468,29617,24692,22830
465,"Aftercare with History of Malignancy as
Secondary Diagnosis",3905,3756,3633,3475,3705,3571,2493,2421
466,"Aftercare without History of Malignancy as
Secondary Diagnosis",46816,42720,50242,45828,52142,47351,35432,32364
467,Other Factors Influencing Health Status,22215,19812,23174,20691,24836,21979,17686,15774
468,"Extensive O.R. Procedure Unrelated to Principal
Diagnosis",53513,52925,53118,52541,52840,52312,38193,37860
469,"Principal Diagnosis Invalid as Discharge
Diagnosis",108,95,93,83,113,98,84,73
470,Ungroupable,1736,1598,1760,1614,1742,1620,988,913
471,"Bilateral or Multiple Major Joint Procedures of
Lower Extremity",15847,15821,16802,16789,17855,17810,10505,10494
473,"Acute Leukemia without Major O.R. Procedure,
Age Greater than 17",9580,7332,9205,7153,9251,7092,6707,5296
475,"Respiratory System Diagnosis with Ventilator
Support",123283,110284,140642,125600,106817,96152,28,28
476,"Prostatic O.R. Procedure Unrelated to Principal
Diagnosis",2855,2843,2807,2797,2528,2519,1728,1721
477,"NON-EXTENSIVE O.R. PROCEDURE
UNRELATED TO PRINCIPAL DIAGNOSIS",26652,26411,28144,27946,27031,26810,19760,19623
478,OTHER VASCULAR PROCEDURES W CC,113027,100514,86898,78856,.,.,0,0
479,Other Vascular Procedures without CC,24951,23277,27299,25218,27574,25265,19082,17757
480,Liver Transplant and/or Intestinal Transplant,1098,1086,1246,1232,1382,1367,1016,1011
481,Bone Marrow Transplant,1287,1260,1475,1444,1566,1536,1138,1125
482,"Tracheostomy for Face, Mouth and Neck
Diagnoses",5247,5004,5144,4909,4797,4595,3480,3333
483,"TRAC W MECH VENT 96+HRS OR PDX EXC
FACE/MOUTH/NECK DX",35719,35403,0,0,0,0,0,0
484,Craniotomy for Multiple Significant Trauma,438,438,448,448,451,451,327,327
485,"Limb Reattachment, Hip and Femur Procedures
for Multiple Significant Trauma",3465,3464,3591,3584,3821,3817,2943,2942
486,"Other O.R. Procedures for Multiple Significant
Trauma",2467,2457,2578,2570,2879,2864,2144,2137
487,Other Multiple Significant Trauma,6834,6368,7204,6737,7567,7058,5245,4956
488,HIV with Extensive O.R. Procedure,795,743,854,807,819,789,598,576
489,HIV with Major Related Condition,14200,9146,14567,9571,14800,9448,10649,7266
490,HIV with or without Other Related Condition,5936,4662,6238,4793,6334,4739,4492,3537
491,"Major Joint and Limb Reattachment Procedures
of Upper Extremity",20368,20032,22843,22437,23901,23468,18794,18604
492,"Chemotherapy with Acute Leukemia as
Secondary Diagnosis or with Use of High-Dose
Chemotherapy Agent",4492,2657,4272,2554,4228,2541,3182,1939
493,"Laparoscopic Cholecystectomy without Common
Duct Exploration with CC",61280,61272,60629,60622,60074,60067,43783,43779
494,"Laparoscopic Cholecystectomy without Common
Duct Exploration without CC",25711,25708,23958,23955,22471,22466,15700,15699
495,Lung Transplant,374,374,393,393,416,416,308,308
496,Combined Anterior/Posterior Spinal Fusion,6822,6794,3650,3625,4282,4269,3510,3500
497,Spinal Fusion Except Cervical with CC,27762,27393,32695,32247,32482,32080,25204,24948
498,Spinal Fusion Except Cervical without CC,18091,17950,21864,21683,22170,21984,16844,16699
499,"Back and Neck Procedures Except Spinal Fusion
with CC",35365,34823,34088,33640,33776,33320,25011,24740
500,"Back and Neck Procedures Except Spinal Fusion
without CC",47795,46923,44893,44116,43684,42927,30867,30470
501,"Knee Procedures with Principal Diagnosis of
Infection with CC",3137,2956,3137,2980,3034,2891,2369,2248
502,"Knee Procedures with Principal Diagnosis of
Infection without CC",740,715,719,698,663,646,426,418
503,"Knee Procedures without Principal Diagnosis of
Infection",5841,5750,5826,5743,5456,5382,3879,3836
504,"Extensive Burns or Full Thickness Burns with
Mechanical Ventilation 96+ Hours with Skin Graft",154,154,202,200,188,185,175,172
505,"Extensive Burns or Full Thickness Burns with
Mechanical Ventilation 96+ Hours without Skin
Graft",190,187,221,217,177,173,140,137
506,"Full Thickness Burn with Skin Graft or Inhalation
Injury with CC or Significant Trauma",1067,1025,1037,998,1038,993,735,699
507,"Full Thickness Burn with Skin Graft or Inhalation
Injury without CC or Significant Trauma",302,294,354,340,260,248,244,236
508,"Full Thickness Burn without Skin Graft or
Inhalation Injury with CC or Significant Trauma",862,769,844,779,738,684,534,487
509,"Full Thickness Burn without Skin Graft or
Inhalation Injury without CC or Significant Trauma",285,273,261,246,224,207,129,116
510,"Nonextensive Burns with CC or Significant
Trauma",2148,1974,2126,1937,1979,1805,1563,1432
511,"Nonextensive Burns without CC or Significant
Trauma",866,813,819,763,704,669,534,498
512,Simultaneous Pancreas/Kidney Transplant,521,521,552,552,580,580,378,378
513,Pancreas Transplant,238,237,208,205,165,164,128,128
515,"Cardiac Defibrillator Implant without Cardiac
Catheterization",29731,29494,48764,48457,54305,53904,36262,36054
516,"PERCUTANEOUS CARDIOVASCULAR PROC W
AMI",29321,28996,12215,12114,0,0,0,0
517,"PERC CARDIO PROC W NON-DRUG ELUTING
STENT W/O AMI",48067,46677,17373,17087,0,0,0,0
518,"Percutaneous Cardiovascular Procedures without
Acute Myocardial Infarction without Coronary
Artery Stent Implant",38797,37726,32491,31658,24754,24203,19225,18867
519,Cervical Spinal Fusion with CC,11664,11517,12720,12568,13822,13611,10866,10742
520,Cervical Spinal Fusion without CC,15532,15387,16465,16322,17317,17157,13528,13435
521,Alcohol/Drug Abuse or Dependence with CC,41809,34166,43978,35689,46393,37330,34154,28555
522,"Alcohol/Drug Abuse or Dependence with
Rehabilitation Therapy without CC",6713,5819,6996,6076,6870,5949,5394,4745
523,"Alcohol/Drug Abuse or Dependence without
Rehabilitation Therapy without CC",32445,24433,30115,22887,28830,21958,21496,17001
524,Transient Ischemia,126189,117688,116911,109484,114173,106910,82639,78043
525,Other Heart Assist System Implant,329,324,189,182,161,160,98,98
526,"PERCUTNEOUS CARDIOVASULAR PROC W
DRUG ELUTING STENT W AMI",63323,62631,55979,55461,0,0,0,0
527,"PERCUTNEOUS CARDIOVASULAR PROC W
DRUG ELUTING STENT W/O AMI",211284,197507,177024,166371,0,0,0,0
528,"Intracranial Vascular Procedure with Principal
Diagnosis of Hemorrhage",1794,1784,1761,1755,1664,1652,1188,1185
529,Ventricular Shunt Procedures with CC,4158,3878,5196,4790,5163,4823,3443,3234
530,Ventricular Shunt Procedures without CC,2375,2315,3492,3383,3066,2969,2043,1983
531,Spinal Procedures with CC,4827,4704,4959,4832,5201,5071,3976,3884
532,Spinal Procedures without CC,2633,2549,2784,2711,2905,2834,2038,1997
533,Extracranial Vascular Procedures with CC,46650,44800,45349,43637,44514,42839,28782,27884
534,Extracranial Vascular Procedures without CC,43549,41653,40777,39051,36655,35147,23392,22576
535,"Cardiac Defibrillator Implant with Cardiac
Catheterization with Acute Myocardial Infarction,
Heart Failure, or Shock",12975,12958,12934,12931,8165,8163,5753,5751
536,"Cardiac Defibrillator Implant with Cardiac
Catheterization without Acute Myocardial
Infarction, Heart Failure, or Shock",18289,18260,13574,13569,7338,7336,5092,5090
537,"Local Excision and Removal of Internal Fixation
Devices Except Hip and Femur with CC",8653,8380,9068,8777,9541,9214,7138,6922
538,"Local Excision and Removal of Internal Fixation
Devices Except Hip and Femur without CC",5434,5374,5404,5325,4958,4878,3540,3505
539,"Lymphoma and Leukemia with Major O.R.
Procedure with CC",5131,5087,5074,5038,4788,4757,3324,3297
540,"Lymphoma and Leukemia with Major O.R.
Procedure without CC",1616,1608,1576,1568,1442,1427,1066,1054
541,"Tracheostomy with Mechanical Ventilation 96+
Hours or Principal Diagnosis Except Face, Mouth,
and Neck with Major O.R. Procedure",5747,5740,25003,24922,24270,24186,17482,17434
542,"Tracheostomy with Mechanical Ventilation 96+
Hours or Principal Diagnosis Except Face, Mouth,
and Neck without Major O.R. Procedure",5135,5124,24059,23795,22846,22635,17098,16944
543,"Craniotomy with Implantation of
Chemotherapeutic Agent or Acute Complex
Central Nervous System Principal Diagnosis",1317,1311,5414,5373,5398,5347,4371,4340
544,"Major Joint Replacement or Reattachment of
Lower Extremity",0,0,108681,108232,437613,422123,329356,320771
545,Revision of Hip or Knee Replacement,0,0,10398,10191,40422,38069,32501,30899
546,"Spinal Fusions Except Cervical With Curvature of
the Spine or Malignancy",0,0,802,798,3860,3794,3338,3271
547,"Coronary Bypass with Cardiac Catheterization
with Major Cardiovascular Diagnosis",0,0,7537,7536,28532,28527,19740,19736
548,"Coronary Bypass with Cardiac Catheterization
without Major Cardiovascular Diagnosis",0,0,6827,6826,25195,25191,16403,16400
549,"Coronary Bypass without Cardiac Catheterization
with Major Cardiovascular Diagnosis",0,0,3185,3185,12557,12554,8677,8677
550,"Coronary Bypass without Cardiac Catheterization
without Major Cardiovascular Diagnosis",0,0,7145,7145,28928,28925,19939,19937
551,"Permanent Cardiac Pacemaker Implant with
Major Cardiovascular Diagnosis or AICD Lead or
Generator",0,0,12475,12457,49177,48926,34968,34814
552,"Other Permanent Cardiac Pacemaker Implant
without Major Cardiovascular Diagnosis",0,0,18436,18425,76229,76141,55045,54994
553,"Other Vascular Procedures with CC with Major
Cardiovascular Diagnosis",0,0,10552,10330,43655,41025,31554,29990
554,"Other Vascular Procedures with CC without Major
Cardiovascular Diagnosis",0,0,18622,17970,76224,68643,55314,50791
555,"Percutaneous Cardiovascular Procedure with
Major Cardiovascular Diagnosis",0,0,8853,8764,41357,40321,50502,49229
556,"Percutaneous Cardiovascular Procedure with Non
Drug-Eluting Stent without Major Cardiovascular
Diagnosis",0,0,3671,3635,21885,21527,32141,31448
557,"Percutaneous Cardiovascular Procedure with
Drug-Eluting Stent with Major Cardiovascular
Diagnosis",0,0,31316,30873,121050,116979,60423,58806
558,"Percutaneous Cardiovascular Procedure with
Drug-Eluting Stent without Major Cardiovascular
Diagnosis",0,0,43685,42291,173882,162997,88096,83654
559,"Acute Ischemic Stroke with Use of Thrombolytic
Agent",0,0,1111,1111,4925,4914,3958,3943
560,"Bacterial and Tuberculosis Infections of Nervous
System",0,0,0,0,1178,984,3368,2781
561,"Non-Bacterial Infections of Nervous System
Except Viral",0,0,0,0,926,809,2629,2285
562,"Seizure, Age Greater than 17 with CC",0,0,0,0,14966,13768,44010,38300
563,"Seizure, Age Greater than 17 without CC",0,0,0,0,6048,5673,17252,15369
564,"Headaches, Age Greater than 17",0,0,0,0,3824,3632,11752,10796
565,"Respiratory System Diagnosis with Ventilator
Support 96+ Hours",0,0,0,0,12993,12494,40435,37275
566,"Respiratory System Diagnosis with Ventilator
Support <96 Hours",0,0,0,0,19747,19058,58708,55231
567,"Stomach, Esophageal and Duodenal Procedures,
Age Greater than 17 with CC with Major
Gastrointestinal Diagnosis",0,0,0,0,2542,2536,7269,7216
568,"Stomach, Esophageal and Duodenal Procedures,
Age Greater than 17 with CC without Major
Gastrointestinal Diagnosis",0,0,0,0,3826,3812,11269,11174
569,"Major Small and Large Bowel Procedures with CC
with Major Gastrointestinal Diagnosis",0,0,0,0,15365,15292,45795,45158
570,"Major Small and Large Bowel Procedures with CC
without Major Gastrointestinal Diagnosis",0,0,0,0,15998,15960,46351,45941
571,Major Esophageal Disorders,0,0,0,0,3222,3142,9486,9193
572,"Major Gastrointestinal Disorders and Peritoneal
Infections",0,0,0,0,17737,15421,58357,48198
573,Major Bladder Procedures,0,0,0,0,1876,1874,5209,5185
574,"Major Hematologic/Immunologic Diagnoses
Except Sickle Cell Crisis and Coagulation
Disorders",0,0,0,0,5618,5200,17437,15232
575,"Septicemia with Mechanical Ventilation 96+
Hours, Age Greater than 17",0,0,0,0,5054,4917,16936,15882
576,"Septicemia without Mechanical Ventilation 96+
Hours, Age Greater than 17",0,0,0,0,83078,75983,253994,222784
577,Carotid Artery Stent Procedure,0,0,0,0,2798,2748,6976,6745
578,"Infectious and Parasitic Diseases with O.R.
Procedure",0,0,0,0,10145,9968,32395,31284
579,"Postoperative or Post-traumatic Infections with
O.R. Procedure",0,0,0,0,4895,4768,14320,13630
999,,225,188,284,248,127,100,67,51
