hcpcs_cdH – CPC (Health Care Common Procedure Code System) Code ,Format value long labelH – CPC (Health Care Common Procedure Code System) Long Label,Format value short labelH – CPC (Health Care Common Procedure Code System) Short Label,Nrecs2004# -  of records with this HCPC code in 2004,nppl_any2004# -  of people with this HCPC code in 2004,Nrecs2005 - # of records with this HCPC code in 2005,nppl_any2005 - # of people with this HCPC code in 2005,Nrecs2006 - # of records with this HCPC code in 2006,nppl_any2006 - # of people with this HCPC code in 2006,Nrecs2007 - # of records with this HCPC code in 2007,nppl_any2007 - # of people with this HCPC code in 2007,Nrecs2008 - # of records with this HCPC code in 2008,nppl_any2008 - # of people with this HCPC code in 2008,Nrecs2009 - # of records with this HCPC code in 2009,nppl_any2009 - # of people with this HCPC code in 2009,Nrecs2010 - # of records with this HCPC code in 2010,nppl_any2010 - # of people with this HCPC code in 2010,Nrecs2011 - # of records with this HCPC code in 2011,nppl_any2011 - # of people with this HCPC code in 2011,Nrecs2012 - # of records with this HCPC code in 2012,nppl_any2012 - # of people with this HCPC code in 2012,Nrecs2013 - # of records with this HCPC code in 2013,nppl_any2013 - # of people with this HCPC code in 2013,Nrecs2014 - # of records with this HCPC code in 2014,nppl_any2014 - # of people with this HCPC code in 2014
31647,"BRONCHOSCOPY, RIGID OR FLEXIBLE, INCLUDING FLUOROSCOPIC GUIDANCE,
WHEN PERFORMED; WITH BALLOON OCCLUSION, WHEN PERFORMED,
ASSESSMENT OF AIR LEAK, AIRWAY SIZING, AND INSERTION OF BRONCHIAL
VALVE(S), INITIAL LOBE",BRNCHSC OCCLUSION&INSERT BRONCH VALVE INIT LOBE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,210,230,195
31648,"BRONCHOSCOPY, RIGID OR FLEXIBLE, INCLUDING FLUOROSCOPIC GUIDANCE,
WHEN PERFORMED; WITH REMOVAL OF BRONCHIAL VALVE(S), INITIAL LOBE",BRNCHSC REMOVAL BRONCHIAL VALVE INITIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,110,100
31649,"BRONCHOSCOPY, RIGID OR FLEXIBLE, INCLUDING FLUOROSCOPIC GUIDANCE,
WHEN PERFORMED; WITH REMOVAL OF BRONCHIAL VALVE(S), EACH ADDITIONAL
LOBE (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",BRNCHSC OCCLUSION&INSERT BRONCH VALVE ADDL LOBE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,20,15
31651,"BRONCHOSCOPY, RIGID OR FLEXIBLE, INCLUDING FLUOROSCOPIC GUIDANCE,
WHEN PERFORMED; WITH BALLOON OCCLUSION, WHEN PERFORMED,
ASSESSMENT OF AIR LEAK, AIRWAY SIZING, AND INSERTION OF BRONCHIAL
VALVE(S), EACH ADDITIONAL LOBE (LIST SEPARATELY IN ADDITION TO",BRNCHSC REMOVAL BRONCHIAL VALVE EA ADDL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,80,80,65
31656,BRNCHSC W/NJX CONTRAST SGMTL BRONCHOG,BRNCHSC W/NJX CONTRAST SGMTL BRONCHOG,50,45,70,65,45,40,65,60,50,40,65,65,65,55,40,40,40,35,0,0,0,0
31660,"BRONCHOSCOPY, RIGID OR FLEXIBLE, INCLUDING FLUOROSCOPIC GUIDANCE,
WHEN PERFORMED; WITH BRONCHIAL THERMOPLASTY, 1 LOBE",BRONCHOSCOPIC THERMOPLASTY ONE LOBE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,330,550,305
31661,"BRONCHOSCOPY, RIGID OR FLEXIBLE, INCLUDING FLUOROSCOPIC GUIDANCE,
WHEN PERFORMED; WITH BRONCHIAL THERMOPLASTY, 2 OR MORE LOBES",BRONCHOSCOPIC THERMOPLASTY 2/> LOBES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,220,255,240
31700,CATHJ TRANSGLOTTIC SPX,CATHJ TRANSGLOTTIC SPX,35,35,65,55,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31708,INSTLJ CNTRST LARYNGOG/BRONCHOG W/O CATHJ,INSTLJ CNTRST LARYNGOG/BRONCHOG W/O CATHJ,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3170F,"FLOW CYTOMETRY STUDIES PERFORMED AT TIME OF DIAGNOSIS OR PRIOR TO
INITIATING TREATMENT (HEM)",FLOW CYTOMETRY W/DIAG/PRIOR INITIATING TREATMENT,0,0,0,0,0,0,13580,7645,26170,10220,32495,13675,31215,13745,30910,13490,32850,12570,35720,13965,26640,9980
31710,CATHJ BRONCHOGRAPY +-INSTLJ CNTRST MATRL,CATHJ BRONCHOGRAPY +-INSTLJ CNTRST MATRL,55,50,20,15,20,15,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31715,TRANSTRACHEAL INJECTION BRONCHOGRAPHY,TRANSTRACHEAL INJECTION BRONCHOGRAPHY,0,0,0,0,.,.,.,.,.,.,.,.,0,0,.,.,0,0,0,0,0,0
31717,CATHETERIZATION WITH BRONCHIAL BRUSH BIOPSY,CATHETERIZATION W/BRONCHIAL BRUSH BIOPSY,105,95,110,95,125,100,55,40,75,70,190,125,260,155,215,115,155,95,190,125,140,90
31720,CATHETER ASPIRATION (SEPARATE PROCEDURE); NASOTRACHEAL,CATHETER ASPIRATION NASOTRACHEAL SPX,410,330,350,215,1190,265,270,165,400,220,400,195,365,140,405,170,200,105,145,70,60,50
31725,"CATHETER ASPIRATION (SEPARATE PROCEDURE); TRACHEOBRONCHIAL WITH
FIBERSCOPE, BEDSIDE",CATH ASPIR TRACHEOBRNCL FIBERSCOPE BEDSIDE SPX,490,270,295,195,295,210,375,245,460,320,470,310,745,375,650,335,710,370,470,310,440,195
31730,"TRANSTRACHEAL (PERCUTANEOUS) INTRODUCTION OF NEEDLE WIRE
DILATOR/STENT OR INDWELLING TUBE FOR OXYGEN THERAPY",TTRACH INTRO NDL WIRE DIL/STENT/TUBE O2 THER,770,600,690,540,925,665,735,580,590,515,510,435,580,500,670,565,800,705,835,730,745,705
31750,TRACHEOPLASTY; CERVICAL,TRACHEOPLASTY CERVICAL,235,175,140,125,160,130,250,185,330,200,215,155,225,190,205,160,200,170,160,125,170,145
31755,"TRACHEOPLASTY; TRACHEOPHARYNGEAL FISTULIZATION, EACH STAGE",TRACHEOPLASTY TRACHEOPHARYNGEAL FSTLJ EA STG,90,70,30,30,40,40,60,45,30,30,45,40,25,20,25,20,35,30,35,30,.,.
31760,TRACHEOPLASTY; INTRATHORACIC,TRACHEOPLASTY INTRATHORACIC,.,.,.,.,35,25,.,.,30,20,30,25,.,.,20,20,15,15,.,.,35,30
31766,CARINAL RECONSTRUCTION,CARINAL RECONSTRUCTION,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,0,0,15,.
31770,BRONCHOPLASTY; GRAFT REPAIR,BRONCHOPLASTY GRAFT REPAIR,30,25,80,45,25,15,45,35,30,20,.,.,45,35,.,.,40,25,50,30,55,30
31775,BRONCHOPLASTY; EXCISION STENOSIS AND ANASTOMOSIS,BRONCHOPLASTY EXCISION STENOSIS & ANASTOMOSIS,0,0,25,15,.,.,.,.,.,.,25,25,.,.,.,.,.,.,.,.,.,.
31780,EXCISION TRACHEAL STENOSIS AND ANASTOMOSIS; CERVICAL,EXCISION TRACHEAL STENOSIS&ANASTOMOSIS CERVICAL,190,145,160,125,115,100,145,110,110,100,120,100,125,120,90,85,170,135,145,120,120,95
31781,EXCISION TRACHEAL STENOSIS AND ANASTOMOSIS; CERVICOTHORACIC,EXC TRACHEAL STENOSIS&ANAST CERVICOTHORACIC,35,20,45,30,.,.,50,30,35,20,.,.,.,.,50,30,25,25,55,30,40,30
31785,EXCISION OF TRACHEAL TUMOR OR CARCINOMA; CERVICAL,EXCISION TRACHEAL TUMOR/CARCINOMA CERVICAL,155,105,150,125,145,100,165,90,170,120,120,115,105,85,175,135,135,95,160,115,65,45
31786,EXCISION OF TRACHEAL TUMOR OR CARCINOMA; THORACIC,EXCISION TRACHEAL TUMOR/CARCINOMA THORACIC,30,15,.,.,.,.,.,.,20,20,.,.,.,.,.,.,.,.,35,15,15,.
31800,SUTURE OF TRACHEAL WOUND OR INJURY; CERVICAL,SUTURE TRACHEAL WOUND/INJURY CERVICAL,100,80,130,105,75,60,65,60,105,95,50,35,85,75,95,85,80,60,45,45,60,50
31805,SUTURE OF TRACHEAL WOUND OR INJURY; INTRATHORACIC,SUTURE TRACHEAL WOUND/INJURY INTRATHORACIC,45,35,25,15,35,20,35,25,30,20,.,.,50,40,35,20,70,30,95,30,25,25
31820,SURGICAL CLOSURE TRACHEOSTOMY OR FISTULA; WITHOUT PLASTIC REPAIR,SURG CLSR TRACHEOSTOMY/FISTULA W/O PLASTIC RPR,365,315,300,270,460,370,290,255,290,245,345,295,400,340,330,280,405,335,330,280,315,295
31825,SURGICAL CLOSURE TRACHEOSTOMY OR FISTULA; WITH PLASTIC REPAIR,SURG CLSR TRACHEOSTOMY/FISTULA W/PLASTIC RPR,285,250,410,360,340,280,340,260,230,225,335,265,325,300,380,315,290,250,250,230,220,200
31830,REVISION OF TRACHEOSTOMY SCAR,REVISION TRACHEOSTOMY SCAR,180,140,175,145,220,190,185,135,115,105,275,200,180,165,190,160,245,165,135,130,125,100
31899,"UNLISTED PROCEDURE, TRACHEA, BRONCHI",UNLISTED PROCEDURE TRACHEA BRONCHI,725,500,480,335,455,350,530,380,1090,890,1480,1205,525,390,670,460,515,365,445,340,640,475
32000,THORACNTS PNXR PLEURAL CAVITY ASPIR 1ST/SBSQ,THORACNTS PNXR PLEURAL CAVITY ASPIR 1ST/SBSQ,163340,110835,154910,105160,137760,95950,128925,89690,155,130,0,0,.,.,.,.,0,0,0,0,0,0
32002,THORACNTS W/INSJ TUBE +-WATER SEAL SPX,THORACNTS W/INSJ TUBE +-WATER SEAL SPX,58575,42335,68745,49900,80915,58000,94880,66410,.,.,.,.,.,.,0,0,0,0,0,0,0,0
32005,CHEM PLEURODESIS,CHEM PLEURODESIS,9765,7645,9490,7345,8255,6305,7170,5605,.,.,.,.,0,0,0,0,0,0,0,0,0,0
3200F,BARIUM SWALLOW TEST NOT ORDERED,BARIUM SWALLOW TEST NOT ORDERED,0,0,0,0,0,0,22710,18710,4545,3185,1770,1050,1505,980,95,95,0,0,.,.,0,0
32019,INSJ NDWELLG TUN PLEURAL CATH W/CUFF,INSJ NDWELLG TUN PLEURAL CATH W/CUFF,0,0,1885,1660,3125,2660,4065,3635,.,.,.,.,0,0,0,0,0,0,0,0,0,0
32020,TUBE THORACOSTOMY +-WATER SEAL SPX,TUBE THORACOSTOMY +-WATER SEAL SPX,72970,55615,71790,54980,72325,55370,71015,53530,85,60,.,.,0,0,0,0,0,0,0,0,0,0
32035,THORACOSTOMY; WITH RIB RESECTION FOR EMPYEMA,THORACOSTOMY W/RIB RESECTION EMPYEMA,230,190,225,185,285,210,270,205,335,250,225,160,230,140,185,155,195,160,155,135,175,125
32036,THORACOSTOMY; WITH OPEN FLAP DRAINAGE FOR EMPYEMA,THORACOSTOMY OPEN FLAP DRAINAGE EMPYEMA,425,280,325,265,320,230,290,235,405,255,385,250,225,155,245,165,275,195,225,145,195,155
32095,THORACOTOMY LIMITED BIOPSY LUNG/PLEURA,THORACOTOMY LIMITED BIOPSY LUNG/PLEURA,3230,2415,2905,2220,2755,2045,2450,1875,2705,1845,2495,1650,2080,1400,2140,1500,0,0,0,0,0,0
32096,"THORACOTOMY, WITH DIAGNOSTIC BIOPSY(IES) OF LUNG INFILTRATE(S) (EG,
WEDGE, INCISIONAL), UNILATERAL",THORACTOMY W/DX BX LUNG INFILTRATE UNILATERAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,560,940,660,710,515
32097,"THORACOTOMY, WITH DIAGNOSTIC BIOPSY(IES) OF LUNG NODULE(S) OR
MASS(ES) (EG, WEDGE, INCISIONAL), UNILATERAL",THORACTOMY W/DX BX LUNG NODULE/MASS UNILATERAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,835,1525,1040,1430,995
32098,"THORACOTOMY, WITH BIOPSY(IES) OF PLEURA",THORACOTOMY W/BIOPSY OF PLEURA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,550,730,550,695,485
32100,THORACOTOMY; WITH EXPLORATION,THORACOTOMY MAJOR W/EXPLORATION & BIOPSY,5490,3735,5620,3935,4860,3385,4560,2995,4195,2665,4110,2575,3275,2180,3355,2185,2045,1330,1675,1140,1550,1095
3210F,GROUP A STREP TEST PERFORMED (PHAR),GROUP A STREP TEST PERFORMED,0,0,0,0,0,0,.,.,70,60,215,190,730,595,125,110,190,135,175,145,455,395
32110,"THORACOTOMY; WITH CONTROL OF TRAUMATIC HEMORRHAGE AND/OR REPAIR
OF LUNG TEAR",THORCOM MAJOR CTRL TRAUMTC HEMRRG&/RPR LNG TEAR,835,545,760,510,670,455,540,400,765,585,775,485,660,455,685,495,710,505,675,480,685,445
32120,THORACOTOMY; FOR POSTOPERATIVE COMPLICATIONS,THORACOTOMY MAJOR POSTOPERATIVE COMPLICATIONS,1240,855,1295,940,1355,865,1110,830,995,705,1050,695,990,650,800,585,1050,610,1165,705,1030,675
32124,THORACOTOMY; WITH OPEN INTRAPLEURAL PNEUMONOLYSIS,THORACOTOMY MAJOR OPN INTRAPLEURAL PNEUMONOLYSIS,1740,1185,1970,1300,1995,1335,2355,1550,2340,1500,2150,1455,1930,1280,1965,1305,1820,1190,1920,1185,1725,1130
32140,"THORACOTOMY; WITH CYST(S) REMOVAL, INCLUDES PLEURAL PROCEDURE
WHEN PERFORMED",THORCOM MAJOR W/CST RMVL +-PLEURAL PX,175,120,150,90,175,115,145,95,105,75,95,70,145,80,110,95,95,85,45,35,40,35
32141,"THORACOTOMY; WITH RESECTION-PLICATION OF BULLAE, INCLUDES ANY
PLEURAL PROCEDURE WHEN PERFORMED",THORCOM MAJOR EXC-PLCTJ BULLAE +-ANY PLEURAL PX,955,650,940,615,915,620,720,495,720,520,665,440,500,350,430,320,565,365,525,330,415,285
32150,"THORACOTOMY; WITH REMOVAL OF INTRAPLEURAL FOREIGN BODY OR FIBRIN
DEPOSIT",THORCOM MAJOR W/RMVL INTRAPLEURAL FB/FIBRIN DEP,355,255,335,235,375,270,315,210,450,340,380,270,255,200,315,200,295,215,415,270,435,290
32151,THORACOTOMY; WITH REMOVAL OF INTRAPULMONARY FOREIGN BODY,THORCOM MAJOR W/RMVL IPUL FB,35,25,.,.,50,35,30,30,95,55,40,25,25,20,70,40,.,.,35,20,70,30
3215F,PATIENT HAS DOCUMENTED IMMUNITY TO HEPATITIS A (HEP-C),DOCUMENTED IMMUNITY TO HEPATITIS A,0,0,0,0,0,0,0,0,210,165,630,425,460,320,890,585,1260,705,1090,785,875,595
32160,THORACOTOMY; WITH CARDIAC MASSAGE,THORACOTOMY MAJOR W/CARDIAC MASSAGE,580,405,495,370,380,280,485,320,475,380,810,565,725,520,460,300,355,245,430,295,475,315
3216F,PATIENT HAS DOCUMENTED IMMUNITY TO HEPATITIS B (HEP-C)(IBD),DOCUMENTED IMMUNITY TO HEPATITIS B,0,0,0,0,0,0,0,0,160,145,470,340,355,265,710,500,1080,670,850,630,35,35
3218F,"RNA TESTING FOR HEPATITIS C DOCUMENTED AS PERFORMED WITHIN 6 MONTHS
PRIOR TO INITIATION OF ANTIVIRAL TREATMENT FOR HEPATITIS C (HEP-C)",HEP C RNA TEST 6 MOS BEFORE ANTIVIRAL TX,0,0,0,0,0,0,0,0,540,335,885,515,1185,840,1425,965,1790,1070,1060,670,240,125
3219F,HEP C GENOTYPE TEST BEFORE ANTIVIRAL TX,HEP C GENOTYPE TEST BEFORE ANTIVIRAL TX,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32200,"PNEUMONOSTOMY, WITH OPEN DRAINAGE OF ABSCESS OR CYST",PNEUMONOSTOMY W/OPEN DRAINAGE ABSCESS/CYST,165,110,230,160,130,95,225,160,165,105,185,135,90,70,135,105,80,60,105,70,195,150
32201,PNEUMONOSTOMY PERCUTANEOUS DRAINAGE ABSCESS/CYST,PNEUMONOSTOMY PERCUTANEOUS DRAINAGE ABSCESS/CYST,610,520,610,545,485,430,545,445,580,485,535,455,480,415,335,315,240,215,355,320,0,0
3220F,"HEPATITIS C QUANTITATIVE RNA TESTING DOCUMENTED AS PERFORMED AT 12
WEEKS FROM INITIATION OF ANTIVIRAL TREATMENT (HEP-C)",HEP C QUANT RNA TEST 12 WKS AFTER ANTIVIRAL TX,0,0,0,0,0,0,.,.,195,125,375,225,320,245,595,370,585,365,425,290,90,55
32215,PLEURAL SCARIFICATION FOR REPEAT PNEUMOTHORAX,PLEURAL SCARIFICATION REPEAT PNEUMOTHORAX,565,340,410,305,320,240,440,285,420,300,240,165,295,200,330,225,190,130,225,155,300,125
32220,"DECORTICATION, PULMONARY (SEPARATE PROCEDURE); TOTAL",DECORTICATION PULMONARY TOTAL SEPARATE PROCEDURE,4425,3020,4580,3265,4605,3115,4495,3150,4610,3175,4360,2950,4720,3245,4435,3055,4165,2800,4440,2930,3950,2595
32225,"DECORTICATION, PULMONARY (SEPARATE PROCEDURE); PARTIAL",DECORTICATION PULMONARY PARTIAL SEPARATE PROC,1305,970,1555,1105,1405,1040,1335,925,1525,1030,1295,880,1255,870,1365,920,1370,925,1320,850,1160,765
3230F,HEARING TEST 6 MOS PRIOR TO EAR TUBE INSERTION,HEARING TEST 6 MOS PRIOR TO EAR TUBE INSERTION,0,0,0,0,0,0,0,0,.,.,.,.,0,0,.,.,.,.,0,0,0,0
32310,"PLEURECTOMY, PARIETAL (SEPARATE PROCEDURE)",PLEURECTOMY PARIETAL SEPARATE PROCEDURE,600,390,650,420,415,320,545,370,580,380,545,390,410,265,345,240,275,200,320,225,260,195
32320,DECORTICATION AND PARIETAL PLEURECTOMY,DECORTICATION & PARIETAL PLEURECTOMY,1645,1195,1880,1280,1535,1090,1575,1105,1665,1130,1375,1000,1475,1075,1300,905,1270,865,1130,805,1150,850
32400,"BIOPSY, PLEURA; PERCUTANEOUS NEEDLE",BIOPSY PLEURA PERCUTANEOUS NEEDLE,2595,2250,2300,2070,1985,1810,1915,1690,1620,1505,1665,1555,1630,1540,1585,1430,1285,1240,1200,1135,1255,1205
32402,BIOPSY PLEURA OPEN,BIOPSY PLEURA OPEN,505,360,360,265,450,325,460,330,555,370,505,355,380,240,505,335,0,0,0,0,0,0
32405,"BIOPSY, LUNG OR MEDIASTINUM, PERCUTANEOUS NEEDLE",BIOPSY LUNG/MEDIASTINUM PERCUTANEOUS NEEDLE,58280,53400,58295,54150,57430,53145,58840,54325,60695,55650,58545,54725,60070,55980,61665,57320,63515,59210,64625,60235,64825,60245
32420,PNEUMOCENTESIS PUNCTURE LUNG ASPIRATION,PNEUMOCENTESIS PUNCTURE LUNG ASPIRATION,280,235,275,250,285,235,390,365,530,470,505,425,440,380,365,310,305,265,0,0,0,0
32421,THORACENTESIS PUNCTURE PLEURAL CAVITY ASPIRATION,THORACENTESIS PUNCTURE PLEURAL CAVITY ASPIRATION,0,0,0,0,0,0,.,.,123885,85925,114910,79965,104485,72735,95495,66965,85795,60675,.,.,15,15
32422,THORACENTESIS WITH INSERTION TUBE WATER SEAL,THORACENTESIS WITH INSERTION TUBE WATER SEAL,0,0,0,0,0,0,0,0,104005,72510,112735,79070,124150,84800,137000,92265,147235,97795,0,0,0,0
32440,"REMOVAL OF LUNG, PNEUMONECTOMY;",REMOVAL LUNG TOTAL PNEUMONECTOMY,1730,1115,2015,1310,1715,1130,1355,840,1280,880,1210,785,1150,765,1120,705,1035,710,910,575,830,490
32442,"REMOVAL OF LUNG, PNEUMONECTOMY; WITH RESECTION OF SEGMENT OF
TRACHEA FOLLOWED BY BRONCHO-TRACHEAL ANASTOMOSIS (SLEEVE
PNEUMONECTOMY)",REMOVAL LUNG PNEUMONECTOMY RESXN SGMNT TRACHEA,40,30,.,.,20,15,.,.,60,55,25,25,60,40,20,20,25,20,25,15,15,.
32445,"REMOVAL OF LUNG, PNEUMONECTOMY; EXTRAPLEURAL",REMOVAL LUNG TOTAL PNEUMONECTOMY EXTRAPLEURAL,150,115,135,100,155,105,85,75,125,90,65,55,85,60,60,35,170,100,55,40,70,50
32480,"REMOVAL OF LUNG, OTHER THAN PNEUMONECTOMY; SINGLE LOBE (LOBECTOMY)",RMVL LUNG OTHER THAN PNEUMONECTOMY 1 LOBE LOBECT,23000,15475,23510,15915,23405,15375,22060,14425,20960,13565,18600,12270,17170,11185,15200,10055,14305,9385,12685,8490,11345,7520
32482,"REMOVAL OF LUNG, OTHER THAN PNEUMONECTOMY; 2 LOBES (BILOBECTOMY)",RMVL LUNG OTHER THAN PNEUMONECT 2 LOBES BILOBEC,1890,1200,1980,1290,1745,1185,1955,1205,1475,985,1460,930,1175,800,1255,800,1085,750,915,600,970,620
32484,"REMOVAL OF LUNG, OTHER THAN PNEUMONECTOMY; SINGLE SEGMENT
(SEGMENTECTOMY)",RMVL LUNG OTHER THAN PNEUMONECT 1 SEGMENTECTOMY,1955,1310,1990,1305,2120,1445,1790,1205,1840,1285,1690,1090,1550,1040,1455,990,1305,845,1115,770,1215,810
32486,"REMOVAL OF LUNG, OTHER THAN PNEUMONECTOMY; WITH CIRCUMFERENTIAL
RESECTION OF SEGMENT OF BRONCHUS FOLLOWED BY BRONCHO-BRONCHIAL
ANASTOMOSIS (SLEEVE LOBECTOMY)",RMVL LUNG XCP TOT PNEUMONECTOMY SLEEVE LOBECTOMY,145,95,150,110,150,105,185,125,180,125,120,90,260,175,200,140,170,130,170,120,140,95
32488,"REMOVAL OF LUNG, OTHER THAN PNEUMONECTOMY; WITH ALL REMAINING LUNG
FOLLOWING PREVIOUS REMOVAL OF A PORTION OF LUNG (COMPLETION
PNEUMONECTOMY)",RMVL LUNG OTHER/THAN PNUMEC COMPLETION PNUMEC,270,190,240,160,270,170,160,110,210,145,185,135,260,160,185,115,170,110,105,65,90,50
32491,"REMOVAL OF LUNG, OTHER THAN PNEUMONECTOMY; WITH
RESECTION-PLICATION OF EMPHYSEMATOUS LUNG(S) (BULLOUS OR
NON-BULLOUS) FOR LUNG VOLUME REDUCTION, STERNAL SPLIT OR
TRANSTHORACIC APPROACH, INCLUDES ANY PLEURAL PROCEDURE, WHEN
PERFORMED",RMVL LUNG OTH/THN PNUMEC RESXN-PLCTJ EMPHY LUNG,385,220,450,225,240,140,280,140,200,125,305,115,220,80,115,75,145,90,70,60,20,.
32500,RMVL LNG OTH/THN TOT PNUMEC WEDGE RESCJ 1/MLT,RMVL LNG OTH/THN TOT PNUMEC WEDGE RESCJ 1/MLT,11970,8395,12350,8605,11990,8360,11685,7945,10430,6985,9540,6570,8540,5810,8080,5515,0,0,0,0,0,0
32501,"RESECTION AND REPAIR OF PORTION OF BRONCHUS (BRONCHOPLASTY) WHEN
PERFORMED AT TIME OF LOBECTOMY OR SEGMENTECTOMY (LIST SEPARATELY
IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",RESCJ&BRONCHOPLASTY PFRMD TM LOBEC/SGMECTOMY,285,225,345,260,310,230,350,240,320,205,185,135,310,210,290,200,215,145,245,140,265,170
32503,"RESECTION OF APICAL LUNG TUMOR (EG, PANCOAST TUMOR), INCLUDING CHEST
WALL RESECTION, RIB(S) RESECTION(S), NEUROVASCULAR DISSECTION, WHEN
PERFORMED; WITHOUT CHEST WALL RECONSTRUCTION(S)",RESCJ APICAL LUNG TUMOR W/O CHEST WALL RCNSTJ,0,0,0,0,235,165,185,115,215,150,115,85,175,110,200,120,175,90,130,100,65,45
32504,"RESECTION OF APICAL LUNG TUMOR (EG, PANCOAST TUMOR), INCLUDING CHEST
WALL RESECTION, RIB(S) RESECTION(S), NEUROVASCULAR DISSECTION, WHEN
PERFORMED; WITH CHEST WALL RECONSTRUCTION",RESCJ APICAL LUNG TUMOR W/CHEST WALL RCNSTJ,0,0,0,0,170,110,140,90,150,105,90,60,75,55,75,50,125,90,140,90,115,75
32505,"THORACOTOMY; WITH THERAPEUTIC WEDGE RESECTION (EG, MASS, NODULE),
INITIAL",THORACOTOMY W/THERAPEUTIC WEDGE RESEXN INITIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5755,3745,5095,3485,4275,2890
32506,"THORACOTOMY; WITH THERAPEUTIC WEDGE RESECTION (EG, MASS OR
NODULE), EACH ADDITIONAL RESECTION, IPSILATERAL (LIST SEPARATELY IN
ADDITION TO CODE FOR PRIMARY PROCEDURE)",THORACOTOMY W/THERAP WEDGE RESEXN ADDL IPSILATRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105,725,1205,680,835,485
32507,"THORACOTOMY; WITH DIAGNOSTIC WEDGE RESECTION FOLLOWED BY ANATOMIC
LUNG RESECTION (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY
PROCEDURE)",THORACOTOMY W/DX WEDGE RESEXN &ANTOM LUNG RESEXN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,620,1010,675,795,565
3250F,SPECIMEN SITE OTHER THAN ANATOMIC LOCATION OF PRIMARY TUMOR (PATH),NONPRIM ANATOMIC LOCATION OF SPECIMEN SITE,0,0,0,0,0,0,0,0,0,0,1605,1180,1105,900,1785,1345,3395,2570,3800,3155,5180,3085
32520,RESECTION OF LUNG; WITH RESECTION OF CHEST WALL,RESECTION OF LUNG; WITH RESECTION OF CHEST WALL,510,345,555,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32522,RESECTION LUNG; W/RECON CHEST WALL W/O PROSTH,RESECTION LUNG; W/RECON CHEST WALL W/O PROSTH,135,105,180,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32525,RESECTION LUNG; W/MAJ RECON CHEST WALL W/PROSTH,RESECTION LUNG; W/MAJ RECON CHEST WALL W/PROSTH,220,155,250,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32540,EXTRAPLEURAL ENUCLEATION OF EMPYEMA (EMPYEMECTOMY),EXTRAPLEURAL ENUCLEATION EMPYEMA EMPYEMECTOMY,175,130,260,195,220,160,290,195,255,185,325,200,255,170,215,165,295,215,215,150,280,190
32550,INSERTION OF INDWELLING TUNNELED PLEURAL CATHETER WITH CUFF,INSERTION INDWELLING TUNNELED PLEURAL CATHETER,0,0,0,0,0,0,.,.,6180,5340,7210,6185,8360,7280,10395,8995,11235,9655,12140,10475,13380,11585
32551,"TUBE THORACOSTOMY, INCLUDES CONNECTION TO DRAINAGE SYSTEM (EG,
WATER SEAL), WHEN PERFORMED, OPEN (SEPARATE PROCEDURE)",TUBE THORACOSTOMY INCLUDES WATER SEAL,0,0,0,0,0,0,0,0,65745,50175,67020,51300,67400,51920,68935,52845,68655,52745,45945,35965,41450,32930
32552,REMOVAL OF INDWELLING TUNNELED PLEURAL CATHETER WITH CUFF,RMVL NDWELLG TUNNELED PLEURAL CATHETER W/CUFF,0,0,0,0,0,0,0,0,0,0,0,0,2065,1870,2825,2470,3330,2890,3790,3305,4205,3665
32553,"PLACEMENT OF INTERSTITIAL DEVICE(S) FOR RADIATION THERAPY GUIDANCE
(EG, FIDUCIAL MARKERS, DOSIMETER), PERCUTANEOUS, INTRA-THORACIC,
SINGLE OR MULTIPLE",PLMT NTRSTL DEV RADJ THX GID PRQ INTRATHRC 1/MLT,0,0,0,0,0,0,0,0,0,0,0,0,1620,1485,2175,1955,1975,1805,1570,1405,1610,1495
