HRR Name,State,Overall - Number of Medicare beneficiaries with diabetes and PAD,Black - Number of Medicare beneficiaries with diabetes and PAD,Non-black - Number of Medicare beneficiaries with diabetes and PAD,"Overall - Leg amputation per 1,000 Medicare beneficiaries with diabetes and PAD","Black - Leg amputation per 1,000 Medicare beneficiaries with diabetes and PAD","Non-black - Leg amputation per 1,000 Medicare beneficiaries with diabetes and PAD","Overall - Therapeutic endovascular interventions per 1,000 Medicare beneficiaries with diabetes and PAD","Black - Therapeutic endovascular interventions per 1,000 Medicare beneficiaries with diabetes and PAD","Non-black - Therapeutic endovascular interventions per 1,000 Medicare beneficiaries with diabetes and PAD","Overall - Open leg bypass procedures per 1,000 Medicare beneficiaries with diabetes and PAD","Black - Open leg bypass procedures per 1,000 Medicare beneficiaries with diabetes and PAD","Non-black - Open leg bypass procedures per 1,000 Medicare beneficiaries with diabetes and PAD",Overall - Percent of diabetic Medicare beneficiaries (age 65-75) receiving blood lipids testing,Black - Percent of diabetic Medicare beneficiaries (age 65-75) receiving blood lipids testing,Non-black - Percent of diabetic Medicare beneficiaries (age 65-75) receiving blood lipids testing,Overall - Percent of diabetic Medicare beneficiaries (age 65-75) receiving hemoglobin A1c testing,Black - Percent of diabetic Medicare beneficiaries (age 65-75) receiving hemoglobin A1c testing,Non-black - Percent of diabetic Medicare beneficiaries (age 65-75) receiving hemoglobin A1c testing
Detroit,MI,146699,59883,86816,1.57,3.14,1.66,16.9,24.62,15.35,3.75,4.98,3.44,74.9949562199895,64.0120967741936,82.3252371661172,83.1699148609934,77.9637096774194,86.6446881517863
Flint,MI,43292,8201,35091,1.76,3.08,1.69,9.09,10.83,9.06,2.9,2.9,2.98,82.9556185080264,80.1226993865031,83.6305173925753,85.6586402266289,84.601226993865,85.910552470038
Grand Rapids,MI,45608,2398,43210,2.59,5.28,2.18,16.47,13.56,16.13,3.77,,,82.8173981191223,72.8785357737105,83.4391589466014,88.1073667711599,83.5274542429285,88.3938794628916
Kalamazoo,MI,38601,2789,35812,1.66,,,15.05,24.12,14.01,7.25,9.09,7.01,81.7601760176018,72.3837209302326,82.527969531064,86.2706270627063,80.6686046511628,86.7293501547251
Lansing,MI,37354,1753,35601,1.79,,,16.6,16.46,16.05,2.52,,,83.6267803072782,78.8418708240534,83.8804912612187,88.2808119322642,86.4142538975501,88.379782711384
Marquette,MI,12678,25,12653,3.66,,,20.39,,,7.81,,,82.4182242990654,,,86.9742990654206,,
Muskegon,MI,14943,1192,13751,2.49,,,13.2,14.28,12.87,6.47,,,85.4029251505592,81.3664596273292,85.8135860979463,90.3068540292515,87.5776397515528,90.5845181674566
Petoskey,MI,13168,11,13157,3.67,,,33.52,,,7.67,,,79.7799583705025,,,87.9274457329765,,
Pontiac,MI,26013,3413,22600,1.45,,,15.48,22.85,14.48,3.58,4.58,3.45,76.7244701348748,70.2623906705539,77.708703374778,84.6820809248555,82.2157434402332,85.0577264653641
Royal Oak,MI,51078,8012,43066,1.2,3.13,0.93,10.99,16.07,10.28,2.85,3.56,2.76,81.8700114025086,74.3496672716273,83.6166924265842,83.8540478905359,82.8191167574108,84.0944218069411
Saginaw,MI,57165,3495,53670,3.02,3.85,2.7,18.48,14.86,18.23,5.43,,,81.6732757950393,74.8387096774194,82.1115340062883,85.0555944327813,75.741935483871,85.6528214463015
St. Joseph,MI,10764,1989,8775,1.87,,,18.48,20.29,18.76,4.32,,,80.8053691275168,76.039119804401,81.8729463307777,86.1297539149888,83.3740831295843,86.7469879518072
Traverse City,MI,17577,29,17548,1.93,,,27.13,,,6.92,,,83.3370710921731,,,88.898856245795,,
Duluth,MN,16233,62,16171,2.86,,,10.73,,,5.78,,,82.0115466423579,80,82.020757020757,87.8152537222729,,
Minneapolis,MN,82566,1672,80894,2.78,,,11.59,19.88,10.9,4.61,,,82.6752,72.1382289416847,82.9969660994592,86.8672,84.0172786177106,86.9542276744493
Rochester,MN,18200,48,18152,3.33,,,12.15,,,3.72,,,86.6550116550117,88.2352941176471,86.6471449487555,92.7156177156177,94.1176470588235,92.7086383601757
St. Cloud,MN,6658,18,6640,3.08,,,9.28,,,6.65,,,81.8109610802224,,,88.6417791898332,,
St. Paul,MN,24862,748,24114,2.84,,,10.78,,,4.22,,,85.531914893617,72.3926380368098,86.0039673793255,90.1063829787234,88.9570552147239,90.1476746748953
Gulfport,MS,11563,2166,9397,4.17,10.29,3.3,15.55,16.76,15.88,4.95,,,69.8863636363636,64.8214285714286,71.1436170212766,75.6392045454545,77.3214285714286,75.2216312056738
Hattiesburg,MS,20098,4557,15541,3.04,7.83,2.29,26.07,41.69,23.22,3.78,4.89,3.61,76.9106674732809,75.0663129973475,77.4555903866249,82.3956442831216,81.3439434129089,82.7063740856844
Jackson,MS,62582,25474,37108,3.53,8.9,2.46,13.16,17.72,12.94,3.48,4.94,2.98,72.0866300120692,67.0751113940165,75.7358053302433,81.7419873943945,79.1693189051559,83.6152954808806
Meridian,MS,14988,5168,9820,5.47,14.15,3.79,9.7,13.48,9.23,2.29,3.76,1.77,70.0162074554295,69.568345323741,70.2854671280277,79.3625067531064,83.9568345323741,76.6003460207613
Oxford,MS,9739,2915,6824,2.1,,,12.78,16.58,12.64,5.37,7.6,4.84,74.6166950596252,74.0947075208914,74.8466257668712,83.0919931856899,86.0724233983287,81.7791411042945
Tupelo,MS,24996,5259,19737,6.22,16.13,4.69,13.52,10.96,14.88,3.8,2.53,4.25,79.2395104895105,77.6978417266187,79.6813495782568,86.756993006993,87.9005886200131,86.4292408622305
Cape Girardeau,MO,21198,1444,19754,3.61,8.98,2.94,14.28,17.81,13.69,5.31,,,74.8937031787811,70.6371191135734,75.2293577981651,87.0014172909496,84.7645429362881,87.1778069025775
Columbia,MO,47372,1633,45739,3.13,,,17.47,18.42,16.76,3.44,,,76.328164082041,67.6880222841226,76.6500622665006,84.5822911455728,83.5654596100279,84.6201743462018
Joplin,MO,27389,222,27167,3.25,,,17.72,,,3.59,,,75.2529583261876,73.9130434782609,75.2636127917027,81.2553592865718,86.9565217391304,81.2100259291271
Kansas City,MO,115769,10989,104780,2.31,6.31,1.81,14.4,19.56,13.7,4.92,7.32,4.63,80.0849534389805,74.7941983535868,80.7003145944467,85.0514621793825,80.5958447667581,85.5696895089591
Springfield,MO,45084,253,44831,2.67,,,13.83,,,5.08,,,81.1827445005238,78.1818181818182,81.1985448975685,86.0679935244262,87.2727272727273,86.0616503924947
St. Louis,MO,203732,26272,177460,2.61,6.67,2.07,14.46,17.28,14.13,3.77,4.94,3.62,79.1677865467784,71.8971631205674,80.3298665230821,84.4381459672099,82.6241134751773,84.7280868308442
Billings,MT,24146,49,24097,2.62,,,9.9,,,4.07,,,68.3243243243243,,,79.3693693693694,,
Great Falls,MT,7459,40,7419,3.33,,,10.32,,,7.89,,,67.6520750426379,,,76.3501989766913,,
Missoula,MT,15559,25,15534,2.47,,,11.18,,,3.02,,,73.6842105263158,,,80.4660905996334,,
Lincoln,NE,31064,259,30805,4.14,,,17.26,,,6.02,,,75.2512945476698,64.4736842105263,75.3775038520801,86.2930246725556,81.5789473684211,86.3482280431433
Omaha,NE,63427,2520,60907,2.79,4.81,2.37,12.73,16.67,12.11,4.73,4.21,4.65,76.984126984127,67.9049034175334,77.4474861606127,85.4906204906205,85.1411589895988,85.5084552968833
Las Vegas,NV,77317,8512,68805,1.29,2.16,1.17,9.93,13.74,9.42,3.72,5.3,3.51,77.7045014520813,72.4245577523413,78.3992879638505,77.2507260406583,72.840790842872,77.831028344516
Reno,NV,26089,380,25709,2.79,,,14.38,,,5.87,,,76.9084249084249,73.8317757009346,76.9574278058946,78.3736263736264,80.3738317757009,78.3417683834475
Lebanon,NH,22188,64,22124,2.94,,,17.17,,,6.79,,,79.2129713973401,93.3333333333333,79.174278407015,88.4496265257788,100,88.4179758860066
Manchester,NH,46624,303,46321,2.1,,,10,,,6.09,,,85.5179282868526,79.7752808988764,85.5692895186413,88.9541832669323,79.7752808988764,89.036277761029
Camden,NJ,257693,27657,230036,2.11,3.99,1.85,12.11,18.39,11.29,3.57,3.87,3.52,84.4960265566844,75.1155778894472,85.8374773635344,82.5948093753144,76.7638190954774,83.4286699818908
Hackensack,NJ,97862,6616,91246,1.85,2.73,1.65,11.19,11.78,10.88,3.64,3.18,3.62,86.1616299740189,80.3782505910166,86.7110878191211,82.948174483796,80.220646178093,83.2073070300217
Morristown,NJ,63664,5435,58229,1.59,4.22,1.26,9.76,10,9.58,3.75,5.59,3.54,82.6701021089799,77.8936392075078,83.1512605042017,81.8494131119382,79.1449426485923,82.1218487394958
New Brunswick,NJ,73185,6164,67021,1.88,3.81,1.6,10.3,12.68,9.92,3.58,3.96,3.51,83.7856891082129,77.5732217573222,84.5168915591451,82.5696157913289,77.6569037656904,83.1478380774155
Newark,NJ,102065,31276,70789,2.06,4.46,1.84,12.85,19.77,11.38,3.92,5.37,3.58,80.4012150360714,73.4243131621476,84.1981823512167,78.6672573092014,74.2503142395403,81.0710446594352
Paterson,NJ,28000,3515,24485,1.47,4.43,1.07,13.67,28.94,11.5,4.1,6.45,3.77,82.3333333333333,75.1835535976505,83.6082744173868,82.1111111111111,80.0293685756241,82.4823252160251
Ridgewood,NJ,28907,1703,27204,2.06,,,10.21,8.73,10.02,3.84,8.07,3.5,88.1129943502825,85.8611825192802,88.3300297324083,86.5536723163842,84.3187660668381,86.7690782953419
Albuquerque,NM,62692,1005,61687,2.86,,,9.06,14.59,8.55,2.11,,,60.9286227388493,71.0526315789474,60.7756049055353,66.9431202246457,81.5789473684211,66.7219091813059
Albany,NY,112185,5131,107054,2.13,4.88,1.76,8.58,10.65,8.19,7.55,9.25,7.3,84.9777587223324,79.3038570084666,85.3205273925892,86.4462189827965,80.997177798683,86.7754035007956
Binghamton,NY,24840,385,24455,2.54,,,12.65,,,5.06,,,80.6780464675201,73.4042553191489,80.8438409311348,85.5618776671408,81.9148936170213,85.6450048496605
Bronx,NY,52117,17243,34874,2.71,4.9,2.98,15.59,22.25,14.55,5.46,7.69,4.85,75.7839721254355,73.3445945945946,77.2064617809299,78.3723245395719,78.0405405405405,78.5657998423956
Buffalo,NY,54131,6441,47690,1.88,2.64,1.78,12.32,17.14,11.69,4.19,5.23,4.05,83.7349397590361,76.7255216693419,84.8914194915254,85.5876335530802,80.2568218298555,86.4671610169492
Elmira,NY,25753,783,24970,1.71,,,9.65,,,2.79,,,82.0041972717734,69.5035460992908,82.4843366929992,87.0409233997901,80.8510638297872,87.278670661945
East Long Island,NY,302921,33330,269591,1.95,4.45,1.62,10.44,16.87,9.61,4.01,3.95,4.01,87.192865951997,80.9045226130653,88.230093385644,84.6859880466749,81.3902847571189,85.2295960656462
Manhattan,NY,266610,48551,218059,1.87,5.4,1.3,14.09,22.88,12.64,2.8,4.23,2.55,84.658898065392,77.6168855074242,86.7681111478664,83.3833012784252,78.7704012762302,84.7649501966406
Rochester,NY,39043,3642,35401,2.62,8.24,1.94,6.12,7.87,5.87,4.49,5.92,4.3,81.9383259911894,75.3171856978085,82.9042571092041,86.6226138032305,84.7750865051903,86.8921420158169
Syracuse,NY,66813,2471,64342,1.76,,,12.67,17.31,12.01,6.48,6.87,6.31,84.9169662728985,79.9289520426288,85.1695296339599,87.6904639616504,88.809946714032,87.6337800161885
White Plains,NY,70622,9963,60659,1.87,5.02,1.43,9.66,15.72,8.78,3.51,4.24,3.42,86.5442863698945,82.2020309994655,87.4445921985816,85.4245066544286,83.0037413148049,85.9264184397163
Asheville,NC,42561,1632,40929,2.83,,,7.3,10.53,6.9,3.77,,,77.1692674684425,69.3452380952381,77.439588688946,86.363184574098,88.0952380952381,86.3033419023136
Charlotte,NC,134069,24994,109075,2.6,6.09,2.14,14.29,18.32,13.91,3.03,3.71,2.94,84.4405986603852,80.5477178423237,85.3721502899357,87.4723584270743,86.2240663900415,87.7710699817301
Durham,NC,77030,22388,54642,2.93,7.23,2.26,13.28,19.6,12.16,3.11,3.79,3.04,82.3885436368549,79.0552584670232,83.8386971694455,87.4034044852743,86.2032085561497,87.9255525397441
Greensboro,NC,27065,5630,21435,3.76,10.94,2.53,8.61,11.24,8.37,3.95,6.46,3.42,82.0439006836992,79.0030211480363,82.9948039678791,87.7293990644117,84.2900302114804,88.8049126121871
Greenville,NC,64352,21619,42733,2.49,4.89,2.5,9.72,10.24,10.86,3.89,3.85,4.25,80.1467844259236,77.4981495188749,81.4877271875586,87.5171041174275,87.8423390081421,87.3524451939292
Hickory,NC,19985,1239,18746,3.33,,,18.51,19.62,17.94,3.82,,,85.2465642683913,80.6569343065693,85.5156183140779,89.5311236863379,92.3357664233577,89.3667094565682
Raleigh,NC,105005,32329,72676,2.76,6.44,2.28,14.33,19.27,13.92,3.69,4.73,3.52,82.4991357123651,78.7918503514834,84.2630385487528,87.819306265125,86.2981055641606,88.5430839002268
Wilmington,NC,36688,8827,27861,2.15,5.45,1.64,17.87,21.56,17.99,4.41,4.28,4.64,87.5999536446865,83.0574488802337,89.0190114068441,90.2190288561826,88.5589094449854,90.7376425855513
Winston-Salem,NC,55031,7038,47993,2.07,4.51,1.75,8.29,12.47,7.73,2.55,2.11,2.62,83.3186795619854,80.4347826086957,83.7446105861847,88.8578051314843,88.0745341614907,88.9734886707641
Bismarck,ND,13872,22,13850,2.74,,,11.61,,,3.94,,,75.0618156128577,,,83.6806782055811,,
Fargo/Moorhead MN,ND,26311,44,26267,3.82,,,16.11,,,4.21,,,80.2298850574713,,,86.8129571577847,,
Grand Forks,ND,7595,44,7551,4.47,,,15.17,,,4.26,,,72.6943942133816,,,80.7715491259795,,
Minot,ND,8143,23,8120,4.03,,,10.09,,,3.49,,,80.2391799544419,,,87.1867881548975,,
Akron,OH,36706,4330,32376,2.29,5.75,1.82,6.58,8.03,6.4,3.41,3.84,3.35,79.0448674371176,74.802110817942,79.6722590714007,82.9707681849082,82.8496042216359,82.9886851346079
Canton,OH,35608,1824,33784,1.61,,,10.65,10.34,10.34,2.98,,,84.8556876061121,75.7009345794392,85.3833722391812,86.2988115449915,78.5046728971963,86.7480696713952
Cincinnati,OH,78179,10168,68011,2.56,6.91,1.97,14.76,22.55,13.7,4.44,6.25,4.19,80.8479138627187,73.9234449760766,81.9812059514487,85,82.4401913875598,85.4189506656225
Cleveland,OH,127532,21954,105578,2.65,5.63,2.3,14.55,18.78,14.12,5.15,7.37,4.78,78.2220768907367,70.371318822023,79.9737172894526,82.8887746998645,79.4878361075544,83.6475831333562
Columbus,OH,155927,11998,143929,2.41,5.91,1.96,18.82,25.15,17.93,4.22,5.54,4.06,79.5813038289087,74.8880931065354,79.9457711961623,84.6166252701526,82.72157564906,84.7637918448222
Dayton,OH,68323,8440,59883,2.19,4.85,1.84,15.64,17.37,15.45,3.37,4.63,3.19,77.7045075125209,70.1831501831502,78.6716910032972,82.1535893155259,77.6556776556777,82.7319830428639
Elyria,OH,18725,1401,17324,1.91,,,19.27,21,18.74,5.46,,,81.6142191142191,80.3333333333333,81.7369093231162,82.8962703962704,80.3333333333333,83.1417624521073
Kettering,OH,23109,1043,22066,2.49,,,13.4,18.96,12.68,3.17,,,84.6075433231397,78.1420765027322,84.9238171611868,86.0601427115189,83.6065573770492,86.1801657310879
Toledo,OH,70903,6028,64875,2.45,6.39,1.95,11.89,13.61,11.55,5.28,5.19,5.23,75.8073694693413,65.9951651893634,76.7574315362409,74.7545881348698,67.767929089444,75.4310681126629
Youngstown,OH,47596,4516,43080,2.11,5.62,1.66,11.18,18.87,10.24,4.12,7.81,3.7,81.0332918911452,71.8794835007174,82.0085600733721,83.7408481834508,79.4835007173601,84.1944359523082
Lawton,OK,15805,1413,14392,2.03,,,10.48,17.06,9.69,4.08,,,70.5205811138015,68.9349112426035,70.7012811867835,73.819612590799,69.5266272189349,74.3088334457181
Oklahoma City,OK,98638,6376,92262,2.2,4.39,1.86,14.47,21.18,13.64,3.38,4.65,3.24,75.34653045653,74.5295698924731,75.4015292041804,79.4794625068882,82.1908602150538,79.296928018821
Tulsa,OK,67448,4032,63416,2.42,3.5,2.13,16.2,17.58,15.66,3.16,,,72.0338467157728,72.8813559322034,71.978734439834,78.0422475193279,80.9571286141575,77.8526970954357
Bend,OR,8138,32,8106,4.07,,,7.21,,,2.87,,,81.0092961487384,,,87.7379371403276,,
Eugene,OR,26735,112,26623,2.56,,,10.67,,,5.52,,,80.4175365344468,83.3333333333333,80.4028535459505,86.4718162839248,88.8888888888889,86.4596447055532
Medford,OR,22877,105,22772,3.61,,,10.81,,,9.37,,,80.5730258560447,71.4285714285714,80.6066982290023,85.8141160027952,71.4285714285714,85.8670874978082
Portland,OR,57742,1135,56607,3.22,,,10.88,,,6.49,11.2,6.2,80.70355893849,75.4045307443366,80.8182709822054,86.6419803881232,87.7022653721683,86.6190276026342
Salem,OR,6366,24,6342,,,,10.68,,,3.91,,,81.1297330850403,,,79.8261949099938,,
Allentown,PA,98634,2333,96301,2.79,7.17,2.29,13.2,13.91,12.62,4.95,5.79,4.8,81.8469408359696,78.3524904214559,81.9741890477851,83.6036884970048,79.6934865900383,83.74607603767
Altoona,PA,20723,171,20552,2.1,,,13.58,,,3.31,,,83.7150127226463,75,83.8046272493573,87.7862595419847,81.25,87.853470437018
Danville,PA,36250,231,36019,3.65,,,14,,,3.29,,,77.3140356782228,54.3859649122807,77.536108751062,83.5072366206664,70.1754385964912,83.6363636363636
Erie,PA,51690,922,50768,2.81,,,12.31,22.02,11.57,4.88,,,79.3807094554514,74.8299319727891,79.4614827336392,84.102503262546,82.312925170068,84.1342670852451
Harrisburg,PA,67230,2489,64741,2.65,4.56,2.26,13.47,25.72,12.49,2.89,,,80.7810522509492,72.8476821192053,81.1198039400509,86.9282227445308,79.6909492273731,87.237251390329
Johnstown,PA,11109,177,10932,3.41,,,11.28,,,3.63,,,78.219696969697,75,78.2776349614396,81.7550505050505,71.4285714285714,81.9408740359897
Lancaster,PA,44800,1506,43294,1.78,,,8.53,14.47,7.99,4.04,,,84.8708487084871,76.5676567656766,85.2951096121416,87.742660035296,80.1980198019802,88.1281618887015
Philadelphia,PA,206281,39805,166476,2.19,5.49,1.71,11.62,17.24,10.77,3.57,4.54,3.43,81.3924888846845,72.964034725093,83.8935230618253,83.4925740232712,78.6964310321069,84.9157670919202
Pittsburgh,PA,122201,7206,114995,2.52,4.1,2.2,13.66,15.64,13.16,5.45,5.07,5.38,77.5965073529412,65.8474576271186,78.4508257333005,81.1178768382353,74.3220338983051,81.6120285925561
Reading,PA,39896,752,39144,4.19,,,16.35,31.94,15.3,6.58,,,84.5605700712589,70.2702702702703,85.0236468733579,87.1903630810994,75.1351351351351,87.5810124365038
Sayre,PA,14944,111,14833,3.32,,,9.65,,,3.84,,,75.8840169731259,,,86.032531824611,68.1818181818182,86.1724875267284
Scranton,PA,29073,229,28844,2.43,,,10.95,,,3.67,,,73.7351517817862,78.5714285714286,73.6748329621381,76.2428508578971,83.9285714285714,76.1469933184855
Wilkes-Barre,PA,24973,183,24790,3.01,,,10.21,,,5.08,,,68.2962962962963,53.3333333333333,68.4984984984985,72.562962962963,66.6666666666667,72.6426426426426
York,PA,29831,869,28962,2.79,,,13.27,15.71,12.66,4.11,,,87.6390855755614,82.010582010582,87.8628523348759,90.22860610965,85.7142857142857,90.4080774084981
Providence,RI,52356,1716,50640,2.22,,,11.81,16.51,11.18,4.6,8.99,4.34,83.1284442560407,74.2168674698795,83.5384103757898,84.9830436625689,83.1325301204819,85.0681742600599
Charleston,SC,69956,17728,52228,2.53,7.39,1.59,8.53,12.83,7.79,3.31,3.91,3.28,82.7473326867119,78.1172991621488,84.2579192796269,85.8329291949564,85.1897486446525,86.0427721498633
Columbia,SC,75718,24821,50897,2.93,7.48,2.11,11.67,16.17,11.14,2.83,3.11,2.94,80.1716350496838,77.0954356846473,81.7575083426029,83.4293134598013,82.2904564315353,84.0164285103106
Florence,SC,30112,11771,18341,2.74,6.46,2.21,14.94,21.29,13.92,3.98,5,3.85,80.0307649279821,78.2154060648309,81.2470808033629,84.4637113690393,84.4545137678634,84.4698738907053
Greenville,SC,54384,6592,47792,2.08,6.27,1.52,14.29,21.38,13.35,2.71,4.55,2.46,81.9856872583697,76.9765970904491,82.7344931921331,84.4698527597269,80.1391524351676,85.1172465960666
Spartanburg,SC,21266,2922,18344,3.12,6.65,2.67,11.25,21.93,9.68,4.49,5.86,4.31,80.4595363969093,77.088948787062,81.0584291187739,84.607564050427,84.2318059299191,84.6743295019157
Rapid City,SD,9756,25,9731,2.15,,,14.07,,,3.33,,,66.3062283737024,,,76.4273356401384,,
Sioux Falls,SD,42337,83,42254,2.03,,,17.87,,,3.48,,,78.4419507984463,70.8333333333333,78.4617048896582,86.9874838152784,95.8333333333333,86.964517524881
Chattanooga,TN,46846,4645,42201,2.89,5.88,2.48,17.55,24.48,16.63,3.49,2.84,3.53,81.9411532385466,75.557917109458,82.5949711548928,85.554897314376,85.0159404888417,85.6101012299989
Jackson,TN,29148,4898,24250,2.86,5.88,2.52,18,27.88,16.53,2.27,2.64,2.24,81.4621409921671,77.9092702169625,82.1175186465345,87.2830594378744,87.4753451676529,87.2475895943242
Johnson City,TN,14767,282,14485,2.03,,,7.47,,,3.5,,,79.0953899681067,81.0344827586207,79.0622235328812,84.9231661351116,75.8620689655172,85.0781480389266
Kingsport,TN,30765,453,30312,2.36,,,9.59,,,2.07,,,82.9775039403926,80.8510638297872,83.0065359477124,86.5453503367245,88.2978723404255,86.5214233841685
Knoxville,TN,85029,3486,81543,2.54,4.23,2.17,13.26,17.8,12.59,3.43,,,83.4720834720835,80.2898550724638,83.5987996306556,86.9297369297369,89.1304347826087,86.8421052631579
Memphis,TN,100612,35294,65318,2.82,6.76,2.22,18.18,24.32,17.82,3.66,4.97,3.34,78.1601787402251,72.9000613120785,80.9974204643164,83.1013147718484,82.1949724095647,83.5901845360143
Nashville,TN,145892,14095,131797,2.95,7.6,2.35,12.4,17.61,11.72,4.8,7.34,4.5,82.1118400499844,76.0920306768923,82.734135327979,85.5576382380506,83.7612537512504,85.7433387335838
Abilene,TX,21181,888,20293,3.89,,,22.24,30.65,21.09,3.8,,,74.1360807040137,67.5531914893617,74.412883023932,79.5449667310582,78.7234042553192,79.5795124133303
Amarillo,TX,21387,664,20723,2.01,,,21.27,41.69,19.76,4.85,,,79.9796126401631,79.2452830188679,80.0042140750105,82.2833843017329,79.874213836478,82.3640960809102
Austin,TX,62995,6086,56909,2.5,4.72,2.18,15.17,16.34,14.89,2.74,3.74,2.62,82.5213611152751,74.5035742652899,83.3567822560622,84.3126967471144,78.4749801429706,84.9209633369196
Beaumont,TX,37641,8035,29606,2.24,5.55,1.76,12.96,24.51,10.55,4.37,6.11,4.06,81.9287703356295,79.1230366492147,82.738432483475,82.4270848600322,83.0497382198953,82.247403210576
Bryan,TX,10765,2029,8736,3.12,8.06,2.39,16.32,23.69,15.27,3.26,5.67,2.81,80.6515693285658,77.2093023255814,81.3608049832295,80.8104886769964,78.1395348837209,81.3608049832295
Corpus Christi,TX,37882,1163,36719,3.48,,,22.42,12.98,21.82,8.61,10.4,8.33,84.58392323423,78.6885245901639,84.7586653709103,84.8198835928897,83.6065573770492,84.8558471007451
Dallas,TX,194759,30793,163966,2.95,6.94,2.42,16.28,22.47,15.48,4.36,5.34,4.24,82.1607129918122,77.253749806711,83.0690405312572,83.8441658816994,80.6556363074068,84.4343943210442
El Paso,TX,62684,1604,61080,1.91,,,22.55,27.84,21.46,2.38,,,75.4884872947436,69.8795180722892,75.6646797237203,75.9746812219063,66.2650602409639,76.2796858737818
Fort Worth,TX,87283,9481,77802,2.91,6.27,2.46,12.62,17.49,11.97,4.41,4.9,4.34,80.3271537622683,74.730127576055,81.0268678689731,82.7971646673937,79.5878312070657,83.1983805668016
Harlingen,TX,50153,198,49955,3.7,,,18.93,,,2.64,,,85.363994409859,91.4285714285714,85.3369065849923,82.5816287638165,82.8571428571429,82.5803981623277
Houston,TX,244810,43523,201287,2.64,6.49,2.1,16.98,24.69,15.89,4.61,6.57,4.29,80.0446927374302,75.5324183625177,80.9800603340446,81.4362620619604,78.9872219592996,81.9439334853948
Longview,TX,12968,2340,10628,3.01,7.9,2.29,16.18,27.5,14.28,3.06,,,81.7307692307692,78.7878787878788,82.3825503355705,84.9931318681319,85.9848484848485,84.7734899328859
Lubbock,TX,36724,1752,34972,2.74,,,22.96,33.64,21.67,4.58,6.28,4.4,76.8629254829807,71.3924050632911,77.1232381640766,80.3817847286109,76.9620253164557,80.5445127093121
McAllen,TX,53269,180,53089,3.71,,,23.26,,,3.09,,,87.4886775362319,71.4285714285714,87.5525747413891,80.0384963768116,77.1428571428572,80.0500170512675
Odessa,TX,15254,800,14454,2.96,,,15.79,,,6.67,,,74.6871008939975,67.8391959798995,75.0538213132401,79.029374201788,77.3869346733668,79.1173304628633
San Angelo,TX,11333,399,10934,3.31,,,18.16,,,3.1,,,77.240841777085,70.9302325581395,77.4596774193548,86.1652377240842,88.3720930232558,86.0887096774193
San Antonio,TX,149072,7745,141327,3.33,3.15,3.01,17.28,20.35,16.58,4.64,4.25,4.58,80.8563279612384,73.5216819973719,81.2611044635411,81.2068313803649,77.2010512483574,81.4278980383625
Temple,TX,17022,2681,14341,2.92,4.62,2.8,14.75,11.4,15.7,3.12,,,76.4566759836594,68.8826025459689,77.8144016227181,80.3268114384003,79.6322489391796,80.4513184584179
Tyler,TX,42843,6387,36456,3.85,8.62,3.23,16.7,22.81,15.91,5.82,7.52,5.58,78.8372093023256,76.6666666666667,79.1616038882138,83.5200845665962,83.9837398373984,83.4507897934386
Victoria,TX,13811,1052,12759,4.69,,,11.06,,,3.22,,,82.9327760362243,78.5714285714286,83.2523364485981,85.022640195054,85.2040816326531,85.0093457943925
Waco,TX,17405,2483,14922,3.1,7.91,2.44,23.38,26,23.26,3.5,,,78.3796856106409,76.5676567656766,78.6908472655143,80.2418379685611,78.052805280528,80.6177387361859
Wichita Falls,TX,16456,1063,15393,1.58,,,13.01,17.72,12.36,1.93,,,76.1350737797957,74.3697478991597,76.2629336579428,78.2065834279228,78.5714285714286,78.1801582471089
Ogden,UT,14864,188,14676,1.57,,,10.23,,,1.36,,,76.3272120200334,70.2127659574468,76.4246947082768,85.008347245409,87.2340425531915,84.9728629579376
Provo,UT,12660,11,12649,1.45,,,6.35,,,1.64,,,72.1318493150685,,,82.1061643835616,,
Salt Lake City,UT,56700,289,56411,1.89,,,8.16,,,2.52,,,73.3764082173625,72.8813559322034,73.3788395904437,83.2256461232604,89.8305084745763,83.1932073586948
Burlington,VT,38210,174,38036,2.87,,,10.3,,,5.71,,,82.4360937684062,70.7317073170732,82.4928977272727,88.7501472493816,80.4878048780488,88.7902462121212
Arlington,VA,69277,8599,60678,1.65,5.54,1.13,13.8,23.13,12.53,2.69,5.17,2.35,82.465597957157,76.7167381974249,83.3415072748079,83.6572563484182,79.6673819742489,84.2651626614353
Charlottesville,VA,36431,4155,32276,2.03,5.05,1.64,11.3,18.82,10.32,3.34,6.17,2.97,82.3500611995104,77.6073619631902,82.9949944382647,88.1762545899633,86.40081799591,88.4176863181313
Lynchburg,VA,17801,3493,14308,5.42,13.96,4.14,15.27,20.04,14.79,3.34,4.01,3.28,84.3248580597383,81.5757575757576,85.0278983261004,87.114292767218,86.1818181818182,87.3527588344699
Newport News,VA,35060,10456,24604,2.67,7.36,1.71,14.8,20.93,13.93,3.79,4.41,3.81,79.6256207818668,73.4481377653184,82.5056011949216,85.0120972876608,80.4965959150981,87.1172516803585
Norfolk,VA,83755,26213,57542,2.34,5.73,1.81,13.67,17.59,13.64,4.39,5.41,4.29,80.2638616509182,76.4330013155422,82.0354597601252,83.9187020859333,82.6160496147341,84.5211194159569
