HRR #,HRR City,State,Resident Population (1996),"Acute Care Hospital Beds per 1,000 Residents (1996)","Hospital-based Registered Nurses per 1,000 Residents (1996)","FTE Hospital Employees per 1,000 Residents (1996)","Total Physicians per 100,000 Residents (1996)","Primary Care Physicians per 100,000 Residents (1996)","Total Specialists per 100,000 Residents (1996)","Allergists/ Immunologists per 100,000 Residents (1996)","Anesthesiologists per 100,000 Residents (1996)","Cardiologists per 100,000 Residents (1996)","Cardiovascular/ Thoracic Surgeons per 100,000 Residents (1996)","Critical Care Physicians per 100,000 Residents (1996)","Dermatologists per 100,000 Residents (1996)","Emergency Medicine Physicians per 100,000 Residents (1996)","Endocrinologists per 100,000 Residents (1996)","Family Practice Physicians per 100,000 Residents (1996)","General Surgeons per 100,000 Residents (1996)","Gastroenterologists per 100,000 Residents (1996)","Hematologists/ Oncologists per 100,000 Residents (1996)","Infectious Disease Specialists per 100,000 Residents (1996)","Internal Medicine Physicians per 100,000 Residents (1996)","Neonatologists per 100,000 Residents (1996)","Nephrologists per 100,000 Residents (1996)","Neurosurgeons per 100,000 Residents (1996)","Neurologists per 100,000 Residents (1996)","Obstetrician/ Gynecologists per 100,000 Residents (1996)","Ophthalmologists per 100,000 Residents (1996)","Orthopedic Surgeons per 100,000 Residents (1996)","Otolaryngologists per 100,000 Residents (1996)","Pathologists per 100,000 Residents (1996)","Pediatricians per 100,000 Residents (1996)","Plastic & Reconstructive Surgeons per 100,000 Residents (1996)","Psychiatrists per 100,000 Residents (1996)","Pulmonologists per 100,000 Residents (1996)","Radiologists per 100,000 Residents (1996)","Radiation Oncologists per 100,000 Residents (1996)","Physical Medicine/ Rehabilitation Physicians per 100,000 Residents (1996)","Rheumatologists per 100,000 Residents (1996)","Urologists per 100,000 Residents (1996)","Vascular Surgeons per 100,000 Residents (1996)"
105,Grand Junction,CO,256524,2.11867,3.0353,11.10814,182.0908618488,71.2691388883,109.724944547,0.9044178614,13.2676704112,2.2219469065,0.6075699465,0.035,2.0793505883,8.6055419013,0.4690988317,48.9382175288,9.3262772719,1.7994230564,1.6564393584,0.4407856635,15.9063748974,1.2597156454,0.8298217518,1.4569838015,2.9772581556,9.5229150478,5.4271065906,11.7863011824,1.9919979037,4.71324,6.6785439926,2.7146079557,6.9865010546,1.673831801,7.96962,0.8126432878,1.759204281,0.4666858327,2.8800257204,0.4465399871
106,Greeley,CO,266422,2.43684,3.2384,12.53965,169.3712856573,62.5660537125,105.7212289556,1.43170226,10.3043783581,3.6441620002,1.8739134734,0.10149,1.9072601076,7.332408271,0.5353736148,44.7473173344,9.0365820616,3.0643847961,1.2357562879,0.193337338,12.1528489056,0.1029128472,0.9632006173,1.0157284808,2.6523465414,11.4095295025,6.8515050772,8.9553382326,2.3627489418,3.91082,5.9557963067,0.9794737563,5.2904037939,1.8189646495,6.42719,0.273496875,0.7394663762,1.7037507919,3.6878579157,0.0863150021
107,Pueblo,CO,145620,2.62436,2.81991,13.24507,193.3993960687,70.8505055312,121.4610389726,0.8074207522,8.4747801596,4.085460314,1.4134382139,0.03463,2.5625968946,6.7167504339,1.7808770624,41.2453106641,8.2301355643,1.9084953065,1.272315629,0.0804954174,21.4699403134,0.1025055008,1.1913863336,2.0228873045,4.9843206697,10.5003065023,6.5945712495,10.370121291,2.3886765494,4.24655,8.1476145476,2.1416701908,15.8769573638,1.8359879097,7.2461,1.6735289363,2.6862666339,0.6688092249,2.5305227392,0.066536111
109,Bridgeport,CT,630305,2.13456,2.61335,10.95447,258.7945512793,83.1580685668,174.4208465338,2.7469807194,12.9822843913,7.5253698038,1.8336507604,0.39503,5.8382696903,6.0560579263,1.4723935218,15.4966768287,9.5936124155,6.0416072487,3.6007815087,1.2966707386,43.0482649921,1.1996467695,2.3748931601,3.2222606307,3.821673254,19.2252001269,9.4364874063,10.4455617012,3.9802027053,6.029,24.9943277069,3.5255035975,24.2338187759,3.4353628746,11.37797,1.7916499017,2.6312709952,1.6863017769,4.1330808246,0.6264455748
110,Hartford,CT,1378608,2.20337,2.95861,13.06397,217.7513664406,68.3122552674,148.1629141989,1.3919511331,12.0312576021,7.5317990143,1.8877227798,0.45997,2.7639443064,5.8198657564,1.6973243427,17.4098744399,9.6076579056,3.880370113,2.8769815764,1.8267318535,33.6013407285,1.0367583715,1.8315440749,1.5087864738,2.9314286692,15.6691316361,7.3014917086,9.2550693234,3.3509031637,5.04852,17.4354472996,1.2111008052,22.483618758,3.0560591583,11.20333,0.9397563648,1.0666904668,1.352431872,3.6646672969,0.7307556214
111,New Haven,CT,1352675,1.98025,2.52728,11.43132,236.8444247225,74.6041671353,160.9710983857,1.7845590879,11.3494167647,8.1167510443,1.5778405741,0.46132,3.3823259419,5.9687709194,2.0399440407,14.4486487574,10.3963411675,4.6095432495,3.7443027208,2.2748207063,39.5938866201,1.3465487412,2.0156247422,1.9894535967,4.0710874575,16.1987196747,8.0159900281,9.2640732731,3.8016984124,6.2187,20.7428677891,2.2497830667,25.6799046716,3.1688481133,12.29804,1.454338806,1.6798487374,1.372017436,3.4963728562,0.6947990335
112,Wilmington,DE,688879,1.98001,2.76697,11.65246,186.8872911835,65.5088373098,120.4145261348,1.8695064308,7.2575741574,6.269570127,1.7600773632,0.47702,1.6320067054,6.3714383777,0.8046543854,31.3266274581,9.1663190898,2.7891006605,2.6395718205,1.1098091411,19.5423059528,0.6313885975,1.6346227485,1.8727128807,3.6068770345,10.5037548538,5.7968737435,6.5556953103,2.4472729073,3.34488,14.5723792393,1.7839173134,15.2306956335,1.8763053171,8.45436,0.5404997768,1.8283971767,1.1976273343,3.3616692946,0.4934782119
113,Washington,DC,2261708,2.65582,3.38925,13.53507,268.5805507789,84.5152097026,182.723812032,2.6537233246,12.6364741629,10.0607001918,1.8934005426,1.47093,4.5895990286,7.4805607608,2.4784716934,21.5729031235,10.9157917441,5.1809880704,5.0423090143,2.4773534049,40.6009434319,1.5431623325,2.4551717867,1.9509794488,6.4357664289,17.1676760344,9.339781512,8.5842148253,4.1931545784,8.05698,22.9217448448,2.5900533689,28.3054613974,3.4516176287,12.26125,1.9919214254,2.2004515712,2.1219155257,4.8568915888,0.5697890707
115,Bradenton,FL,217801,2.46723,2.02593,8.36926,163.3809695907,48.3476811014,114.0929036657,1.649406974,10.410916617,6.3814186331,1.1622294167,0.93606,2.8922998498,7.9515249293,0.4763911022,27.0872521017,6.7851124378,2.498013032,1.3639516507,0.4794497152,11.7541379207,1.1969356744,1.0619180671,1.2333028149,2.7131304505,16.5814219401,4.1712203325,5.9741390414,3.7675864816,3.63353,11.6925816139,2.6703402317,8.7304363416,2.2099254171,8.55247,1.7084101668,1.5615979403,0.7307783754,2.8149648229,0.6416902444
116,Clearwater,FL,479607,2.42314,2.21199,8.53255,190.7010578945,63.911830374,125.7270355814,1.4716719111,9.7615339478,5.7669607182,1.7034602737,0.49703,3.2906605358,9.0565630621,1.0350993826,30.8041653346,6.8251711377,3.0412013027,2.6732687294,0.7706738172,19.8432820306,1.3839617153,0.8923660601,1.443262392,3.4847636308,14.9855078191,4.5938509346,7.6824542984,3.2778394291,4.94242,15.4396084819,3.2900470792,11.883492137,2.9679135141,12.22982,1.1811436301,2.3074067747,1.0976411012,3.1655914827,0.6137232307
118,Fort Lauderdale,FL,2278268,2.4999,2.77544,9.64729,215.4017210906,68.3780493201,145.8220507129,1.5949449904,12.5564212473,7.3859453491,1.910869851,0.56679,4.740844034,7.5927181683,1.0587145684,25.7989212812,9.0243705604,4.6505073835,2.4793678899,0.9803332836,26.7042068121,1.50996841,1.5511964821,1.7219084553,4.030346626,16.3310862527,7.1776955808,9.7527496669,3.690611394,5.23002,16.2978654764,4.0980696912,11.9862912996,2.4049787589,10.29092,1.01873333,1.706689729,1.6409232278,3.9834935993,0.5718597871
119,Fort Myers,FL,759101,2.5177,2.5793,10.65244,171.4011636375,54.4587698277,115.9284028216,0.9475220418,8.9472587503,5.0763082456,1.164067666,0.74094,3.0975438189,8.8936815863,0.9763371904,27.9540030178,7.3073385758,3.1409270378,2.1384295304,0.4367045119,14.7763929361,0.8030088078,0.7296374406,2.2424406808,3.3848531213,15.3401447611,5.4328253504,7.0230513911,2.9929326409,4.75573,13.7945093844,2.9349388905,10.0962039923,2.105349535,9.26231,0.6984282797,1.0339003075,0.7455256465,2.8384865228,0.4920666499
120,Gainesville,FL,470775,2.58886,3.15386,12.18963,170.1315486177,61.7910135815,107.2914121866,1.0179265901,10.5549084527,4.6294681616,0.9065835555,0.80026,2.3135057284,5.817290002,1.5871876691,32.8254985298,6.5297267602,2.4532253188,1.5045534521,0.9918271345,18.5005727688,1.0792333947,0.7081115659,1.6210274439,3.6303957007,7.3581761577,4.3291928248,5.5807037042,1.8319954226,3.26683,10.3753498711,1.5311587797,13.1710520132,2.3612177099,10.00695,1.4289802597,1.2048612334,1.5609027777,2.465536879,0.7757346314
122,Hudson,FL,325174,2.43818,2.33859,9.15046,166.158902616,55.0348655058,110.1146100379,0.8718708746,8.5249589618,5.1938148727,2.2299078041,0.89866,2.2834119034,7.6481193829,0.9537336894,26.7709839877,6.5425049096,2.5902575549,2.6006737483,0.7666877839,17.4982863201,0.5020585171,1.1207346993,1.496623213,2.7794906496,15.4529348625,4.3340494868,7.4041150419,1.965885228,5.79547,12.6632709273,2.0268399543,9.5148673508,1.749113093,8.39163,1.1358608468,1.2730123111,0.5581205311,3.0436473427,0.1711460717
123,Jacksonville,FL,1304471,2.80803,3.25272,13.49366,181.0097688109,59.9024103607,120.1987888226,0.8090775312,11.0253542124,8.0601042786,1.6125917725,0.81705,2.6721206767,7.6048033552,1.0760849455,30.3817166805,8.2471133963,3.6677619858,2.1683203653,0.7610351233,17.5186450512,0.7468170393,1.7299756105,1.5729747673,2.8436063296,11.2068942882,5.7099660569,6.224419476,2.303886838,3.90166,11.8309526617,2.0039918187,8.3083850399,2.9744640607,8.56285,1.013158339,1.1132596282,1.3213380837,3.9982756528,0.4307439552
124,Lakeland,FL,315828,2.51224,2.54355,9.48605,146.7260602869,48.798488963,97.2206210159,1.3551943328,9.2647454864,4.9093099129,1.2693806232,0.40366,2.4020168117,5.5303347763,0.3693295444,18.4199455658,7.9913832525,2.8372887617,1.6877430259,0.4885608772,19.8514674348,1.0659225058,0.7706437412,1.1579331278,2.2355781918,10.7379990285,5.0248490424,5.7215010951,2.006734896,3.0142,10.4570074459,1.3660353989,6.4340151419,1.7335773291,6.30293,0.9789799696,0.8937149302,0.9105263435,2.3436862648,0.3458515512
127,Miami,FL,2654961,3.04838,3.33505,12.12714,229.6599768283,82.9996644232,146.3269658831,1.2094631224,11.3454066925,10.018559181,1.6996984646,1.50722,4.1429790416,5.7478834694,1.5296134476,36.9978281705,9.934755775,4.8252587126,2.8973344852,1.191475574,26.4417966913,1.3064086216,1.5337350904,1.7451202813,4.3472485888,13.0238856438,7.8352247065,7.5859161819,2.9235788815,5.80061,20.0814734627,3.6513362782,15.9701529663,3.1215100061,10.09376,1.1773798062,1.1687902475,1.4020505826,3.9052139186,0.4911983783
129,Ocala,FL,364574,2.11987,2.33381,10.17981,147.100722436,45.5762392845,100.4588502405,0.6257691389,9.1161466705,4.3720296908,0.9164961782,0.71579,2.5378546445,6.0315126475,0.2343847093,25.1567097105,8.030015588,2.9227178606,1.664509066,0.7519560196,12.2109776498,0.3275922567,0.911529997,1.5017032656,2.6346339593,12.3678269041,3.3536891272,5.9079897769,2.0399029618,3.41653,9.5627716003,1.9731299715,8.9674426666,2.223052618,10.55678,1.018556563,0.6306951399,0.5882427006,2.7594754318,0.3324485991
130,Orlando,FL,2640954,2.54918,3.22403,12.32593,162.7707783763,53.9907087917,107.903419462,0.9621163555,10.1742639414,5.1424238965,1.3860139563,0.26385,2.3740931724,6.2822678069,0.7772789494,26.8249779154,7.361597639,2.8001505627,1.8061869859,0.655341519,15.7516871222,0.7207769676,0.9630566253,1.1976517351,2.8192043419,12.7028605081,4.8643149332,7.8995570094,2.6245126301,3.82755,11.8713417684,2.1695811249,7.1416940579,1.4624599617,7.96011,1.0968124731,0.9600644683,0.7741903946,3.3692845124,0.5682022106
131,Ormond Beach,FL,309939,2.52738,2.26328,9.61338,160.1763824032,54.9204951596,104.3766246409,1.4021339163,9.9717068092,3.4698149571,1.375432047,0.11637,2.2834840072,7.3530686735,0.5540760119,32.9436597699,7.4712307573,3.2607166682,1.5619621171,0.3188859813,12.2824288577,0.5811455775,0.744744522,1.079516339,2.1826623981,10.0441221641,4.9796973346,9.922705013,2.6422298484,4.45861,11.9070070601,1.8039695177,8.9730889204,1.0096861954,9.55621,1.0735093471,1.0213062079,0.5161503237,2.8157916069,0.0917297436
133,Panama City,FL,192583,3.01166,2.79422,12.59803,148.2061013767,45.1694059727,102.4575723124,1.5730234992,7.1551743692,3.2945537296,2.4411889243,0.06721,1.260712179,3.3757735693,0.1024304178,25.3101638313,10.1282353507,2.2484883158,1.1357161289,0.0961026454,13.1483806803,0.0767106219,2.5115048354,1.193706899,2.7583957253,11.5547437618,4.8603723171,7.4638133171,3.4083592358,3.09646,6.721291548,1.3094509687,7.8895064612,2.5517692461,6.34967,1.5132864689,0.6250953721,0.122110985,3.7386352713,0.0947597331
134,Pensacola,FL,680836,3.45038,2.91411,12.61144,174.2692321255,58.5453608931,114.7826718216,1.1087480201,9.7281306624,5.0904648022,1.0053426087,0.17373,2.6190755309,7.5612381786,0.3884783687,31.9419327402,11.2521824441,2.7028879777,1.5910369219,0.6476154088,17.7818703418,0.9008533632,1.3830148684,1.4425512077,2.9325678818,11.1636843085,5.3195826376,7.0498274882,3.4542084302,3.6337,8.8032174212,1.779380911,8.2676581646,2.1588227741,9.55157,1.2263526719,0.795842916,1.2055555019,2.9281584338,0.2266746585
137,Sarasota,FL,350693,2.07174,2.06872,8.60922,205.3535819512,61.3606620112,142.4449747146,1.7755215094,14.2954457886,6.427087776,1.2176307082,0.20859,3.7758575035,9.7969415508,1.0802144624,30.5533670699,7.8725546959,3.6081868815,1.707487074,1.1782661043,17.9980328053,1.1546353597,1.6123550485,1.9518638696,2.679880404,16.3490336883,6.9590942419,10.1509265844,3.7824657677,5.11382,16.2614386866,3.3730571028,15.346743057,2.6194881971,12.6265,0.9359780212,2.5558241261,1.257169557,3.5727938744,0.6439726095
139,St Petersburg,FL,396332,2.83364,3.20623,11.88236,202.8843102613,68.9525678536,132.9097818895,2.0502048865,10.7617380733,6.1939533393,1.5955075521,0.31618,2.9313734983,8.0098381104,1.1884556985,35.6026053254,7.466592673,3.8785728542,1.8214574791,0.8058510887,19.3158611812,2.4922640234,1.1538413268,1.6085538417,4.4709110323,14.0332884732,5.8314153994,8.1660746505,3.6234978856,5.12378,16.4313193565,2.6378413986,9.5638153093,2.5972590063,13.43277,0.7595070343,2.2250464003,1.5386445224,2.9349110532,1.3687408194
140,Tallahassee,FL,699165,3.35937,3.01092,14.23935,155.7656427249,57.7290669812,97.0962522388,1.0393822374,7.6006723837,3.7564476982,1.4991488618,0.21042,1.8596789992,5.5678619309,0.3657661533,33.4181185148,8.8873768343,2.4760027357,0.9702794308,0.2225486285,14.7329999543,0.223702038,1.1936884534,1.8245183605,2.8234229238,9.6831542009,5.0400136392,5.258490718,2.5092300797,4.1917,9.3534906639,1.4119595389,9.5927294119,1.325569415,7.47681,0.9756227121,0.658222504,0.5154100428,2.8857642912,0.6913265101
141,Tampa,FL,979089,2.67123,2.80854,11.25512,181.414791249,59.9878565679,120.4059650039,1.3016006278,10.3239372819,6.2725179247,2.0105214906,0.87794,2.7352715069,6.5409352346,0.7558902017,23.3673662918,6.3653891868,3.336002799,2.5462235382,1.2180022707,23.0185995508,1.257731948,1.4950153073,1.423018184,3.8927254814,10.9671646866,5.4583548325,7.2407637181,2.8713967984,5.53197,13.7112030445,2.6027297004,11.8626583832,2.5596358985,9.68992,1.0930229896,1.3592712063,0.7248620959,2.9616773737,0.4510035127
142,Albany,GA,209269,3.87479,3.29841,15.54466,124.146503223,40.5871996283,83.0536920008,0.8906301854,5.3372858723,2.6514330902,0.9199889536,0.41384,1.4815002601,5.2809613242,0.0917679425,17.8797411814,6.3257303587,2.8041636376,2.2877834702,0.0922747311,14.5865324783,1.0919484664,1.8617659344,1.7881433313,2.3246354693,8.79878017,4.2802010037,4.9504396832,1.467924751,2.40827,8.0719790393,1.4225531599,4.7545339678,1.4436733326,7.11111,0.520245549,0.1223724531,0.5057809803,3.3722806308,0.1386771773
144,Atlanta,GA,4568206,2.6604,3.20254,11.89374,172.9768309886,56.5725453967,115.5363743229,0.824448668,9.6649393621,5.3853040736,1.399131243,0.22998,3.2974555351,6.2045782262,0.9157295153,19.8703993293,7.8409036254,2.885480536,1.8815704991,1.4130526224,24.4142146058,0.7692443194,0.9696096447,1.1670758547,2.7536055165,12.9875524956,5.3402182927,6.607823718,2.6255137846,3.13766,12.4834042107,1.8430611243,10.1485828129,1.9646743884,7.03402,0.9103218668,1.1912260699,0.9118056967,3.6959146779,1.2191045303
145,Augusta,GA,600232,3.50004,3.99009,16.84938,179.0294885632,56.5734405747,121.6169790622,1.2932945435,9.4401776666,7.2317841595,2.2350070553,0.28882,3.1017001374,4.2673747243,1.6751693268,25.8767594317,9.4362737966,2.8818815773,2.0532350797,0.9179803099,22.0270170777,0.8813538255,2.0862339055,2.0341743065,4.0103914039,11.2237401036,4.9124377547,5.4574224875,2.4128255658,4.40125,8.946822162,2.0588797429,15.743122589,2.2019032357,8.96649,1.0477187871,1.1690327505,1.1159136064,3.5274364709,0.9519644287
146,Columbus,GA,318114,4.10859,2.87967,12.10144,144.7247425538,52.0104811883,91.8005777168,0.6160442182,6.5502027673,3.8976372615,1.6853794228,0.03014,1.9414134707,3.0260761396,0.9289785175,32.6134146461,7.3944160227,2.9444162035,1.6852036795,0.0873319401,13.3182955254,0.3268475129,1.328081236,0.9766584474,1.7658416502,9.2640018026,4.1628751523,8.429498953,1.8308749899,3.91292,6.1745091084,0.9747889556,8.4823528139,1.1741365324,7.26213,1.2838231305,0.208321825,0.0593795567,2.9318430828,0.6352318178
147,Macon,GA,649109,3.73726,4.54392,15.8786,167.5093793336,58.3079887368,108.2155130997,0.4627231694,9.3141025559,3.2985799908,1.5072431911,0.5021,1.924949551,6.4405650077,0.4450047018,31.6120227008,11.8809483075,1.9125587132,0.7362267764,0.318783088,18.2712310862,0.5752835064,1.6986794182,1.3520673663,2.969264631,13.6497994256,5.3786519411,6.312350658,2.8478089444,4.41752,8.4851270614,1.3336744182,9.1043317539,1.7707482571,8.35174,0.8365313114,0.3622666264,0.4228944494,3.6193638805,0.3521293049
148,Rome,GA,238137,2.90115,2.97071,12.74941,159.8945486381,63.1597972449,95.6633080549,0.5389263597,8.535138859,3.9847239238,0.9300794884,0.0513,1.3285822323,5.6774979906,0.497623939,39.042059794,9.4690824202,1.6327985371,1.4150882159,0.9414281901,17.6060444759,0.1386422567,0.6031728858,1.4829313642,2.9866747104,14.1830387164,3.9611162835,6.2944564771,2.2466144354,2.77706,6.3798027322,1.2200141006,5.8392274082,2.217035991,8.00383,0.5502000075,0.1925045297,0.1206428694,2.79672199,0.5509063912
149,Savannah,GA,686526,3.39221,3.88607,14.99235,169.9389928407,54.1765308229,115.066256913,0.6838772912,8.4562142786,4.7501463281,1.6319225273,0.20194,2.3023489883,7.3419857209,0.275922595,25.8487871831,10.746136255,2.3223872071,1.7319549016,0.4049398024,20.0588751831,0.8545785384,1.2678287991,1.0526657497,2.321817488,14.8097909307,4.8408420907,6.6184203948,2.9898463783,2.94163,8.5145335171,2.0832174982,9.4939648057,1.6446413092,7.54479,0.7321488737,1.3437952555,0.5783600158,3.8758427447,0.9089759005
150,Honolulu,HI,1190945,2.04176,2.92668,11.51565,208.7260987455,75.7568117442,131.9966004045,1.4822105381,9.7756734812,4.6878799888,1.4134228556,0.41637,3.1457296098,8.179844026,1.0097491538,24.514620162,9.3966868579,2.6786177797,1.5039282445,1.0031696457,34.4198845259,0.9672484471,0.9271229884,0.9288865053,2.8925379717,15.0716030318,7.2437259215,6.9190685714,3.0079384177,3.63522,16.850041067,2.8125495314,15.8239596211,1.6753455857,8.32182,0.9125914525,1.7993446682,1.1028136783,2.9802024171,0.5906358892
151,Boise,ID,654939,2.13202,2.80892,10.49454,156.7769434739,51.0497773808,105.0034549821,0.8467645376,7.9813341434,3.215799451,0.7176976018,0.02534,2.7950713824,8.0544562969,1.0046362752,33.1057593832,8.3824767669,1.7397264332,1.5303771626,1.0005586792,11.7252061965,0.6123517121,0.6800407153,1.7084385255,2.8663765634,10.7428030757,5.4010414236,8.9280720125,3.047238022,2.6345,6.5097741846,1.7477232762,7.1812035409,1.3815464754,7.68417,0.9768797968,1.2037670182,1.1738016144,2.9714136244,0.6478504067
152,Idaho Falls,ID,180953,2.71432,3.18012,11.09666,127.5651052538,37.8760123433,89.6317310687,0.6367413417,9.2166791484,2.3583141017,2.0629048667,1.00739,1.897739921,4.7723753064,0.6764404015,25.7029794249,8.5354800113,2.0695399354,0.8185905004,0.6648538559,9.1721330356,0.0631702655,0.0760655122,2.1229296946,1.9458098613,11.3861365003,5.2328767495,7.1589921711,3.0741483176,2.45301,3.7942232101,1.5582516646,6.0659972083,0.2366378684,5.89733,0.734750146,0.2186366843,0.703743725,1.7509599698,0.0575593252
154,Aurora,IL,215728,2.03427,2.07177,8.69076,136.8734564912,45.0522913876,91.2746420792,1.5399982961,6.7446381214,4.6366453263,1.3849943367,0.10212,2.2509767175,2.5327368789,0.6371950864,20.5240925429,8.9611923114,2.5351871071,1.9261591649,0.6284985444,17.3356180352,0.5344034747,1.2392632845,2.2699035349,1.2967262455,8.9210456907,5.3512778732,7.0714086491,3.3112186998,3.09467,7.5562262449,0.8502181887,5.9116493651,1.8605195667,4.69996,1.2666327478,0.4650201815,0.1528858041,2.5437518679,0.6668855028
155,Blue Island,IL,864630,2.75065,3.10906,13.50316,184.6730153514,66.9976391162,116.6566225002,1.5001197458,11.3785630549,7.0681040268,1.9350498961,0.35682,2.241913127,6.8639819387,0.8429568344,26.7723774249,8.7988347818,2.6752766356,1.624250282,1.0001340889,25.7921593441,1.0190072026,1.2661771289,1.3495868912,3.0839824214,13.4073376252,4.8163889339,6.3970224048,2.8930261314,4.02229,14.4309346477,1.5646009959,8.7273826537,1.5203511053,7.552,1.1536905476,1.3474067621,0.9157393752,2.8571709064,0.8131225037
156,Chicago,IL,2571452,4.37296,5.02907,21.88207,225.4022622004,84.4696252424,140.1539301045,1.5473947044,9.7132422023,7.7608935532,1.726779517,0.98268,3.0112644048,8.6701261948,0.9398991274,25.6934619897,8.0797625679,3.5385091142,3.3337398868,1.8261120239,42.9158249051,1.3205693175,2.3295240198,1.6582096211,3.995662479,13.5885274302,6.0544177243,5.3705691959,2.5796438086,6.34822,16.2299644229,1.5330702822,20.1326944967,2.070653786,8.75,1.6155426412,2.235390966,1.4411870468,2.7874797934,0.4106083364
158,Elgin,IL,646287,2.00151,2.68046,10.23099,150.7288967618,51.8133064204,98.0663696188,1.0003115573,11.232584289,4.9150239859,1.9491411326,0.18762,1.6300527707,6.6900006067,0.6422125758,18.9011976271,7.8457485588,2.7596401645,1.5506059192,0.3330158798,25.4270777918,0.4837102587,0.8796188968,1.4419057555,2.1557088287,10.7156137109,5.8827794611,6.4197692525,1.8571320885,3.0007,8.4633646695,1.4110320685,6.2492699908,1.3573116626,4.80533,0.6153393186,0.626043195,0.2479219751,2.5775884577,0.3311257358
161,Evanston,IL,878796,2.42624,3.08973,13.24639,276.1474872577,98.1383916346,177.3594837854,2.8467903884,18.6584510585,9.3924592972,1.9690250434,0.9338,4.278761066,10.8565732171,1.6503992311,28.2441113158,10.6178356824,4.6428903861,3.3808266428,1.2657565619,45.6165975567,1.8086871411,1.5413419277,1.5327297623,5.4726363139,20.7413813392,8.4090141863,9.8127192985,3.2298175922,7.12905,24.5376224362,2.7333935451,22.2470282283,1.8729048192,14.81409,1.6859587652,2.711137021,1.4697822795,4.1612849991,0.9435277923
163,Hinsdale,IL,418065,1.68498,2.7248,9.71655,253.5105445901,88.9812186407,163.7742129008,2.7270301491,25.5215994248,12.6135905231,2.2868047249,0.69096,3.4120695402,9.8382218022,1.2158112278,30.9304163609,10.0747032946,3.9314789303,4.7346199317,0.9510255848,40.0431836022,2.2187612665,1.8819262664,2.205351057,2.9681827299,14.6320037483,6.8346651356,6.271166751,2.9344070467,7.51663,18.4566786801,2.0535200972,15.2151003297,3.5546083649,16.02131,2.055248787,3.8689783134,0.7689202534,5.1234278407,0.7535570069
164,Joliet,IL,494800,3.15384,3.03734,13.48456,166.5675739538,54.7468465463,111.0304030008,1.3805207254,12.0568693531,6.0099916976,1.8543362589,0.15609,1.6207915841,8.2678863022,0.2309603037,22.7948318141,9.8190224694,2.0318450405,1.714144703,0.6609490853,20.9076429746,0.4787567723,0.9740320832,1.6353135758,2.2223623288,13.4527455456,4.7383236014,6.1287840293,2.6467068972,3.31731,11.0322356795,0.8712708863,6.9880134082,2.4815971295,7.59163,0.997337315,1.503409123,0.6749031113,2.7921535347,0.4669046051
166,Melrose Park,IL,1254647,2.38157,3.30316,13.33496,223.2349737977,81.2073838804,141.1529525384,1.6646232554,13.5952026371,7.8225148782,2.063895397,1.08378,2.9244039414,8.8118670761,1.0641380883,28.6943359959,9.1905765485,3.625539319,3.504085503,1.5777031539,35.8100661092,1.5983667129,1.4506524384,1.735035112,3.7407466339,14.5822995468,6.6163027924,7.1970201487,2.762138787,6.70802,16.6915749729,1.7688439322,11.5247606084,2.7365789999,8.90373,1.5783650691,3.0870482788,1.1614688808,3.7878774642,0.7668598747
170,Peoria,IL,608273,3.10602,3.92324,15.70205,147.976158324,53.3411275583,93.6775646132,0.5875030058,9.8563554209,4.223094216,1.1401994663,0.39028,1.254670412,6.9136661612,0.6469878477,29.6252007789,7.5249078759,1.9479478783,1.4526187449,0.3628812987,15.4093212826,0.2342065262,1.2097532349,0.8510867392,2.8661908819,9.5416714352,3.4830752679,5.3080464878,2.4576752202,4.23564,8.4628529404,1.2776902888,5.921719911,1.7187254981,6.65387,0.4975232156,1.8207172435,0.6370123957,3.161890983,0.2952416509
171,Rockford,IL,666923,2.87663,3.26047,13.37845,154.9294292295,52.7970725749,101.3134664643,1.1929592694,10.739384647,4.5175075434,1.0521733529,0.39472,2.1970282999,5.2790110392,0.6731519353,26.6617246307,7.8639690965,3.2285051953,1.7468254432,0.6120166254,16.4128131134,1.1257376969,0.7046588483,1.5647239972,1.6298860463,10.16309853,4.6199044336,6.1296369612,3.0132153798,3.98134,9.7672254132,0.9598205975,6.829319388,1.3482083085,6.45659,0.8357585379,1.5254030146,0.994637108,2.6935656861,0.2053197301
172,Springfield,IL,839901,3.13009,3.50986,14.31947,140.2595236868,51.9851152872,87.2915079539,0.6975603999,6.5714554108,4.0002938987,0.9829540289,0.23205,1.9482436432,7.0541007675,0.4093583713,28.2170306891,8.279678848,1.5100188923,1.4292794214,0.4773380223,15.6935932048,0.3231270795,0.9082203036,1.3656740845,2.5349682836,8.6051997929,3.9472465483,4.7894570795,2.5595882256,3.35311,8.1908590356,1.3426650112,6.4555974204,1.5086861638,6.41555,0.7221786509,0.4140154353,0.4032278114,2.4169504523,0.5232205318
173,Urbana,IL,426114,2.86236,3.35446,12.52683,159.4538475675,56.4920265149,102.0517935008,0.7634931312,7.9423318206,4.6572741383,1.5866052101,0.91449,1.5328465941,7.4095094665,0.9195174601,29.5120869723,8.019017153,3.0433224419,2.3785619878,0.4924407241,17.6660385033,0.9969598483,0.9785869614,0.9957708322,2.9916747402,8.2598883707,4.2832811373,4.8637076419,2.8267817206,4.37605,9.2014183769,1.7370272427,8.8856102203,1.9129186031,6.84122,0.992572893,1.9971071909,0.7293101591,3.3028111365,0.3266005589
